"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Noninvasive estimation of motor unit conduction velocity distribution using linear electrode arrays","D. Farina; E. Fortunato; R. Merletti","Institute for Scientific Interchange Foundation, Torino, Italy; Institute for Scientific Interchange Foundation, Torino, Italy; Department of Electronics, Politecnico di Torino, Torino, Italy",IEEE Transactions on Biomedical Engineering,"6 Aug 2002","2000","47","3","380","388","Determining the conduction velocity of motor unit action potentials is one of the most important problems in surface electromyography. The estimate of one average conduction velocity value depends on a variety of uncontrollable factors. More meaningful information is obtained from the estimation of the distribution of the different delays in the myoelectric signals. A solution to the problem is the separation and characterization of the individual components propagating at different velocities. A technique, based on surface electrode array recording, is proposed to estimate motor unit conduction velocity distribution. The method consists in the identification of the single action potentials in the time scale domain (with the continuous wavelet transform) and in the estimation of their conduction velocities based on the beamforming algorithm. The performances of the technique have been evaluated using simulated and real myoelectric signals. The results demonstrate that the technique Is accurate and reliable. The method may be useful for the diagnosis of neuromuscular disorders, for the monitoring of muscle fatigue and for noninvasive investigation of individual motor units.","1558-2531","","10.1109/10.827303","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=827303","","Electrodes;Delay estimation;Continuous wavelet transforms;Electromyography;Wavelet domain;Wavelet transforms;Array signal processing;Performance evaluation;Neuromuscular;Monitoring","Action Potentials;Algorithms;Electric Conductivity;Electrodes;Electromyography;Humans;Models, Biological;Muscle Contraction;Reference Values;Signal Processing, Computer-Assisted","132","","32","IEEE","6 Aug 2002","March 2000","","IEEE","IEEE Journals"
"Wavelet and short-time Fourier transform analysis of electromyography for detection of back muscle fatigue","P. J. Sparto; M. Parnianpour; E. A. Barria; J. M. Jagadeesh","Departments of Physical Therapy and Otolaryngology, University of Pittsburgh, Pittsburgh, PA, USA; Department of Industrial, Welding, and Systems Engineering, Ohio State Uinversity, Columbus, OH, USA; Departments of Pharmacy and Electrical Engineering, Ohio State Uinversity, Columbus, OH, USA; Departments of Pharmacy and Electrical Engineering, Ohio State Uinversity, Columbus, OH, USA",IEEE Transactions on Rehabilitation Engineering,"6 Aug 2002","2000","8","3","433","436","Measurement of the time-varying characteristics of the frequency content of trunk muscle electromyography is a method to quantify the amount of fatigue endured by workers during industrial tasks, as well as a tool that may guide the training and rehabilitation of healthy and injured workers. Quantification of the change of signal power within specific frequency ranges may shed greater insight into the fatigue process. Sixteen healthy male subjects performed isometric trunk extension at 70% of their maximum voluntary contraction. Surface electromyography from medial and lateral erector spinae, and latissimus dorsi locations were processed using the short-time Fourier transform (STFT) and wavelet transform. Linear regression quantified the time rate of change of median frequency as well as frequency specific STFT filter and wavelet scale measures. The median frequency from the short-time Fourier transform declined by 22 Hz/min from an initial value of 77 Hz on average. The wavelet and STFT filter measures demonstrated this decline to be caused by a reduction in 209-349 Hz signal power in addition to an increase in 7-88 Hz signal power. A significant reduction in median frequency and significant elevation in 13-22 Hz wavelet signal component was detected in about 90% of the cases, indicating their use for detecting and quantifying fatigue.","1558-0024","","10.1109/86.867887","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867887","","Wavelet analysis;Fourier transforms;Fatigue;Frequency measurement;Electromyography;Industrial training;Filters;Muscles;Signal processing;Surface waves","Adult;Electromyography;Exercise Test;Fourier Analysis;Humans;Isometric Contraction;Linear Models;Low Back Pain;Male;Muscle Fatigue;Signal Processing, Computer-Assisted;Time Factors;Torque","64","3","29","IEEE","6 Aug 2002","Sept. 2000","","IEEE","IEEE Journals"
"Uterine EMG analysis: a dynamic approach for change detection and classification","M. Khalil; J. Duchene","University of Technology of Troyes, France, Troyes, France; University of Technology of Troyes, France, Troyes, France",IEEE Transactions on Biomedical Engineering,"6 Aug 2002","2000","47","6","748","756","Toward the goal of detecting preterm birth by characterizing events in the uterine electromyogram (EMG), the authors propose a method of detection and classification of events in this signal. Uterine EMG is considered as a nonstationary signal and the authors' approach consists of assuming piecewise stationarity and using a dynamic change detector with no a priori knowledge of the parameters of the hypotheses on the process state to be detected. The detection approach is based on the dynamic cumulative sum (DCS) of the local generalized likelihood ratios associated with a multiscale decomposition using wavelet transform. This combination of DCS and multiscale decomposition was shown to be very efficient for detection of both frequency and energy changes. An unsupervised classification based on the comparison between variance-covariance matrices computed from selected scales of the decomposition was implemented after detection. Finally a class labeling based on neural networks was developed. This algorithm of detection-classification-labeling gives satisfactory results on uterine EMG: in most cases more than 80% of the events are correctly detected and classified whatever the term of gestation.","1558-2531","","10.1109/10.844224","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=844224","","Electromyography;Event detection;Distributed control;Signal processing;Detectors;Wavelet transforms;Frequency;Matrix decomposition;Labeling;Neural networks","Algorithms;Analysis of Variance;Electromyography;Electromyography;Electromyography;Female;Fetal Monitoring;Fetal Monitoring;Fetal Monitoring;Humans;Labor, Obstetric;Likelihood Functions;Nonlinear Dynamics;Pregnancy;Time Factors;Uterus","67","4","30","IEEE","6 Aug 2002","June 2000","","IEEE","IEEE Journals"
"Spectral compression of the electromyographic signal due to decreasing muscle fiber conduction velocity","M. M. Lowery; C. L. Vaughan; P. J. Nolan; M. J. O'Malley","Department of Electronicand Electrical Engineering,University College Dublin, National University of Ireland, Dublin, Ireland; Department of Biomedical Engineering, University of Cape Town, Cape Town, South Africa; Department of Human Anatomy and Physiology,University College Dublin, National University of Ireland, Dublin, Ireland; Department of Electronicand Electrical Engineering,University College Dublin, National University of Ireland, Ireland",IEEE Transactions on Rehabilitation Engineering,"6 Aug 2002","2000","8","3","353","361","Spectral compression of the electromyographic (EMG) signal, due largely to decreasing muscle fiber conduction velocity, is commonly used as an indication of muscle fatigue. Current methods of estimating conduction velocity using characteristic frequencies such as the median frequency of the power spectrum, are based on an assumption of uniform spectral compression. To examine changes in the EMG frequency spectrum during fatigue, muscle fiber conduction velocity was measured during sustained, isometric contractions of the biceps brachii. Compression of the EMG power and amplitude spectra was simultaneously examined using the median frequency and-an alternative method-the spectral distribution technique. The spectral distribution technique consistently gave a better estimate of the relative change in muscle fiber conduction velocity than either of the median frequencies. This was further examined using a physiologically based EMG simulation model, which confirmed these findings. The model indicated that firing statistics can significantly influence spectral compression, particularly the behavior of characteristic frequencies in the vicinity of the firing rates. The relative change in the median frequency, whether of the amplitude or frequency spectrum, was consistently greater than the relative change in conduction velocity. The most accurate indication of the relative change in conduction velocity was obtained by calculating the mean shift in the midfrequency region of the EMG amplitude spectrum using the spectral distribution technique.","1558-0024","","10.1109/86.867877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867877","","Muscles;Electromyography;Frequency estimation;Fatigue;Biomedical measurements;Frequency measurement;Velocity measurement;Biomedical engineering;Cities and towns;Statistical distributions","Action Potentials;Adult;Analysis of Variance;Bias;Computer Simulation;Confounding Factors, Epidemiologic;Electromyography;Female;Humans;Isometric Contraction;Male;Models, Neurological;Muscle Fatigue;Muscle, Skeletal;Myofibrils;Neural Conduction;Sensitivity and Specificity;Signal Processing, Computer-Assisted","82","","20","IEEE","6 Aug 2002","Sept. 2000","","IEEE","IEEE Journals"
"EMG-based prediction of shoulder and elbow kinematics in able-bodied and spinal cord injured individuals","A. T. C. Au; R. F. Kirsch","Department of Biomedical Engineering, Case Western Reserve University, Cleveland, VA, USA; Department of Biomedical Engineering, Case Western Reserve University, Cleveland, VA, USA",IEEE Transactions on Rehabilitation Engineering,"6 Aug 2002","2000","8","4","471","480","The authors have evaluated the ability of a time-delayed artificial neural network (TDANN) to predict shoulder and elbow motions using only electromyographic (EMG) signals recorded from six shoulder and elbow muscles as inputs, both in able-bodied subjects and in subjects with tetraplegia arising from C5 spinal cord injury. For able-bodied subjects, all four joint angles (elbow flexion-extension and shoulder-horizontal flexion-extension, elevation depression, and internal-external rotation) were predicted with average root-mean-square (rms) errors of less than 20/spl deg/ during movements of widely different complexities performed at different speeds and with different hand loads. The corresponding angular velocities and angular accelerations were predicted with even lower relative errors. For individuals with C5 tetraplegia, the absolute rms errors of the joint angles, velocities, and accelerations were actually smaller than for able-bodied subjects, but the relative errors were similar when the smaller movement ranges of the C5 subjects were taken into account. These results indicate that the EMG signals from shoulder and elbow muscles contain a significant amount of information about arm movement kinematics that could be exploited to develop advanced control systems for augmenting or restoring shoulder and elbow movements to individuals with tetraplegia using functional neuromuscular stimulation of paralyzed muscles.","1558-0024","","10.1109/86.895950","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=895950","","Elbow;Kinematics;Shoulder;Muscles;Electromyography;Acceleration;Artificial neural networks;Spinal cord injury;Angular velocity;Control systems","Adult;Biomechanical Phenomena;Elbow Joint;Electromyography;Female;Humans;Male;Movement;Neural Networks, Computer;Shoulder Joint;Spinal Cord Injuries","152","1","29","IEEE","6 Aug 2002","Dec. 2000","","IEEE","IEEE Journals"
"Study of the control strategy of the quadriceps muscles in anterior knee pain","M. Cesarelli; P. Bifulco; M. Bracale","Department of Electronic Engineering and Telecommunication, University of Napoli Federico II, Napoli, Italy; Department of Electronic Engineering and Telecommunication, University of Napoli Federico II, Napoli, Italy; Department of Electronic Engineering and Telecommunication, University of Napoli Federico II, Napoli, Italy",IEEE Transactions on Rehabilitation Engineering,"6 Aug 2002","2000","8","3","330","341","Anterior knee pain (AKP) is a common pathological condition, particularly among young people and athletes, associated to an abnormal motion of the patella during the bending of the knee and possibly dependent on a muscular or structural imbalance. A lack of synergy in the quadriceps muscles results in a dynamic misalignment of the patella, which in turn produces pain, AKP rehabilitative therapy consists of conservative treatment whose main objective is to strengthen the Vastus Medialis. The aim of this article is to study the quadriceps muscle control strategy in AKP patients during an isokinetic exercise. Analysis of the muscle activation strategy is important for an objective measurement of the knee functionality in that it helps to diagnose and monitor the rehabilitative treatment. Surface electromyography (EMG) from the three superficial muscles of the femoral quadriceps during a concentric isokinetic exercise has been analyzed along with the signals of knee joint position and torque. A group of 12 AKP patients has been compared with a group of 30 normal subjects. Analysis of the grand ensemble average of the EMG linear envelopes in AKP patients reveals significant modifications in Vastus Medialis activity compared to the other quadriceps muscles. In order to study the synergy of the muscles, temporal identifiers have been associated to the EMG linear envelopes. To this end, EMG linear envelope decomposition in Gaussian pulses turned out to be effective and the results highlight an appreciable delay in the activation of the Vastus Medialis in AKP patients. This muscular unbalance can explain the abnormal motion of the patella.","1558-0024","","10.1109/86.867875","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867875","","Muscles;Electromyography;Knee;Pain;Pathology;Medical treatment;Patient monitoring;Surface treatment;Signal analysis;Torque","Adolescent;Adult;Biomechanical Phenomena;Case-Control Studies;Electromyography;Exercise Test;Humans;Isotonic Contraction;Knee Joint;Linear Models;Male;Muscle, Skeletal;Normal Distribution;Pain;Range of Motion, Articular;Signal Processing, Computer-Assisted;Torque","37","","35","IEEE","6 Aug 2002","Sept. 2000","","IEEE","IEEE Journals"
"Analysis of muscle coordination strategies in cycling","B. I. Prilutsky; R. J. Gregor","Department of Health and Performance Sciences, Georgia Institute of Technology, Atlanta, GA, USA; Department of Health and Performance Sciences, Georgia Institute of Technology, Atlanta, GA, USA",IEEE Transactions on Rehabilitation Engineering,"6 Aug 2002","2000","8","3","362","370","The functional significance of the stereotypical muscle activation patterns used in skilled multi-joint tasks is not well understood. Optimization methods could provide insight into the functional significance of muscle coordination. The purpose of this study was to predict muscle force patterns during cycling by pushing and pulling the pedal using different optimization criteria and compare the predictions with electromyographic (EMG) patterns. To address the purpose of the study, (1) the contribution of muscle length and velocity changes to EMG-muscle force relationships during cycling was examined by comparing joint moments calculated from EMG and inverse dynamics, (2) patterns of individual muscle forces during cycling of five subjects were predicted using 13 different optimization criteria, and (3) the properties of the criterion with the best performance in predicting the normalized EMG were used to explain the features and functional significance of muscle coordination in cycling. It was shown that the criterion that minimizes the sum of muscle stresses cubed demonstrated the best performance in predicting the relative magnitude and patterns of muscle activation. Based on this criterion, it was suggested that the functional significance of muscle coordination strategy in cycling may be minimization of fatigue and/or perceived effort.","1558-0024","","10.1109/86.867878","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867878","","Muscles;Electromyography;Fatigue;Stress;Leg;Force measurement;Optimization methods;Legged locomotion;Mathematical programming;Immune system","Adult;Bias;Bicycling;Biomechanical Phenomena;Computer Simulation;Electromyography;Female;Humans;Leg;Male;Models, Biological;Muscle Contraction;Muscle Fatigue;Muscle, Skeletal;Physical Exertion;Predictive Value of Tests;Psychomotor Performance;Rotation;Signal Processing, Computer-Assisted","66","","41","IEEE","6 Aug 2002","Sept. 2000","","IEEE","IEEE Journals"
"An improved configuration for the reduction of EMG in electrode cuff recordings: a theoretical approach","M. Rahal; J. Winter; J. Taylor; N. Donaldson","Department of Electronic and Electrical Engineering, University College, London, UK; Department of Electronic and Electrical Engineering, University College, London, UK; Department of Electronic and Electrical Engineering, University College, London, UK; Department of Medical Physics and Bioengineering, University College London, London, UK",IEEE Transactions on Biomedical Engineering,"6 Aug 2002","2000","47","9","1281","1284","A theoretical investigation of different electroneurogram recording techniques using electrode cuffs is presented. A new screened tripole arrangement is proposed with a higher inherent signal to interference ratio than the true tripole, which also allows the nulling of the residual electromyogram signal. The reduction in interference is small because the electrode impedance is large compared to the source resistance.","1558-2531","","10.1109/10.867963","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867963","","Electromyography;Electrodes;Impedance;Interference;Insulation;Voltage;Electric resistance;Feedback;Neuromuscular stimulation;Signal to noise ratio","Biomedical Engineering;Biometry;Electrodes;Electrodiagnosis;Electrodiagnosis;Electromyography;Humans;Peripheral Nerves","37","1","13","IEEE","6 Aug 2002","Sept. 2000","","IEEE","IEEE Journals"
"Fuzzy EMG classification for prosthesis control","F. H. Y. Chan; Yong-Sheng Yang; F. K. Lam; Yuan-Ting Zhang; P. A. Parker","The Department of Electricaland Electronic Engineering, University of Hong Kong, Hong Kong, China; The Department of Electricaland Electronic Engineering, University of Hong Kong, Hong Kong, China; The Department of Electricaland Electronic Engineering, University of Hong Kong, Hong Kong, China; The Department of Electrical Engineering, Chinese University of Hong Kong, Hong Kong, China; The Department of Electrical Engineering, University of New Brunswick, Fredericton, NB, Canada",IEEE Transactions on Rehabilitation Engineering,"6 Aug 2002","2000","8","3","305","311","Proposes a fuzzy approach to classify single-site electromyograph (EMG) signals for multifunctional prosthesis control. While the classification problem is the focus of this paper, the ultimate goal is to improve myoelectric system control performance, and classification is an essential step in the control. Time segmented features are fed to a fuzzy system for training and classification. In order to obtain acceptable training speed and realistic fuzzy system structure, these features are clustered without supervision using the Basic Isodata algorithm at the beginning of the training phase, and the clustering results are used in initializing the fuzzy system parameters. Afterwards, fuzzy rules in the system are trained with the back-propagation algorithm. The fuzzy approach was compared with an artificial neural network (ANN) method on four subjects, and very similar classification results were obtained. It is superior to the latter in at least three points: slightly higher recognition rate; insensitivity to overtraining; and consistent outputs demonstrating higher reliability. Some potential advantages of the fuzzy approach over the ANN approach are also discussed.","1558-0024","","10.1109/86.867872","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=867872","","Fuzzy control;Electromyography;Prosthetics;Fuzzy systems;Control systems;Artificial neural networks;Fuzzy logic;Delay;Clustering algorithms;Neural networks","Algorithms;Artificial Limbs;Bias;Cluster Analysis;Electric Stimulation Therapy;Electromyography;Feedback;Fuzzy Logic;Humans;Neural Networks, Computer;Signal Processing, Computer-Assisted;Software Validation;Time Factors","295","3","18","IEEE","6 Aug 2002","Sept. 2000","","IEEE","IEEE Journals"
"Adaptive whitening of the electromyogram to improve amplitude estimation","E. A. Clancy; K. A. Farry","Raytheon Company, Framingham, MA, USA; Intelligenta, Inc., Friendswood, TX, USA",IEEE Transactions on Biomedical Engineering,"6 Aug 2002","2000","47","6","709","719","Previous research showed that whitening the surface electromyogram (EMG) can improve EMG amplitude estimation (where EMG amplitude is defined as the time-varying standard deviation of the EMG). However, conventional whitening via a linear filter seems to fail at low EMG amplitude levels, perhaps due to additive background noise in the measured EMG. This paper describes an adaptive whitening technique that overcomes this problem by cascading a nonadaptive whitening filter, an adaptive Wiener filter, and an adaptive gain correction. These stages can be calibrated from two, five second duration, constant-angle, constant-force contractions, one at a reference level [e.g., 50% maximum voluntary contraction (MVC)] and one at 0% MVC. In experimental studies, subjects used real-time EMG amplitude estimates to track a uniform-density, band-limited random target. With a 0.25-Hz bandwidth target, either adaptive whitening or multiple channel processing reduced the tracking error roughly half-way to the error achieved using the dynamometer signal as the feedback. At the 1.00-Hz bandwidth, all of the EMG processors had errors equivalent to that of the dynamometer signal, reflecting that errors in this task were dominated by subjects' inability to track targets at this bandwidth. Increases in the additive noise level, smoothing window length, and tracking bandwidth diminish the advantages of whitening.","1558-2531","","10.1109/10.844217","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=844217","","Amplitude estimation;Electromyography;Target tracking;Bandwidth;Wiener filter;Nonlinear filters;Additive noise;Signal processing;Background noise;Noise measurement","Adaptation, Physiological;Adult;Aged;Algorithms;Artifacts;Electromyography;Electromyography;Electromyography;Female;Humans;Male;Middle Aged;Models, Biological;Muscle Contraction;Muscles","77","","32","IEEE","6 Aug 2002","June 2000","","IEEE","IEEE Journals"
