"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Wearable System for Recognizing American Sign Language in Real-Time Using IMU and Surface EMG Sensors","J. Wu; L. Sun; R. Jafari","Department of Computer Science and Engineering, Texas A&M University, College Station, TX, USA; University of Texas, at Dallas, Richardson, TX, USA; Center of Remote Health Technologies and Systems, Texas A&M University, College Station, TX, USA",IEEE Journal of Biomedical and Health Informatics,"20 May 2017","2016","20","5","1281","1290","A sign language recognition system translates signs performed by deaf individuals into text/speech in real time. Inertial measurement unit and surface electromyography (sEMG) are both useful modalities to detect hand/arm gestures. They are able to capture signs and the fusion of these two complementary sensor modalities will enhance system performance. In this paper, a wearable system for recognizing American Sign Language (ASL) in real time is proposed, fusing information from an inertial sensor and sEMG sensors. An information gain-based feature selection scheme is used to select the best subset of features from a broad range of well-established features. Four popular classification algorithms are evaluated for 80 commonly used ASL signs on four subjects. The experimental results show 96.16% and 85.24% average accuracies for intra-subject and intra-subject cross session evaluation, respectively, with the selected feature subset and a support vector machine classifier. The significance of adding sEMG for ASL recognition is explored and the best channel of sEMG is highlighted.","2168-2208","","10.1109/JBHI.2016.2598302","National Science Foundation(grant numbers:CNS-1150079,ECCS-1509063); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7552525","American Sign Language (ASL) recognition;feature selection;inertial measurement unit (IMU) sensor;sensor fusion;surface EMG (sEMG)","Assistive technology;Gesture recognition;Accelerometers;Sensor systems;Real-time systems;Feature extraction","Arm;Communication Aids for Disabled;Electromyography;Electronics;Equipment Design;Female;Humans;Male;Muscle, Skeletal;Pattern Recognition, Automated;Sign Language;Signal Processing, Computer-Assisted;Speech Recognition Software","236","1","39","IEEE","25 Aug 2016","Sept. 2016","","IEEE","IEEE Journals"
"Multi-Channel Surface Electromyography Electrodes: A Review","J. Kilby; K. Prasad; G. Mawston","Signal Signals and Control Research Group, Auckland University of Technology, Auckland, New Zealand; Department of Electrical and Electronic Engineering, Auckland University of Technology, Auckland, New Zealand; Department of Health and Rehabilitation Research Institute, Auckland University of Technology, Auckland, New Zealand",IEEE Sensors Journal,"16 Jun 2016","2016","16","14","5510","5519","This paper is a review of multi-channel surface electromyography (sEMG) electrode used in the research for investigating the properties of muscles. Over 300 papers from five recognized journals were examined from the year 2000 to 2013 with only 64 stating the use of multi-channel electrodes in their research. The review determined that multi-channel electrodes can be classified as linear array or 2D array electrodes. The 2D array is the basis for developing the high-spatial-resolution sEMG (HSR-sEMG) or high density sEMG (HD-sEMG). The important factors considered in this review of the electrodes are: 1) the material used; 2) the inter-electrode distance; and 3) the configuration for the collection of the electromyography signals. The basic configurations of the sEMG electrodes are monopolar, bipolar, and double differential. It was found that the majority of the linear array electrodes were used to collect either bipolar or double differential signals. The 2D array electrodes were used to collect monopolar signals. The HSR-sEMG electrodes used a normal double differentiating filter, referred to as Laplacian configuration. The HD-sEMG has versatility being able to collect all types of signals, such as monopolar, bipolar, double differential, or signals filtered by Laplacian configuration.","1558-1748","","10.1109/JSEN.2016.2569072","School of Engineering at Auckland University of Technology through a Contestable Grant; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7470234","Electromyography;Multi-channel;Electrodes;Electromyography;multi-channel;electrodes","Electrodes;Muscles;Electromyography;Sensors;Bibliographies;Skin;Physiology","","35","","97","IEEE","16 May 2016","July15, 2016","","IEEE","IEEE Journals"
"Impact of Load Variation on Joint Angle Estimation From Surface EMG Signals","Z. Tang; H. Yu; S. Cang","Faculty of Science and Technology, Bournemouth University, Poole, UK; Faculty of Science and Technology, Bournemouth University, Poole, UK; Faculty of Management, Bournemouth University, Poole, UK",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"6 Dec 2016","2016","24","12","1342","1350","Many studies use surface electromyogram (sEMG) signals to estimate the joint angle, for control of upper-limb exoskeletons and prostheses. However, several practical factors still affect its clinical applicability. One of these factors is the load variation during daily use. This paper demonstrates that the load variation can have a substantial impact on performance of elbow angle estimation. This impact leads an increase in mean RMSE (Root-Mean-Square Error) from 7.86 ° to 20.44 ° in our experimental test. Therefore, we propose three methods to address this issue: 1) pooling the training data from all loads together to form the pooled training data for the training model; 2) adding the measured load value (force sensor) as an additional input; and 3) developing a two-step hybrid estimation approach based on load and sEMG. Experiments are conducted with five subjects to investigate the feasibility of the proposed three methods. The results show that the mean RMSE is reduced from 20.44 ° to 13.54 ° using method one, 10.47 ° using method two, and 8.48 ° using method three, respectively. Our study indicates that 1) the proposed methods can improve performance and stability on joint angle estimation and 2) sensor fusion (sEMG sensor and force sensor) is an efficient way to resolve the adverse effect of load variation.","1558-0210","","10.1109/TNSRE.2015.2502663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332977","Estimation;exoskeletons;sensor fusion;surface electromyogram (sEMG)","Exoskeletons;Estimation;Sensor fusion;Muscles;Angular velocity;Electromyography;Prosthetics","Adult;Algorithms;Computer Simulation;Elbow Joint;Electromyography;Feasibility Studies;Humans;Male;Models, Biological;Muscle Contraction;Range of Motion, Articular;Reproducibility of Results;Sensitivity and Specificity;Stress, Mechanical;Weight-Bearing","66","","39","IEEE","20 Nov 2015","Dec. 2016","","IEEE","IEEE Journals"
"Transradial Amputee Gesture Classification Using an Optimal Number of sEMG Sensors: An Approach Using ICA Clustering","G. R. Naik; A. H. Al-Timemy; H. T. Nguyen","University of Technology Sydney, Centre for Health Technologies (CHT), Australia; Plymouth University, School of Computing and Mathematics, United Kingdom (UK); University of Technology Sydney, Centre for Health Technologies (CHT), Australia",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"5 Aug 2016","2016","24","8","837","846","Surface electromyography (sEMG)-based pattern recognition studies have been widely used to improve the classification accuracy of upper limb gestures. Information extracted from multiple sensors of the sEMG recording sites can be used as inputs to control powered upper limb prostheses. However, usage of multiple EMG sensors on the prosthetic hand is not practical and makes it difficult for amputees due to electrode shift/movement, and often amputees feel discomfort in wearing sEMG sensor array. Instead, using fewer numbers of sensors would greatly improve the controllability of prosthetic devices and it would add dexterity and flexibility in their operation. In this paper, we propose a novel myoelectric control technique for identification of various gestures using the minimum number of sensors based on independent component analysis (ICA) and Icasso clustering. The proposed method is a model-based approach where a combination of source separation and Icasso clustering was utilized to improve the classification performance of independent finger movements for transradial amputee subjects. Two sEMG sensor combinations were investigated based on the muscle morphology and Icasso clustering and compared to Sequential Forward Selection (SFS) and greedy search algorithm. The performance of the proposed method has been validated with five transradial amputees, which reports a higher classification accuracy ( >95%). The outcome of this study encourages possible extension of the proposed approach to real time prosthetic applications.","1558-0210","","10.1109/TNSRE.2015.2478138","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7271103","Blind source separation (BSS);finger gestures;independent component analysis (ICA);linear discriminant analysis (LDA);myoelectric control;pattern recognition;surface electromyography (sEMG);transradial amputees","Sensors;Electromyography;Feature extraction;Thumb;Clustering algorithms;Muscles","Adult;Algorithms;Amputation Stumps;Amputees;Data Interpretation, Statistical;Electromyography;Female;Gestures;Hand;Humans;Male;Muscle Contraction;Muscle, Skeletal;Principal Component Analysis;Radius;Reproducibility of Results;Sensitivity and Specificity","146","","41","IEEE","17 Sep 2015","Aug. 2016","","IEEE","IEEE Journals"
"Probability Density Functions of Stationary Surface EMG Signals in Noisy Environments","S. Thongpanja; A. Phinyomark; F. Quaine; Y. Laurillau; C. Limsakul; P. Phukpattaranont","Department of Electrical Engineering, Prince of Songkla University, Songkhla, Thailand; Faculty of Kinesiology, University of Calgary, Calgary, AB, Canada; GIPSA Laboratory, University Joseph Fourier, Grenoble, France; Grenoble Informatics Laboratory, University Joseph Fourier, Grenoble, France; Department of Electrical Engineering, Prince of Songkla University, Songkhla, Thailand; Department of Electrical Engineering, Prince of Songkla University, Songkhla, Thailand",IEEE Transactions on Instrumentation and Measurement,"7 Jun 2016","2016","65","7","1547","1557","The probability density function (pdf) of an electromyography (EMG) signal provides useful information for choosing an appropriate feature extraction technique. The pdf is influenced by many factors, including the level of contraction force, muscle type, and noise. In this paper, we investigated the pdfs of noisy EMG signals artificially contaminated with five different noise types: 1) Electrocardiography (ECG) interference; 2) many spurious background spikes; 3) white Gaussian noise; 4) motion artifact; and 5) power line interference at various levels of signal-to-noise ratio (SNR). In addition, we evaluated a set of statistical descriptors for identifying a noisy EMG signal from its pdf, specifically kurtosis, negentropy, L-kurtosis, and robust measures of kurtosis (KR1 and KR2). The results show that at low SNR (<;5 dB), all noise types affect the statistical descriptors for the pdf of a noisy EMG signal. In addition, KR2 performs the best among these descriptors in identifying a noisy EMG signal from its pdf, because it is computed based on the quantiles of the data. As a result, it can avoid the effects of outliers resulting in the correct identification of pdf shape of noisy EMGs with all contamination types and all levels of SNR.","1557-9662","","10.1109/TIM.2016.2534378","Prince of Songkla University (PSU) and the Thailand Research Fund through the Royal Golden Jubilee Ph.D. Program(grant numbers:PHD/0155/2554); The National Electronics and Computer Technology Center-PSU Center of Excellence for Rehabilitation Engineering, Faculty of Engineering, PSU; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7438830","Electromyography (EMG);Gaussian distributions;noise measurement;probability density function (pdf);signal analysis;signal-to-noise ratio (SNR).;Electromyography (EMG);Gaussian distributions;noise measurement;probability density function (pdf);signal analysis;signal-to-noise ratio (SNR)","Electromyography;Noise measurement;Probability density function;Force;Signal to noise ratio;Feature extraction;Muscles","","67","","37","IEEE","22 Mar 2016","July 2016","","IEEE","IEEE Journals"
"Principal Component Analysis Applied to Surface Electromyography: A Comprehensive Review","G. R. Naik; S. E. Selvan; M. Gobbo; A. Acharyya; H. T. Nguyen","Center of Health Technologies, University of Technology Sydney, Sydney, NSW, Australia; Human Performance and Engineering Research Laboratory, Kessler Foundation, West Orange, NJ, USA; Department of Clinical and Experimental Sciences, University of Brescia, Brescia, Italy; Department of Electrical Engineering, IIT Hyderabad, Hyderabad, India; Center of Health Technologies, University of Technology Sydney, Sydney, NSW, Australia",IEEE Access,"20 May 2017","2016","4","","4025","4037","Surface electromyography (sEMG) records muscle activities from the surface of muscles, which offers a wealth of information concerning muscle activation patterns in both research and clinical settings. A key principle underlying sEMG analyses is the decomposition of the signal into a number of motor unit action potentials (MUAPs) that capture most of the relevant features embedded in a low-dimensional space. Toward this, the principal component analysis (PCA) has extensively been sought after, whereby the original sEMG data are translated into low-dimensional MUAP components with a reduced level of redundancy. The objective of this paper is to disseminate the role of PCA in conjunction with the quantitative sEMG analyses. Following the preliminaries on the sEMG methodology and a statement of PCA algorithm, an exhaustive collection of PCA applications related to sEMG data is in order. Alongside the technical challenges associated with the PCA-based sEMG processing, the envisaged research trend is also discussed.","2169-3536","","10.1109/ACCESS.2016.2593013","University of Technology Sydney through the Chancellor’s Post-Doctoral Research Fellowship(grant numbers:CPDRF2013-16); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516567","Surface electromyography (sEMG);artificial neural network (ANN);principal component analysis (PCA);motor unit action potential (MUAP);flexions;self-organizing feature map (SOFM);support vector regression (SVR);myoelectric signal","Principle component analysis;Artificial neural networks;Neural networks;Flexions;Electric potential;Market research;Myoelectric signals;Muscles;Algorithm design and analysis;Electromyography","","73","","75","OAPA","19 Jul 2016","2016","","IEEE","IEEE Journals"
"High-Density Electromyography and Motor Skill Learning for Robust Long-Term Control of a 7-DoF Robot Arm","M. Ison; I. Vujaklija; B. Whitsell; D. Farina; P. Artemiadis","School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ, USA; Department of Neurorehabiliation Engineering, Bernstein Focus Neurotechnology Göttingen, Georg-August University, Göttingen, Germany; School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ, USA; Department of Neurorehabiliation Engineering, Bernstein Focus Neurotechnology Göttingen, Georg-August University, Göttingen, Germany; School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"6 Apr 2016","2016","24","4","424","433","Myoelectric control offers a direct interface between human intent and various robotic applications through recorded muscle activity. Traditional control schemes realize this interface through direct mapping or pattern recognition techniques. The former approach provides reliable control at the expense of functionality, while the latter increases functionality at the expense of long-term reliability. An alternative approach, using concepts of motor learning, provides session-independent simultaneous control, but previously relied on consistent electrode placement over biomechanically independent muscles. This paper extends the functionality and practicality of the motor learning-based approach, using high-density electrode grids and muscle synergy-inspired decomposition to generate control inputs with reduced constraints on electrode placement. The method is demonstrated via real-time simultaneous and proportional control of a 4-DoF myoelectric interface over multiple days. Subjects showed learning trends consistent with typical motor skill learning without requiring any retraining or recalibration between sessions. Moreover, they adjusted to physical constraints of a robot arm after learning the control in a constraint-free virtual interface, demonstrating robust control as they performed precision tasks. The results demonstrate the efficacy of the proposed man-machine interface as a viable alternative to conventional control schemes for myoelectric interfaces designed for long-term use.","1558-0210","","10.1109/TNSRE.2015.2417775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7073629","Electromyography (EMG);high-density electromyography (EMG);human–robot interaction;motor learning;myoelectric control;prosthetics;real-time systems;simultaneous control","Muscles;Electrodes;High definition video;Helicopters;Robots;Color;Control systems","Adult;Algorithms;Biofeedback, Psychology;Computer Systems;Electromyography;Humans;Learning;Male;Man-Machine Systems;Motor Skills;Movement;Muscle Contraction;Muscle, Skeletal;Robotics;Young Adult","108","1","57","IEEE","31 Mar 2015","April 2016","","IEEE","IEEE Journals"
"Reduced Daily Recalibration of Myoelectric Prosthesis Classifiers Based on Domain Adaptation","J. Liu; X. Sheng; D. Zhang; J. He; X. Zhu","State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China",IEEE Journal of Biomedical and Health Informatics,"20 May 2017","2016","20","1","166","176","Control scheme design based on surface electromyography (sEMG) pattern recognition has been the focus of much research on a myoelectric prosthesis (MP) technology. Due to inherent nonstationarity in sEMG signals, prosthesis systems may need to be recalibrated day after day in daily use applications; thereby, hindering MP usability. In order to reduce the recalibration time in the subsequent days following the initial training, we propose a domain adaptation (DA) framework, which automatically reuses the models trained in earlier days as input for two baseline classifiers: a polynomial classifier (PC) and a linear discriminant analysis (LDA). Two novel algorithms of DA are introduced, one for PC and the other one for LDA. Five intact-limbed subjects and two transradial-amputee subjects participated in an experiment lasting ten days, to simulate the application of a MP over multiple days. The experiment results of four methods were compared: PC-DA (PC with DA), PC-BL (baseline PC), LDA-DA (LDA with DA), and LDA-BL (baseline LDA). In a new day, the DA methods reuse nine pretrained models, which were calibrated by 40 s training data per class in nine previous days. We show that the proposed DA methods significantly outperform nonadaptive baseline methods. The improvement in classification accuracy ranges from 5.49% to 28.48%, when the recording time per class is 2 s. For example, the average classification rates of PC-BL and PC-DA are 83.70% and 92.99%, respectively, for intact-limbed subjects with a nine-motions classification task. These results indicate that DA has the potential to improve the usability of MPs based on pattern recognition, by reducing the calibration time.","2168-2208","","10.1109/JBHI.2014.2380454","National Basic Research Program 973 Program of China(grant numbers:2011CB013305); Science and Technology Commission of Shanghai Municipality(grant numbers:11JC1406000,13430721600); National Natural Science Foundation of China(grant numbers:51375296,51121063); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6985518","Surface electromyography (sEMG);patternrecognition;domain adaptation;polynomial classifier;linear discriminant analysis;Domain adaptation (DA);linear discriminant analysis (LDA);pattern recognition;polynomial classifier (PC);surface electromyography (sEMG)","Training;Vectors;Adaptation models;Polynomials;Data models;Feature extraction;Pattern recognition","Amputees;Artificial Limbs;Calibration;Discriminant Analysis;Electromyography;Female;Humans;Male;Middle Aged;Pattern Recognition, Automated;Signal Processing, Computer-Assisted","66","1","45","IEEE","18 Dec 2014","Jan. 2016","","IEEE","IEEE Journals"
"Assessment of Carbon/Salt/Adhesive Electrodes for Surface Electromyography Measurements","H. F. Posada-Quintero; R. T. Rood; K. Burnham; J. Pennace; K. H. Chon","University of Connecticut, Storrs, CT, USA; University of Connecticut, Storrs, CT, USA; FLEXcon, Spencer, MA, USA; FLEXcon, Spencer, MA, USA; University of Connecticut, Storrs, CT, USA",IEEE Journal of Translational Engineering in Health and Medicine,"20 May 2017","2016","4","","1","9","This paper presents the evaluation of novel electrodes for surface electromyography (sEMG) measurements. The electrodes are based on the mixture of carbon powder, quaternary salt, and viscoelastic polymeric adhesive (carbon/salt/adhesive or simply CSA), which when combined, provide the unique advantages of having longer (theoretically infinite) shelf life and potentially lower cost than Ag/AgCl hydrogel electrodes, consistent with FLEXcon's Patent #8 673 184. The 20 subjects were recruited to collect simultaneous recordings of sEMG signals using Ag/AgCl and CSA electrodes, side-by-side on triceps brachii, tibial anterior muscles, biceps brachii, and quadriceps femoris. Although CSA sEMG electrodes showed higher electrode-skin contact impedance for the frequency range of 4 Hz-2 kHz, no significant differences were found in the signals' amplitude between the two electrodes either during relaxation or contraction stages. Furthermore, correlations of the computed linear envelopes (>0.91), rms value envelopes (>0.91), and power spectral densities (>0.95) of the signals were found to be high between the two media. Detected ON- and OFF-times of contraction were also highly correlated (>0.9) and interchangeable (ON-time: bias = -0.02, variance = 0.11; OFF-time: bias = -0.04, variance = 0.23) between the two media. However, CSA sEMG electrodes exhibited a significantly better response to noise (38.3 ± 10.6 dB versus 32.7 ± 15.6 dB) and motion artifacts (24.1 ± 12.1 dB versus 16.6 ± 8.52 dB), and a significantly lower spectral deformation (1.32 ± 0.2 versus 1.46 ± 0.4). Ag/AgCl electrodes showed a significantly more peaked and sensitive response to EMG amplitude (67.9 ± 13.9 dB versus 65.4 ± 14.6 dB). Given no significant differences in many of the measures described earlier and the fact that CSA electrodes have an infinite shelf-life are potentially lower cost, and are more resistant to motion artifacts, the new electrodes provide an attractive alternative to Ag/AgCl electrodes for sEMG measurements.","2168-2372","","10.1109/JTEHM.2016.2567420","FLEXcon; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7470586","Carbon/Salt/Adhesive electrodes;dry electrodes;Ag/AgCl hydrogel electrodes;surface electromyography;Carbon/salt/adhesive electrodes;dry electrodes;Ag/AgCl hydrogel electrodes;surface electromyography","Electrodes;Electromyography;Muscles;Coatings;Polymers;Impedance;Surface impedance","","37","","14","OAPA","17 May 2016","2016","","IEEE","IEEE Journals"
"An Analysis of Intrinsic and Extrinsic Hand Muscle EMG for Improved Pattern Recognition Control","A. A. Adewuyi; L. J. Hargrove; T. A. Kuiken","Department of Biomedical Engineering, Northwestern University; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA; Departments of Physical Medicine and Rehabilitation, Biomedical Engineering, and Surgery, Northwestern University, Chicago, IL, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"6 Apr 2016","2016","24","4","485","494","Pattern recognition control combined with surface electromyography (EMG) from the extrinsic hand muscles has shown great promise for control of multiple prosthetic functions for transradial amputees. There is, however, a need to adapt this control method when implemented for partial-hand amputees, who possess both a functional wrist and information-rich residual intrinsic hand muscles. We demonstrate that combining EMG data from both intrinsic and extrinsic hand muscles to classify hand grasps and finger motions allows up to 19 classes of hand grasps and individual finger motions to be decoded, with an accuracy of 96% for non-amputees and 85% for partial-hand amputees. We evaluated real-time pattern recognition control of three hand motions in seven different wrist positions. We found that a system trained with both intrinsic and extrinsic muscle EMG data, collected while statically and dynamically varying wrist position increased completion rates from 73% to 96% for partial-hand amputees and from 88% to 100% for non-amputees when compared to a system trained with only extrinsic muscle EMG data collected in a neutral wrist position. Our study shows that incorporating intrinsic muscle EMG data and wrist motion can significantly improve the robustness of pattern recognition control for application to partial-hand prosthetic control.","1558-0210","","10.1109/TNSRE.2015.2424371","National Institute on Disability and Rehabilitation Research; National Institutes of Health(grant numbers:T32 HD7418); National Institute of Child Health and Human Development(grant numbers:1F31HD078092-01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7102763","Electromyography (EMG);intrinsic hand muscle;myoelectric control;partial-hand amputee;pattern recognition","Wrist;Electromyography;Muscles;Thumb;Pattern recognition;Training","Algorithms;Electromyography;Feedback, Physiological;Female;Hand;Hand Strength;Humans;Male;Middle Aged;Muscle Contraction;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Young Adult","110","","40","OAPA","6 May 2015","April 2016","","IEEE","IEEE Journals"
