"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Experimental Analysis of Accuracy in the Identification of Motor Unit Spike Trains From High-Density Surface EMG","A. Holobar; M. A. Minetto; A. Botter; F. Negro; D. Farina","Faculty of Electrical Engineering and Computer Science, University of Maribor, Maribor, Slovenia; Division of Endocrinology, Diabetology and Metabolism, Department of Internal Medicine, University of Turin, Turin, Italy; Laboratorio di Ingegneria del Sistema Neuromuscolare, Politecnico di Milano, Torino, Italy; Center of Sensory-Motor Interaction (SMI), Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark; Center of Sensory-Motor Interaction (SMI), Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"7 Jun 2010","2010","18","3","221","229","The aim of this study was to compare the decomposition results obtained from high-density surface electromyography (EMG) and concurrently recorded intramuscular EMG. Surface EMG signals were recorded with electrode grids from the tibialis anterior, biceps brachii, and abductor digiti minimi muscles of twelve healthy men during isometric contractions ranging between 5% and 20% of the maximal force. Bipolar intramuscular EMG signals were recorded with pairs of wire electrodes. Surface and intramuscular EMG were independently decomposed into motor unit spike trains. When averaged over all the contractions of the same contraction force, the percentage of discharge times of motor units identified by both decompositions varied in the ranges 84%-87% (tibialis anterior), 84%-86% (biceps brachii), and 87%-92% (abductor digiti minimi) across the force levels analyzed. This index of agreement between the two decompositions was linearly correlated with a self-consistency measure of motor unit discharge pattern that was based on coefficient of variation for the interspike interval (R2 = 0.68 for tibialis anterior, R2 = 0.56 for biceps brachii, and R2 = 0.38 for abductor digiti minimi). These results constitute an important contribution to the validation of the noninvasive approach for the investigation of motor unit behavior in isometric low-force tasks.","1558-0210","","10.1109/TNSRE.2010.2041593","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5409593","Biomedical signal analysis;high-density surface electromyography (EMG);intramuscular EMG;motor unit;signal resolution","Electromyography;Electrodes;Laboratories;Wire;Signal analysis;Needles;Muscles;Surface discharges;Measurement units;Signal resolution","Action Potentials;Adult;Algorithms;Electrodes;Electromyography;Electrophysiology;Humans;Isometric Contraction;Male;Motor Neurons;Muscle Contraction;Muscle Fibers, Skeletal;Muscle, Skeletal;Reproducibility of Results","244","","21","IEEE","8 Feb 2010","June 2010","","IEEE","IEEE Journals"
"An EMG-Based Robot Control Scheme Robust to Time-Varying EMG Signal Features","P. K. Artemiadis; K. J. Kyriakopoulos","Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA; Control Systems Laboratory, School of Mechanical Engineering, National and Technical University of Athens, Athens, Greece",IEEE Transactions on Information Technology in Biomedicine,"1 Jun 2010","2010","14","3","582","588","Human-robot control interfaces have received increased attention during the past decades. With the introduction of robots in everyday life, especially in providing services to people with special needs (i.e., elderly, people with impairments, or people with disabilities), there is a strong necessity for simple and natural control interfaces. In this paper, electromyographic (EMG) signals from muscles of the human upper limb are used as the control interface between the user and a robot arm. EMG signals are recorded using surface EMG electrodes placed on the user's skin, making the user's upper limb free of bulky interface sensors or machinery usually found in conventional human-controlled systems. The proposed interface allows the user to control in real time an anthropomorphic robot arm in 3-D space, using upper limb motion estimates based only on EMG recordings. Moreover, the proposed interface is robust to EMG changes with respect to time, mainly caused by muscle fatigue or adjustments of contraction level. The efficiency of the method is assessed through real-time experiments, including random arm motions in the 3-D space with variable hand speed profiles.","1558-0032","","10.1109/TITB.2010.2040832","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5415540","Electromyographic (EMG) control;muscle fatigue;neurorobotics","Robot control;Robust control;Electromyography;Muscles;Robot sensing systems;Orbital robotics;Senior citizens;Humans;Electrodes;Skin","Adult;Algorithms;Arm;Bionics;Electromyography;Humans;Male;Man-Machine Systems;Motion;Muscle Contraction;Robotics;Signal Processing, Computer-Assisted","190","1","21","IEEE","17 Feb 2010","May 2010","","IEEE","IEEE Journals"
"Pattern Mining of Multichannel sEMG for Tremor Classification","P. Palmes; W. T. Ang; F. Widjaja; L. C. Tan; W. L. Au","Department of Research, National Neuroscience Institute, Singapore; Biorobotics Laboratory, School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore; Biorobotics Laboratory, School of Mechanical and Aerospace Engineering, Nanyang Technological University, Singapore; Parkinson's Disease & Movement Disorders Center, Department of Neurology, National Parkinson Foundation Center of Excellence, National Neuroscience Institute, Singapore; Parkinson's Disease & Movement Disorders Center, Department of Neurology, National Parkinson Foundation Center of Excellence, National Neuroscience Institute, Singapore",IEEE Transactions on Biomedical Engineering,"15 Nov 2010","2010","57","12","2795","2805","Tremor is defined as the involuntary rhythmic or quasi-rhythmic oscillation of a body part, resulting from alternating or simultaneous contractions of antagonistic muscle groups. While tremor may be physiological, those who have disabling pathological tremors find that performing typical activities for daily living to be physically challenging and emotionally draining. Detecting the presence of tremor and its proper identification are crucial in prescribing the appropriate therapy to lessen its deleterious physical, emotional, psychological, and social impact. While diagnosis relies heavily on clinical evaluation, pattern analysis of surface electromyogram (sEMG) signals can be a useful diagnostic aid for an objective identification of tremor types. Using sEMG system attached to several parts of the patient’s body while performing several tasks, this research aims to develop a classifier system that automates the process of tremor types recognition. Finding the optimal model and its corresponding parameters is not a straightforward process. The resulting workflow, however, provides valuable information in understanding the interplay and impact of the different features and their parameters to the behavior and performance of the classifier system. The resulting model analysis helps identify the necessary locations for the placement of sEMG electrodes and relevant features that have significant impact in the process of classification. These information can help clinicians in streamlining the process of diagnosis without sacrificing its accuracy.","1558-2531","","10.1109/TBME.2010.2076810","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5575400","Electromyography (EMG);ensemble learning;evolutionary algorithm;modeling;parameter optimization;pattern classification;tremor classification","Feature extraction;Pattern analysis;Medical diagnosis;Evolutionary computation;Electromyography","Adolescent;Adult;Aged;Algorithms;Artificial Intelligence;Electromyography;Humans;Middle Aged;Models, Theoretical;Movement Disorders;Movement Disorders;Pattern Recognition, Automated;Principal Component Analysis;Tremor;Tremor","29","","51","IEEE","16 Sep 2010","Dec. 2010","","IEEE","IEEE Journals"
"A New Control Method for Power-Assisted Wheelchair Based on the Surface Myoelectric Signal","Y. Oonishi; S. Oh; Y. Hori","Sony Electronics, Inc., Tokyo, Japan; Department of Electrical Engineering, University of Tokyo, Tokyo, Japan; Department of Electrical Engineering, University of Tokyo, Tokyo, Japan",IEEE Transactions on Industrial Electronics,"9 Aug 2010","2010","57","9","3191","3196","In this paper, we design a new controller for power-assisted wheelchairs. Conventional power-assist controllers only focus on the amplification of the human input force using torque sensor. Our proposed controller does not use a torque sensor but an electromyogram sensor to estimate the driver's intention. We also use a disturbance observer to compensate for the lack of propelling torque information since it is difficult to simply regard the myoelectric signals as propelling torque. Then, we decide assist torque by combining the filtered myoelectric signals and the estimated human torque signal calculated by the disturbance observer. Experimental results show that the proposed power-assist method realizes fast, stable, and smooth acceleration.","1557-9948","","10.1109/TIE.2010.2051931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5483205","Disturbance observer;electromyogram (EMG);power-assisting control;wheelchair","Wheelchairs;Electromyography;Torque control;Humans;Force sensors;Muscles;Propulsion;Senior citizens;Fatigue;Delay","","92","1","20","IEEE","10 Jun 2010","Sept. 2010","","IEEE","IEEE Journals"
"Continuous Detection and Decoding of Dexterous Finger Flexions With Implantable MyoElectric Sensors","J. J. Baker; E. Scheme; K. Englehart; D. T. Hutchinson; B. Greger","Bioengineering Laboratory, University of Utah, Salt Lake, UT, USA; Institute of Biomedical Engineering, University of New Brunswick, Fredericton, NB, Canada; Department of Electrical and Computer Engineering, University of New Brunswick, Fredericton, NB, Canada; Department of Orthopaedics, University of Utah, Salt Lake, UT, USA; Bioengineering Laboratory, University of Utah, Salt Lake, UT, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"9 Aug 2010","2010","18","4","424","432","A rhesus monkey was trained to perform individuated and combined finger flexions of the thumb, index, and middle finger. Nine implantable myoelectric sensors (IMES) were then surgically implanted into the finger muscles of the monkey's forearm, without any adverse effects over two years postimplantation. Using an inductive link, EMG was wirelessly recorded from the IMES as the monkey performed a finger flexion task. The EMG from the different IMES implants showed very little cross correlation. An offline parallel linear discriminant analysis (LDA) based algorithm was used to decode finger activity based on features extracted from continuously presented frames of recorded EMG. The offline parallel LDA was run on intraday sessions as well as on sessions where the algorithm was trained on one day and tested on following days. The performance of the algorithm was evaluated continuously by comparing classification output by the algorithm to the current state of the finger switches. The algorithm detected and classified seven different finger movements, including individual and combined finger flexions, and a no-movement state (chance performance = 12.5%) . When the algorithm was trained and tested on data collected the same day, the average performance was 43.8±3.6% n=10. When the training-testing separation period was five months, the average performance of the algorithm was 46.5±3.4% n=8. These results demonstrated that using EMG recorded and wirelessly transmitted by IMES offers a promising approach for providing intuitive, dexterous control of artificial limbs where human patients have sufficient, functional residual muscle following amputation.","1558-0210","","10.1109/TNSRE.2010.2047590","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445014","Decode;electromyography;fingers;parallel algorithms","Decoding;Fingers;Electromyography;Linear discriminant analysis;Muscles;Testing;Thumb;Surgery;Implants;Feature extraction","Algorithms;Animals;Electrodes, Implanted;Electromyography;Equipment Design;Fingers;Macaca mulatta;Male;Movement;Reproducibility of Results;Telemetry","63","2","22","IEEE","8 Apr 2010","Aug. 2010","","IEEE","IEEE Journals"
"Control of Hand Prostheses Using Peripheral Information","S. Micera; J. Carpaneto; S. Raspopovic","Scuola Superiore Sant'Anna, ARTS Laboratory, Pisa, Italy; Scuola Superiore Sant'Anna, ARTS Laboratory, Pisa, Italy; Scuola Superiore Sant'Anna, ARTS Laboratory, Pisa, Italy",IEEE Reviews in Biomedical Engineering,"6 Dec 2010","2010","3","","48","68","Several efforts have been carried out to enhance dexterous hand prosthesis control by impaired individuals. Choosing which voluntary signal to use for control purposes is a critical element to achieve this goal. This review presents and discusses the recent results achieved by using electromyographic signals, recorded either with surface (sEMG) or intramuscular (iEMG) electrodes, and electroneurographic (ENG) signals. The potential benefits and shortcomings of the different approaches are described with a particular attention to the definition of all the steps required to achieve an effective hand prosthesis control in the different cases. Finally, a possible roadmap in the field is also presented.","1941-1189","","10.1109/RBME.2010.2085429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5598519","Cybernetic hand prostheses;electromyographic (EMG) signals;electroneurographic (ENG) signals;hybrid bionic systems;intraneural interfaces;sensory feedback","Electrodes;Muscles;Prosthetics;Electromyography;Feature extraction;Switches;Sensors","Algorithms;Artificial Limbs;Electrodes;Electromyography;Electromyography;Hand;Humans;Muscle, Skeletal","321","3","161","IEEE","11 Oct 2010","2010","","IEEE","IEEE Journals"
"Use of Neck Strap Muscle Intermuscular Coherence as an Indicator of Vocal Hyperfunction","C. E. Stepp; R. E. Hillman; J. T. Heaton","Harvard-MIT Division, Health Sciences and Technology, Cambridge, MA, USA; Departments of Surgery and Health Sciences and Technology, Harvard Medical School, Boston, MA, USA; Department of Surgery, Harvard Medical School, Boston, MA, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"7 Jun 2010","2010","18","3","329","335","Intermuscular coherence in the beta band was explored as a possible indicator of vocal hyperfunction, a common condition associated with many voice disorders. Surface electromyography (sEMG) was measured from two electrodes on the anterior neck surface of 18 individuals with vocal nodules and 18 individuals with healthy normal voice. Coherence was calculated from sEMG activity gathered while participants produced both read and spontaneous speech. There was no significant effect of speech type on average coherence. Individuals with vocal nodules showed significantly lower mean coherence in the beta band (15-35 Hz) when compared to controls. Results suggest that bilateral EMG-EMG beta coherence in neck strap muscle during speech production shows promise as an indicator of vocal hyperfunction.","1558-0210","","10.1109/TNSRE.2009.2039605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5382599","Motor drives;surface electromyography;vocal system","Neck;Muscles;Pathology;Acoustic measurements;Surgery;Speech;Aerodynamics;Medical diagnostic imaging;Electromyography;Hospitals","Adult;Electrodes;Electromyography;Female;Humans;Neck;Speech;Vocal Cords;Voice Disorders;Voice Disorders;Young Adult","32","","48","IEEE","15 Jan 2010","June 2010","","IEEE","IEEE Journals"
"EMG-Based Control of a Robot Arm Using Low-Dimensional Embeddings","P. K. Artemiadis; K. J. Kyriakopoulos","Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA; Control Systems Laboratory, School of Mechanical Engineering, National and Technical University of Athens, Athens, Greece",IEEE Transactions on Robotics,"1 Apr 2010","2010","26","2","393","398","As robots come closer to humans, an efficient human-robot-control interface is an utmost necessity. In this paper, electromyographic (EMG) signals from muscles of the human upper limb are used as the control interface between the user and a robot arm. A mathematical model is trained to decode upper limb motion from EMG recordings, using a dimensionality-reduction technique that represents muscle synergies and motion primitives. It is shown that a 2-D embedding of muscle activations can be decoded to a continuous profile of arm motion representation in the 3-D Cartesian space, embedded in a 2-D space. The system is used for the continuous control of a robot arm, using only EMG signals from the upper limb. The accuracy of the method is assessed through real-time experiments, including random arm motions.","1941-0468","","10.1109/TRO.2009.2039378","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5401049","Dimensionality reduction;electromyographic (EMG)-based control;EMG signals;neurorobotics","Robot control;Electromyography;Muscles;Decoding;Electric variables control;Humans;Control systems;Orbital robotics;Mechanical engineering;Motion control","","227","1","13","IEEE","29 Jan 2010","April 2010","","IEEE","IEEE Journals"
"Unsupervised Bayesian Decomposition of Multiunit EMG Recordings Using Tabu Search","D. Ge; E. L. Carpentier; D. Farina $^{*}$","Unité Mixte de Recherche 6597, Centre National de la Recherche Scientifique, Nantes, France; Unité Mixte de Recherche 6597, Centre National de la Recherche Scientifique, Nantes, France; Department of Health Science and Technology, Aalborg University, Aalborg, Denmark",IEEE Transactions on Biomedical Engineering,"22 Feb 2010","2010","57","3","561","571"," Intramuscular electromyography (EMG) signals are usually decomposed with semiautomatic procedures that involve the interaction with an expert operator. In this paper, a Bayesian statistical model and a maximum a posteriori (MAP) estimator are used to solve the problem of multiunit EMG decomposition in a fully automatic way. The MAP estimation exploits both the likelihood of the reconstructed EMG signal and some physiological constraints, such as the discharge pattern regularity and the refractory period of muscle fibers, as prior information integrated in a Bayesian framework. A Tabu search is proposed to efficiently tackle the nondeterministic polynomial-time-hard problem of optimization w.r.t the motor unit discharge patterns. The method is fully automatic and was tested on simulated and experimental EMG signals. Compared with the semiautomatic decomposition performed by an expert operator, the proposed method resulted in an accuracy of 90.0% $\,\pm\, \hbox{3.8}\%$ when decomposing single-channel intramuscular EMG signals recorded from the abductor digiti minimi muscle at contraction forces of 5% and 10% of the maximal force. The method can also be applied to the automatic identification and classification of spikes from other neural recordings. ","1558-2531","","10.1109/TBME.2009.2022277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4956993","Bayesian analysis;electromyography (EMG) signal decomposition;Tabu search","Bayesian methods;Electromyography;Muscles;Signal resolution;Interference;NP-hard problem;Optical fiber testing;Polynomials;Automatic testing;Signal analysis","Action Potentials;Adult;Algorithms;Bayes Theorem;Computer Simulation;Electromyography;Hand;Humans;Male;Muscle Contraction;Muscle, Skeletal;Signal Processing, Computer-Assisted","24","","27","IEEE","19 May 2009","March 2010","","IEEE","IEEE Journals"
"Two-Dimensional Cursor-to-Target Control From Single Muscle Site sEMG Signals","C. Perez-Maldonado; A. S. Wexler; S. S. Joshi","Systems Engineering Group of the Molecular Imaging Division, Siemens Medical Solutions, Inc., Hoffman Estates, IL, USA; Department of Mechanical and AeroSpace Engineering and the Biomedical Engineering Graduate Group, University of California, Davis, CA, USA; Department of Mechanical and AeroSpace Engineering and the Biomedical Engineering Graduate Group, University of California, Davis, CA, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"26 Apr 2010","2010","18","2","203","209","In this study, human subjects achieve two-dimensional cursor-to-target control using the surface electromyogram (sEMG) from a single muscle site. The X-coordinate and the Y-coordinate of the computer cursor were simultaneously controlled by the active manipulation of power within two frequency bands of the sEMG power-spectrum. Success of the method depends on the sEMG frequency bandwidths and their midpoints. We acquired the sEMG signals at a single facial muscle site of four able-bodied subjects and trained them, by visual feedback, to control the position of the cursor. After training, all four subjects were able to simultaneously control the X and Y positions of the cursor to accurately and consistently hit three widely-separated targets on a computer screen. This technology has potential application in a wide variety of human-machine interfaces to assistive technologies.","1558-0210","","10.1109/TNSRE.2009.2039394","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5378610","Cursor control;human–machine interface;surface electromyogram (sEMG)","Frequency;Electromyography;Humans;Electrodes;Biomedical engineering;Signal processing;Facial muscles;Application software;Biomedical measurements;Systems engineering and theory","Adult;Data Display;Electrodes;Electromyography;Female;Humans;Male;Middle Aged;Muscle, Skeletal;Signal Processing, Computer-Assisted;User-Computer Interface;Young Adult","38","1","22","IEEE","12 Jan 2010","April 2010","","IEEE","IEEE Journals"
