"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Bilinear Modeling of EMG Signals to Extract User-Independent Features for Multiuser Myoelectric Interface","T. Matsubara; J. Morimoto","Graduate School of Information Science, Nara Institute of Science and Technology, Nara, Japan; Department of Brain Robot Interface, ATR Computational Neuroscience Laboratories, Kyoto, Japan",IEEE Transactions on Biomedical Engineering,"15 Jul 2013","2013","60","8","2205","2213","In this study, we propose a multiuser myoelectric interface that can easily adapt to novel users. When a user performs different motions (e.g., grasping and pinching), different electromyography (EMG) signals are measured. When different users perform the same motion (e.g., grasping), different EMG signals are also measured. Therefore, designing a myoelectric interface that can be used by multiple users to perform multiple motions is difficult. To cope with this problem, we propose for EMG signals a bilinear model that is composed of two linear factors:1) user dependent and 2) motion dependent. By decomposing the EMG signals into these two factors, the extracted motion-dependent factors can be used as user-independent features. We can construct a motion classifier on the extracted feature space to develop the multiuser interface. For novel users, the proposed adaptation method estimates the user-dependent factor through only a few interactions. The bilinear EMG model with the estimated user-dependent factor can extract the user-independent features from the novel user data. We applied our proposed method to a recognition task of five hand gestures for robotic hand control using four-channel EMG signals measured from subject forearms. Our method resulted in 73% accuracy, which was statistically significantly different from the accuracy of standard non-multiuser interfaces, as the result of a two-sample t-test at a significance level of 1%.","1558-2531","","10.1109/TBME.2013.2250502","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6472786","Electromyography (EMG);feature extraction;multiuser interface;myoelectric interface;robot hand control","Electromyography;Feature extraction;Adaptation models;Accuracy;Support vector machines;Data models;Robots","Adult;Algorithms;Computer Simulation;Electromyography;Gestures;Hand;Humans;Linear Models;Male;Man-Machine Systems;Models, Biological;Muscle Contraction;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Robotics;Sensitivity and Specificity","161","1","37","IEEE","7 Mar 2013","Aug. 2013","","IEEE","IEEE Journals"
"Classification of Simultaneous Movements Using Surface EMG Pattern Recognition","A. J. Young; L. H. Smith; E. J. Rouse; L. J. Hargrove","The Center forBionic Medicine, Rehabilitation Institute of Chicago, Northwestern University, Chicago, IL, USA; Department of Biomedical Engineering, Northwestern University, Chicago, IL, USA; Biomechatronics Group, MIT Media Laboratory, Cambridge, MA, USA; Department of Physical Medicine and Rehabilitation and the Department of Biomedical Engineering, Northwestern University, Evanston, IL, USA",IEEE Transactions on Biomedical Engineering,"15 Apr 2013","2013","60","5","1250","1258","Advanced upper limb prostheses capable of actuating multiple degrees of freedom (DOFs) are now commercially available. Pattern recognition algorithms that use surface electromyography (EMG) signals show great promise as multi-DOF controllers. Unfortunately, current pattern recognition systems are limited to activate only one DOF at a time. This study introduces a novel classifier based on Bayesian theory to provide classification of simultaneous movements. This approach and two other classification strategies for simultaneous movements were evaluated using nonamputee and amputee subjects classifying up to three DOFs, where any two DOFs could be classified simultaneously. Similar results were found for nonamputee and amputee subjects. The new approach, based on a set of conditional parallel classifiers was the most promising with errors significantly less ( p <; 0.05) than a single linear discriminant analysis (LDA) classifier or a parallel approach. For three-DOF classification, the conditional parallel approach had error rates of 6.6% on discrete and 10.9% on combined motions, while the single LDA had error rates of 9.4% on discrete and 14.1% on combined motions. The low error rates demonstrated suggest than pattern recognition techniques on surface EMG can be extended to identify simultaneous movements, which could provide more life-like motions for amputees compared to exclusively classifying sequential movements.","1558-2531","","10.1109/TBME.2012.2232293","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6377275","Electromyography (EMG);multi-DOF powered prosthesis classification;pattern recognition;simultaneous/coordinated movements","Wrist;Electromyography;Pattern recognition;Error analysis;Prosthetics;Elbow","Algorithms;Artificial Limbs;Bayes Theorem;Electromyography;Female;Humans;Male;Pattern Recognition, Automated;Range of Motion, Articular;Signal Processing, Computer-Assisted","269","1","37","IEEE","10 Dec 2012","May 2013","","IEEE","IEEE Journals"
"Wireless Surface Electromyography Probes With Four High-Speed Channels","G. Imperatori; P. Cunzolo; D. Cvetkov; D. Barrettino","Phonak AG, Stafa, Switzerland; Department of Technology and Innovation, University of Applied Sciences of Southern Switzerland, Manno, Switzerland; Department of Technology and Innovation, University of Applied Sciences of Southern Switzerland, Manno, Switzerland; Department of Technology and Innovation, University of Applied Sciences of Southern Switzerland, Manno, Switzerland",IEEE Sensors Journal,"4 Jul 2013","2013","13","8","2954","2961","This paper presents two wireless surface electromyography (sEMG) probes with four high-speed channels each. Compared to the portable sEMG probes available in the market, the presented wireless sEMG probes have: (a) higher transmission speeds, allowing higher sampling frequencies; (b) a higher number of sensing channels; and (c) a wide range of programmable gains, thus allowing the measurement of very weak sEMG signals down to 20 nV. Experimental results obtained from recording sEMG signals from both bicep and masseter muscles conveniently displayed on smartphones are reported.","1558-1748","","10.1109/JSEN.2013.2260145","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6508816","Biomedical sensors;mobile applications;surface electromyography;wireless sensors","Wireless communication;Wireless sensor networks;Power demand;Gain measurement;Electromyography;Sensors;Biosensors;Probes;Wireless fidelity;Smart phones","","6","","17","IEEE","25 Apr 2013","Aug. 2013","","IEEE","IEEE Journals"
"Real-Time Motor Unit Identification From High-Density Surface EMG","V. Glaser; A. Holobar; D. Zazula","Faculty of Electrical Engineering and Computer Science, System Software Laboratory, Maribor, Slovenia; Faculty of Electrical Engineering and Computer Science, University of Maribor, Maribor, Slovenia; Faculty of Electrical Engineering and Computer Science, University of Maribor, Maribor, Slovenia",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"4 Nov 2013","2013","21","6","949","958","This study addresses online decomposition of high-density surface electromyograms (EMG) in real time. The proposed method is based on the previously published Convolution Kernel Compensation (CKC) technique and shares the same decomposition paradigm, i.e., compensation of motor unit action potentials and direct identification of motor unit (MU) discharges. In contrast to previously published version of CKC, which operates in batch mode and requires ~ 10 s of EMG signal, the real-time implementation begins with batch processing of ~ 3 s of the EMG signal in the initialization stage and continues on with iterative updating of the estimators of MU discharges as blocks of new EMG samples become available. Its detailed comparison to previously validated batch version of CKC and asymptotically Bayesian optimal linear minimum mean square error (LMMSE) estimator demonstrates high agreement in identified MU discharges among all three techniques. In the case of synthetic surface EMG with 20 dB signal-to-noise ratio, MU discharges were identified with average sensitivity of 98%. In the case of experimental EMG, real-time CKC fully converged after initial 5 s of EMG recordings and real-time and batch CKC agreed on 90% of MU discharges, on average. The real-time CKC identified slightly fewer MUs than its batch version (experimental EMG, 4 MUs versus 5 MUs identified by batch CKC, on average), but required only 0.6 s of processing time on regular personal computer for each second of multichannel surface EMG.","1558-0210","","10.1109/TNSRE.2013.2247631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6475191","Discharge pattern;high-density electromyograms (EMG);motor unit;real-time decomposition;surface EMG","Electromyography;Real-time systems;Discharges (electric);Sensitivity;Muscles;Vectors;Surface discharges","Action Potentials;Algorithms;Computer Systems;Electromyography;Humans;Isometric Contraction;Male;Motor Neurons;Muscle, Skeletal;Neuromuscular Junction;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Synaptic Transmission","134","","37","IEEE","6 Mar 2013","Nov. 2013","","IEEE","IEEE Journals"
"Surface Versus Untargeted Intramuscular EMG Based Classification of Simultaneous and Dynamically Changing Movements","E. N. Kamavuako; J. C. Rosenvang; R. Horup; W. Jensen; D. Farina; K. B. Englehart","Department of Health Science and Technology, Center for Sensory-Motor Interaction (SMI), Aalborg, DK, Denmark; Health care services, Capgemini, Århus, Denmark; EHR Consultants, Odense University Hospital, Odense, Denmark; Department of Health Science and Technology, Center for Sensory-Motor Interaction (SMI), Aalborg, DK, Denmark; Department of Health Science and Technology, Center for Sensory-Motor Interaction (SMI), Aalborg, DK, Denmark; Department of Electrical and Computer Engineering, Institute of Biomedical Engineering, Fredericton, NB, Canada",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"4 Nov 2013","2013","21","6","992","998","The pattern recognition-based myoelectric control scheme is in the process of being implemented in clinical settings, but it has been mainly tested on sequential and steady state data. This paper investigates the ability of pattern recognition to resolve movements that are simultaneous and dynamically changing and compares the use of surface and untargeted intramuscular EMG signals for this purpose. Ten able-bodied subjects participated in the study. Both EMG types were recorded concurrently from the right forearm. The subjects were instructed to track dynamic contraction profiles using single and combined degrees of freedom in three trials. During trials one and two, the amplitude and the frequency of the profile were kept constant (nonmodulated data), and during trial three, the two parameters were modulated (modulated data). The results showed that the performance was up to 93% for nonmodulated tasks, but highly depended on the nature of the data used. Surface and untargeted intramuscular EMG had equal performance for data of similar nature (nonmodulated), but the performance of intramuscular EMG decreased, compared to surface, when tested on modulated data. However, the results of intramuscular recordings obtained in this study are promising for future use of implantable electrodes, because, besides the value added in terms of potential chronic implantation, the performance is theoretically the same as for surface EMG provided that enough information is captured in the recordings. Nevertheless, care should be taken when training the system since data obtained from selective recordings probably need more training data to generalize to new signals.","1558-0210","","10.1109/TNSRE.2013.2248750","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6476027","Classifiers;dynamic movement;intramuscular electromyography (EMG);pattern recognition;simultaneous movement","Electromyography;Pattern recognition;Torque;Muscles;Electrodes;Training;Educational institutions","Adaptation, Physiological;Adult;Algorithms;Electromyography;Female;Humans;Male;Muscle Contraction;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Young Adult","36","","32","IEEE","7 Mar 2013","Nov. 2013","","IEEE","IEEE Journals"
"Multi-Scale Surface Electromyography Modeling to Identify Changes in Neuromuscular Activation With Myofascial Pain","C. -F. Jiang; Y. -C. Lin; N. -Y. Yu","Department of Biomedical Engineering, I-Shou University, Kaohsiung, Taiwan; Department of Physical Medicine and Rehabilitation, National Cheng Kung University Hospital, Tainan, Taiwan; Department of Physical Therapy, I-Shou University, Kaohsiung, Taiwan",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"4 Jan 2013","2013","21","1","88","95","To solve the limitations in using the conventional parametric measures to define myofascial pain, a 3-D multi-scale wavelet energy variation graph is proposed as a way to inspect the pattern of surface electromyography (SEMG) variation between the dominant and nondominant sides at different frequency scales during a muscle contraction cycle and the associated changes with the upper-back myofascial pain. The model was developed based on the property of the wavelet energy of the SEMG signal revealing the degree of correspondence between the shape of the motor unit action potential and the wavelet waveform at a certain scale in terms of the frequency band. The characteristic pattern of the graph for each group (30 normal and 26 patient subjects) was first derived and revealed the dominant-hand effect and the changes with myofascial pain. Through comparison of individual graphs across subjects, we found that the graph pattern reveals a sensitivity of 53.85% at a specificity of 83.33% in the identification of myofascial pain. The changes in these patterns provide insight into the transformation between different fiber recruitment, which cannot be explored using conventional SEMG features. Therefore, this multi-scale analysis model could provide a reliable SEMG features to identify myofascial pain.","1558-0210","","10.1109/TNSRE.2012.2211618","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6327369","Myofascial pain (MF);surface electromyography (SEMG);wavelet energy","Pain;Wavelet transforms;Electromyography;Neuromuscular;Recruitment;Shape","Adult;Algorithms;Computer Simulation;Electromyography;Female;Fibromyalgia;Humans;Male;Middle Aged;Models, Neurological;Models, Statistical;Muscle Contraction;Muscle, Skeletal;Neuromuscular Junction;Reproducibility of Results;Sensitivity and Specificity;Synaptic Transmission","8","","21","IEEE","8 Oct 2012","Jan. 2013","","IEEE","IEEE Journals"
"An Adaptive Algorithm for the Determination of the Onset and Offset of Muscle Contraction by EMG Signal Processing","Q. Xu; Y. Quan; L. Yang; J. He","Department of Control Science and Engineering, Huazhong University of Science and Technology, Wuhan, China; Huazhong University of Science and Technology, Wuhan, Hubei, CN; Huazhong University of Science and Technology, Wuhan, Hubei, CN; Department of bioengineering, Arizona State University, Tempe, AZ, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"4 Jan 2013","2013","21","1","65","73","Estimation of on–off timing of human skeletal muscles during movement is an ongoing issue in surface electromyography (sEMG) signal processing for relevant clinical applications. Widely used single threshold methods still rely on the experience of the operator to manually establish a threshold level. In this paper, a novel approach to address this issue is presented. Based on the generalized likelihood ratio test, the maximum likelihood (ML) method is improved with an adaptive threshold technique based on the signal-to-noise ratio (SNR) estimate in the initial time before accurate sEMG analyses. The dependence of optimal threshold on SNR is determined by minimizing the onset/offset estimate error on a large set of simulated signals with well-known signal parameters. Accuracy and precision of the algorithm were assessed by using a set of simulated signals and real sEMG signals recorded from two healthy subjects during elbow flexion-extension movements with and without workload. Comparison with traditional algorithms shows that with a moderate increase in the computational effort the ML algorithm performs well even for low levels of EMG activity, while the proposed adaptive method is most robust with respect to variations in SNRs. Also, we discuss the results of analyzing the sEMG recordings from the selected proximal muscles of the upper limb in two hemiparetic subjects. The detection algorithm is automatic and user-independent, managing the detection of both onset and offset activation, and is applicable in presence of noise allowing use by skilled and unskilled operators alike.","1558-0210","","10.1109/TNSRE.2012.2226916","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6353938","Adaptive decision threshold;electromyography (EMG) signal;maximum likelihood method;muscle contraction","Muscles;Signal to noise ratio;Electromyography;Standards;Algorithm design and analysis;Maximum likelihood estimation;Signal processing algorithms","Algorithms;Electromyography;Feedback;Humans;Muscle Contraction;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity","73","1","26","IEEE","15 Nov 2012","Jan. 2013","","IEEE","IEEE Journals"
"Alterations in the Peak Amplitude Distribution of the Surface Electromyogram Poststroke","X. Li; A. Suresh; P. Zhou; W. Z. Rymer","Sensory Motor Performance Program, Rehabilitation Institute of Chicago, Chicago, IL, USA; Sensory Motor Performance Program, Rehabilitation Institute of Chicago, Chicago, IL, USA; Departments of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA; Departments of Physical Medicine and Rehabilitation, Physiology, and Biomedical Engineering, Northwestern University, Chicago, IL, USA",IEEE Transactions on Biomedical Engineering,"11 Mar 2013","2013","60","3","845","852","We introduce a new method to examine the spinal motoneuron involvement after stroke using a surface electromyography (EMG) recording system. Fourteen chronic stroke survivors with mild to severe muscle weakness participated in the study. Surface EMG signals were collected from the first dorsal interosseous muscle while subjects performed isometric index finger abduction with paretic or contralateral hand at different matched force levels. Compared with the contralateral muscles, different patterns of peak amplitude distribution were observed at the paretic muscles, which could be induced by motor unit pathological alterations following a stroke. Compared with the conventional electrophysiological methods, the peak amplitude distribution analysis proposed in this study provides a convenient approach to help identify specific mechanisms of muscle weakness and other symptoms after stroke.","1558-2531","","10.1109/TBME.2012.2205249","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6220858","Amplitude distribution;peak detection;stroke;surface electromyography (EMG)","Muscles;Force;Electromyography;Indexes;Fingers;Optical fiber sensors;Gaussian distribution","Adult;Aged;Analysis of Variance;Electrodes;Electromyography;Electromyography;Female;Fingers;Humans;Male;Middle Aged;Muscle, Skeletal;Signal Processing, Computer-Assisted;Stroke","40","","31","IEEE","19 Jun 2012","March 2013","","IEEE","IEEE Journals"
"The Use of a Bone-Anchored Device as a Hard-Wired Conduit for Transmitting EMG Signals From Implanted Muscle Electrodes","Y. Al-Ajam; H. Lancashire; C. Pendegrass; N. Kang; R. P. Dowling; S. J. G. Taylor; G. Blunn","Institute of Biomedical Engineering, Royal National Orthopaedic Hospital, University College London, Stanmore, UK; Institute of Biomedical Engineering, Royal National Orthopaedic Hospital, University College London, Stanmore, UK; Institute of Biomedical Engineering, Royal National Orthopaedic Hospital, University College London, Stanmore, UK; Department of Plastic and Reconstructive Surgery, Royal Free Hospital, London, UK; Institute of Biomedical Engineering, Royal National Orthopaedic Hospital, University College London, Stanmore, UK; Institute of Biomedical Engineering, Royal National Orthopaedic Hospital, University College London, Stanmore, UK; Institute of Biomedical Engineering, Royal National Orthopaedic Hospital, University College London, Stanmore, UK",IEEE Transactions on Biomedical Engineering,"15 May 2013","2013","60","6","1654","1659","The use of a bone-anchored device to transmit electrical signals from internalized muscle electrodes was studied in a sheep model. The bone-anchored device was used as a conduit for the passage of a wire connecting an internal epimysial electrode to an external signal-recording device. The bone-anchored device was inserted into an intact tibia and the electrode attached to the adjacent M. peroneus tertius. “Physiological” signals with low signal-to-noise ratios were successfully obtained over a 12-week period by walking the sheep on a treadmill. Reliable transmission of multiple muscle signals across the skin barrier is essential for providing intuitive, biomimetic upper limb prostheses. This technology has the potential to provide a better functional and reliable solution for upper limb amputee rehabilitation: attachment and control.","1558-2531","","10.1109/TBME.2013.2241060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6417997","Bone-anchored device;implantable myoelectrodes;myoelectric control;prosthetic limbs","Electrodes;Muscles;Electromyography;Wires;Skin;Implants;Sockets","Animals;Artificial Limbs;Electrodes, Implanted;Electromyography;Electromyography;Female;Muscle, Skeletal;Muscle, Skeletal;Sheep;Signal Processing, Computer-Assisted;Signal-To-Noise Ratio;Stifle;Suture Anchors;Tibia","16","","18","IEEE","23 Jan 2013","June 2013","","IEEE","IEEE Journals"
"Better Pregnancy Monitoring Using Nonlinear Correlation Analysis of External Uterine Electromyography","M. Hassan; J. Terrien; C. Muszynski; A. Alexandersson; C. Marque; B. Karlsson","School of Science and Engineering, Reykjavik University, Reykjavik, Iceland; Department of Electronics, Université de Technologie de Compiègne, Compiegne, France; Center of Gynecology and Obstetrics, CHU Amiens, France; Akureyri Primary Health Care Center, Akureyri, Iceland; Department of Biomechanics and Bioengineering, Université de Technologie de Compiègne, Compiegne, France; School of Science and Engineering, Reykjavik University, Reykjavik, Iceland",IEEE Transactions on Biomedical Engineering,"18 Mar 2013","2013","60","4","1160","1166","The objective of this paper is to evaluate the novel method for analyzing the nonlinear correlation of the uterine electromyography (EMG). The application of this method may improve monitoring in pregnancy, labor detection, and preterm labor detection. Uterine EMG signals recorded from a 4 × 4 matrix of electrodes on the subjects' abdomen are used here. The propagation was analyzed using the nonlinear correlation coefficient h2. Signals from 49 women (36 during pregnancy and 13 in labor) at different gestational age were used. ROC curves were computed to evaluate the potential of three methods to differentiate between 174 contractions recorded during pregnancy and 115 contractions recorded during labor. The results indicate considerably better performance of the nonlinear correlation analysis (area under curve = 0.85) when compared to classical frequency parameters (area under curve = 0.76 and 0.66) in distinguishing labor contractions from normal pregnancy contractions. We conclude that the analysis of the propagation of the uterine electrical activity using the nonlinear correlation coefficient h2 is a promising way of improving the usefulness of uterine EMG signals for clinical purposes, such as monitoring in pregnancy, labor detection, and prediction of preterm labor.","1558-2531","","10.1109/TBME.2012.2229279","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6359789","External uterine electromyography (EMG);pregnancy monitoring;preterm labor (PL);propagation analysis","Pregnancy;Electrodes;Correlation;Electromyography;Educational institutions;Monitoring","Abdomen;Electrodes;Electromyography;Electromyography;Female;Humans;Nonlinear Dynamics;Pregnancy;Signal Processing, Computer-Assisted;Uterine Monitoring;Uterine Monitoring","82","","40","IEEE","21 Nov 2012","April 2013","","IEEE","IEEE Journals"
