"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Time-Varying Multicomponent Signal Modeling for Analysis of Surface EMG Data","M. Zivanovic","Electrical Engineering Department, Public University of Navarra, Pamplona, Spain",IEEE Signal Processing Letters,"2 Apr 2014","2014","21","6","692","696","We present a novel approach to surface EMG data characterization by using time-varying multicomponent signal modeling. An EMG signal is described as a set of stationary non-harmonically related sinusoids (signal components) whose time-varying bandwidth is modeled by polynomials. The polynomial coefficients, estimated from a set of linear equations, capture the relationship between the instantaneous frequency and amplitude for individual signal components. It is proposed that such a compact EMG signal modeling may be a good candidate for a number of applications in surface electromyography: compression, muscle activity detection and low-bias conduction velocity, to name a few.","1558-2361","","10.1109/LSP.2014.2313880","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6778792","Multicomponent signals;non-stationary signals;signal modeling;surface electromyography","Electromyography;Mathematical model;Polynomials;Surface treatment;Discrete wavelet transforms;Muscles","","9","","22","IEEE","26 Mar 2014","June 2014","","IEEE","IEEE Journals"
"Is Accurate Mapping of EMG Signals on Kinematics Needed for Precise Online Myoelectric Control?","N. Jiang; I. Vujaklija; H. Rehbaum; B. Graimann; D. Farina","Department of Neurorehabilitation Engineering, University Medical Center Göttingen, Georg-August University, Bernstein Center for Computational Neuroscience, Göttingen, Germany; OttoBock HealthCare GmbH, Strategic Technology Management, Duderstadt, Germany; OttoBock HealthCare GmbH, Strategic Technology Management, Duderstadt, Germany; OttoBock HealthCare GmbH, Strategic Technology Management, Duderstadt, Germany; Department of Neurorehabilitation Engineering, University Medical Center Göttingen, Georg-August University, Bernstein Center for Computational Neuroscience, Göttingen, Germany",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"28 Apr 2014","2014","22","3","549","558","In this paper, we present a systematic analysis of the relationship between the accuracy of the mapping between EMG and hand kinematics and the control performance in goal-oriented tasks of three simultaneous and proportional myoelectric control algorithms: nonnegative matrix factorization (NMF), linear regression (LR), and artificial neural networks (ANN). The purpose was to investigate the impact of the precision of the kinematics estimation by a myoelectric controller for accurately complete goal-directed tasks. Nine naïve subjects performed a series of goal-directed myoelectric control tasks using the three algorithms, and their online performance was characterized by 6 indexes. The results showed that, although the three algorithms' mapping accuracies were significantly different, their online performance was similar. Moreover, for LR and ANN, the offline performance was not correlated to any of the online performance indexes, and only a weak correlation was found with three of them for NMF . We conclude that for reliable simultaneous and proportional myoelectric control, it is not necessary to achieve high accuracy in the mapping between EMG and kinematics. Rather, good online myoelectric control is achieved by the continuous interaction and adaptation of the user with the myoelectric controller through feedback (visual in the current study). Control signals generated by EMG with rather poor association with kinematic variables can still be fully exploited by the user for precise control. This conclusion explains the possibility of accurate simultaneous and proportional control over multiple degrees of freedom when using unsupervised algorithms, such as NMF.","1558-0210","","10.1109/TNSRE.2013.2287383","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6648468","Myoelectric signal processing;online performance;prosthetic control;regression","Electromyography;Accuracy;Artificial neural networks;Wrist;Training;Kinematics;Calibration","Adult;Algorithms;Biomechanical Phenomena;Electromyography;Female;Hand;Humans;Male;Neural Networks (Computer);Online Systems;Reproducibility of Results;Signal Processing, Computer-Assisted;Young Adult","187","1","30","IEEE","25 Oct 2013","May 2014","","IEEE","IEEE Journals"
"Identification of Contaminant Type in Surface Electromyography (EMG) Signals","P. McCool; G. D. Fraser; A. D. C. Chan; L. Petropoulakis; J. J. Soraghan","Centre for Excellence in Signal and Image Processing, University of Strathclyde, Glasgow, UK; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Centre for Excellence in Signal and Image Processing, University of Strathclyde, Glasgow, UK; Centre for Excellence in Signal and Image Processing, University of Strathclyde, Glasgow, UK",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"8 Jul 2014","2014","22","4","774","783","The ability to recognize various forms of contaminants in surface electromyography (EMG) signals and to ascertain the overall quality of such signals is important in many EMG-enabled rehabilitation systems. In this paper, new methods for the automatic identification of commonly occurring contaminant types in surface EMG signals are presented. Such methods are advantageous because the contaminant type is typically not known in advance. The presented approach uses support vector machines as the main classification system. Both simulated and real EMG signals are used to assess the performance of the methods. The contaminants considered include: 1) electrocardiogram interference; 2) motion artifact; 3) power line interference; 4) amplifier saturation; and 5) additive white Gaussian noise. Results show that the contaminants can readily be distinguished at lower signal to noise ratios, with a growing degree of confusion at higher signal to noise ratios, where their effects on signal quality are less significant.","1558-0210","","10.1109/TNSRE.2014.2299573","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6718122","Biosignal quality analysis;classification;electromyography (EMG);myoelectric signals;prostheses","Electromyography;Signal to noise ratio;Electrocardiography;Interference;Muscles;Contamination;Support vector machines","Action Potentials;Algorithms;Artifacts;Data Interpretation, Statistical;Electromyography;Humans;Muscle Contraction;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity","75","","33","IEEE","21 Jan 2014","July 2014","","IEEE","IEEE Journals"
"Automated Biosignal Quality Analysis for Electromyography Using a One-Class Support Vector Machine","G. D. Fraser; A. D. C. Chan; J. R. Green; D. T. MacIsaac","Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Department of Electrical and Computer Engineering, University of New Brunswick, Fredericton, NB, Canada",IEEE Transactions on Instrumentation and Measurement,"6 Nov 2014","2014","63","12","2919","2930","This paper introduces the importance of biosignal quality assessment and presents a pattern classification approach to differentiate clean from contaminated electromyography (EMG) signals. Alternatively to traditional bottom-up approaches, which examine specific contaminants only, we present a top-down approach using a one-class support vector machine (SVM) trained on clean EMG and tested on artificially contaminated EMG. Both simulated and real EMG are used. Results are evaluated for each contaminant: 1) power line interference; 2) motion artifact; 3) ECG interference; 4) quantization noise; 5) analog-to-digital converter clipping; and 6) amplifier saturation, as a function of the level of signal contamination. Results show that different ranges of contamination can be detected in the EMG depending on the type of contaminant. At high levels of contamination, the SVM classifies all EMG signals as contaminated, whereas at low levels of contamination, it classifies the majority of EMG signals as contaminant free. A transition point for each contaminant is identified, where the classification accuracy drops and variance in classification increases. In some cases, contamination can be detected with the SVM when it is not visually discernible. This method is shown to be successful in detecting problems due to single contaminants but is generic to all forms of contamination in EMG.","1557-9662","","10.1109/TIM.2014.2317296","National Science and Engineering Research Council of Canada; Professional Quality Assurance; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6807760","Biomedical measurements;biosignal quality analysis;electromyography (EMG);machine learning;myoelectric signals;support vector machines (SVMs).;Biomedical measurements;biosignal quality analysis;electromyography (EMG);machine learning;myoelectric signals;support vector machines (SVMs)","Electromyography;Contamination;Support vector machines;Electrocardiography;Machine learning;Biomedical measurement","","95","","50","IEEE","29 Apr 2014","Dec. 2014","","IEEE","IEEE Journals"
"Intuitive, Online, Simultaneous, and Proportional Myoelectric Control Over Two Degrees-of-Freedom in Upper Limb Amputees","N. Jiang; H. Rehbaum; I. Vujaklija; B. Graimann; D. Farina","Department of Neurorehabilitation Engineering, Bernstein Center for Computational Neuroscience, University Medical Center Göttingen, Georg-August University, Göttingen, Germany; OttoBock HealthCare GmbH, Strategic Technology Management, Duderstadt, Germany; OttoBock HealthCare GmbH, Strategic Technology Management, Duderstadt, Germany; OttoBock HealthCare GmbH, Strategic Technology Management, Duderstadt, Germany; Department of Neurorehabilitation Engineering, Bernstein Center for Computational Neuroscience, University Medical Center Göttingen, Georg-August University, Göttingen, Germany",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"28 Apr 2014","2014","22","3","501","510","We propose an approach for online simultaneous and proportional myoelectric control of two degrees-of-freedom (DoF) of the wrist, using surface electromyographic signals. The method is based on the nonnegative matrix factorization (NMF) of the wrist muscle activation to extract low-dimensional control signals translated by the user into kinematic variables. This procedure does not need a training set of signals for which the kinematics is known (labeled dataset) and is thus unsupervised (although it requires an initial calibration without labeled signals). The estimated control signals using NMF are used to directly control two DoFs of wrist. The method was tested on seven subjects with upper limb deficiency and on seven able-bodied subjects. The subjects performed online control of a virtual object with two DoFs to achieve goal-oriented tasks. The performance of the two subject groups, measured as the task completion rate, task completion time, and execution efficiency, was not statistically different. The approach was compared, and demonstrated to be superior to the online control by the industrial state-of-the-art approach. These results show that this new approach, which has several advantages over the previous myoelectric prosthetic control systems, has the potential of providing intuitive and dexterous control of artificial limbs for amputees.","1558-0210","","10.1109/TNSRE.2013.2278411","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6587087","Muscle synergy;myoelectric signal processing;non-negative matrix factorization;prosthetic control","Wrist;Electromyography;Calibration;Muscles;Kinematics;Semiconductor optical amplifiers;Prosthetics","Adolescent;Adult;Aged;Algorithms;Amputation;Amputees;Artificial Limbs;Biomechanical Phenomena;Calibration;Electromyography;Humans;Male;Middle Aged;Online Systems;Upper Extremity;Wrist;Young Adult","241","1","23","IEEE","26 Aug 2013","May 2014","","IEEE","IEEE Journals"
"Design and Validation of a Morphing Myoelectric Hand Posture Controller Based on Principal Component Analysis of Human Grasping","J. L. Segil; R. F. f. Weir","Department of Bioengineering, University of Colorado, Anschutz Medical Campus, Biomechatronics Development Laboratory, Denver, CO, Aurora; Denver VAMC, VA Eastern Colorado Healthcare system, Denver, CO",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"5 Mar 2014","2014","22","2","249","257","An ideal myoelectric prosthetic hand should have the ability to continuously morph between any posture like an anatomical hand. This paper describes the design and validation of a morphing myoelectric hand controller based on principal component analysis of human grasping. The controller commands continuously morphing hand postures including functional grasps using between two and four surface electromyography (EMG) electrodes pairs. Four unique maps were developed to transform the EMG control signals in the principal component domain. A preliminary validation experiment was performed by 10 nonamputee subjects to determine the map with highest performance. The subjects used the myoelectric controller to morph a virtual hand between functional grasps in a series of randomized trials. The number of joints controlled accurately was evaluated to characterize the performance of each map. Additional metrics were studied including completion rate, time to completion, and path efficiency. The highest performing map controlled over 13 out of 15 joints accurately.","1558-0210","","10.1109/TNSRE.2013.2260172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6511978","Biomechatronics;electromyography (EMG);myoelectric control;principal component analysis;transradial prosthesis","Electrodes;Measurement;Correlation;Filtering;Grasping;Transforms;Electromyography","Adult;Algorithms;Amputation;Electrodes;Electromyography;Female;Finite Element Analysis;Hand;Hand Strength;Humans;Joints;Male;Middle Aged;Models, Statistical;Pattern Recognition, Automated;Posture;Principal Component Analysis;Prostheses and Implants;Prosthesis Design;Range of Motion, Articular;Reproducibility of Results;User-Computer Interface;Young Adult","34","","36","IEEE","1 May 2013","March 2014","","IEEE","IEEE Journals"
"Examination of Hand Muscle Activation and Motor Unit Indices Derived from Surface EMG in Chronic Stroke","X. Li; J. Liu; S. Li; Y. -C. Wang; P. Zhou","University of Texas Health Science Center at Houston, Houston, TX, US; Rehabilitation Institute of Chicago, Chicago, IL, US; University of Texas Health Science Center at Houston, Houston, TX, US; University of Wisconsin Milwaukee, Milwaukee, WI, US; University of Texas Health Science Center at Houston, Houston, TX, US",IEEE Transactions on Biomedical Engineering,"20 Nov 2014","2014","61","12","2891","2898","In this study, we used muscle and motor unit indices, derived from convenient surface electromyography (EMG) measurements, for examination of paretic muscle changes post stroke. For 12 stroke subjects, compound muscle action potential and voluntary surface EMG signals were recorded from paretic and contralateral first dorsal interosseous, abductor pollicis brevis, and abductor digiti minimi muscles. Muscle activation index (AI), motor unit number index (MUNIX), and motor unit size index (MUSIX) were then calculated for each muscle. There was a significant AI reduction for all the three muscles in paretic side compared with contralateral side, providing an evidence of muscle activation deficiency after stroke. The hand MUNIX (defined by summing the values from the three muscles) was significantly reduced in paretic side compared with contralateral side, whereas the hand MUSIX was not significantly different. Furthermore, diverse changes in MUNIX and MUSIX were observed from the three muscles. A major feature of the present examinations is the primary reliance on surface EMG, which offers practical benefits because it is noninvasive, induces minimal discomfort and can be performed quickly.","1558-2531","","10.1109/TBME.2014.2333034","National Institutes of Health of the US Department of Health and Human Services(grant numbers:R24HD050821,R01NS080839); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6843984","Surface electromyography;chronic stroke;Compound muscle action potential;Chronic stroke;compound muscle action potential (CMAP);motor unit number index (MUNIX);motor unit size index (MUSIX);muscle activation;surface electromyography (EMG)","Muscles;Electromyography;Electrodes","Algorithms;Chronic Disease;Electromyography;Female;Hand;Humans;Male;Middle Aged;Motor Neurons;Muscle Contraction;Muscle, Skeletal;Neuromuscular Junction;Reproducibility of Results;Sensitivity and Specificity;Stroke;Synaptic Transmission","37","","45","IEEE","25 Jun 2014","Dec. 2014","","IEEE","IEEE Journals"
"Dynamical Characteristics of Surface EMG Signals of Hand Grasps via Recurrence Plot","G. Ouyang; X. Zhu; Z. Ju; H. Liu","Intelligent Systems and Biomedical Robotics Group, University of Portsmouth, England, U.K.; School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; Intelligent Systems and Biomedical Robotics Group, University of Portsmouth, England, U.K.; School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China",IEEE Journal of Biomedical and Health Informatics,"20 May 2017","2014","18","1","257","265","Recognizing human hand grasp movements through surface electromyogram (sEMG) is a challenging task. In this paper, we investigated nonlinear measures based on recurrence plot, as a tool to evaluate the hidden dynamical characteristics of sEMG during four different hand movements. A series of experimental tests in this study show that the dynamical characteristics of sEMG data with recurrence quantification analysis (RQA) can distinguish different hand grasp movements. Meanwhile, adaptive neuro-fuzzy inference system (ANFIS) is applied to evaluate the performance of the aforementioned measures to identify the grasp movements. The experimental results show that the recognition rate (99.1%) based on the combination of linear and nonlinear measures is much higher than those with only linear measures (93.4%) or nonlinear measures (88.1%). These results suggest that the RQA measures might be a potential tool to reveal the sEMG hidden characteristics of hand grasp movements and an effective supplement for the traditional linear grasp recognition methods.","2168-2208","","10.1109/JBHI.2013.2261311","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6516528","Hand grasp;nonlinear measures;recurrence plot (RP);surface electromyogram (sEMG)","Electromyography;Muscles;Electrodes;Delays;Extraterrestrial measurements;Space vehicles","Adult;Analysis of Variance;Electromyography;Female;Hand;Hand Strength;Humans;Male;Movement;Signal Processing, Computer-Assisted;Young Adult","82","","51","IEEE","15 May 2013","Jan. 2014","","IEEE","IEEE Journals"
"Voluntary Contraction Direction Dependence of Motor Unit Number Index in Patients with Amyotrophic Lateral Sclerosis","P. Zhou; S. D. Nandedkar; P. E. Barkhaus","Department of Physical Medicine and Rehabilitation, University of Texas Health Science Center at Houston; Natus Medical Inc, Middleton, WI, USA; Medical College of Wisconsin, Milwaukee Veterans Administration Medical Center, Milwaukee, WI, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"5 Sep 2014","2014","22","5","992","996","We investigated the voluntary contraction direction dependence of motor unit number index (MUNIX) for multifunctional muscles in patients with amyotrophic lateral sclerosis (ALS). The MUNIX technique was applied in nine first dorsal interosseous muscles of eight ALS subjects, using surface electromyography (EMG) signals from index finger abduction and flexion, respectively. In seven examined muscles, the MUNIX derived from the index finger abduction mode was smaller than that from the flexion mode. For the remaining two muscles, one had the same MUNIX; the other showed an abduction mode MUNIX much higher than the flexion mode MNUIX. Across all muscles, the median MUNIX was 96 for the index finger abduction mode and 161 for the flexion mode. The findings reveal the dependence of multifunctional muscle MUNIX on voluntary contraction directions in ALS patients. Based on this analysis, we further explored the concept of “multidimensional MUNIX” for an appropriate performance or interpretation of MUNIX in multifunctional muscles of ALS patients. An effort towards such a development was presented using both abduction and flexion mode surface EMG for MUNIX calculation.","1558-0210","","10.1109/TNSRE.2014.2314391","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6781660","Amyotrophic lateral sclerosis (ALS);first dorsal interosseous (FDI) muscle;M wave;motor unit number index (MUNIX);surface electromyography (EMG)","Muscles;Indexes;Electromyography;Fingers;Educational institutions;Surface waves;Force","Aged;Amyotrophic Lateral Sclerosis;Electromyography;Female;Fingers;Humans;Male;Middle Aged;Motor Neurons;Muscle Contraction;Muscle Fibers, Skeletal;Muscle, Skeletal","6","","30","IEEE","1 Apr 2014","Sept. 2014","","IEEE","IEEE Journals"
"Linear and Nonlinear Regression Techniques for Simultaneous and Proportional Myoelectric Control","J. M. Hahne; F. Bießmann; N. Jiang; H. Rehbaum; D. Farina; F. C. Meinecke; K. . -R. Müller; L. C. Parra","Machine Learning Laboratory, Berlin Institute of Technology, Berlin, Germany; Technische Universitat Berlin, Berlin, Berlin, DE; Dep. of Neurorehabilitation Engineering, University Medical Center Göttingen, Georg-August University, Göttingen, Germany; Dep. of Neurorehabilitation Engineering, University Medical Center Göttingen, Georg-August University, Göttingen, Germany; Dep. of Neurorehabilitation Engineering, University Medical Center Göttingen, Georg-August University, Göttingen, Germany; Machine Learning Laboratory, Berlin Institute of Technology, Berlin, Germany; Department of Brain and Cognitive Engineering, Korea University, Seoul, Korea; Department of Biomedical Engineering, City College of New York, New York, NY, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"5 Mar 2014","2014","22","2","269","279","In recent years the number of active controllable joints in electrically powered hand-prostheses has increased significantly. However, the control strategies for these devices in current clinical use are inadequate as they require separate and sequential control of each degree-of-freedom (DoF). In this study we systematically compare linear and nonlinear regression techniques for an independent, simultaneous and proportional myoelectric control of wrist movements with two DoF. These techniques include linear regression, mixture of linear experts (ME), multilayer-perceptron, and kernel ridge regression (KRR). They are investigated offline with electro-myographic signals acquired from ten able-bodied subjects and one person with congenital upper limb deficiency. The control accuracy is reported as a function of the number of electrodes and the amount and diversity of training data providing guidance for the requirements in clinical practice. The results showed that KRR, a nonparametric statistical learning method, outperformed the other methods. However, simple transformations in the feature space could linearize the problem, so that linear models could achieve similar performance as KRR at much lower computational costs. Especially ME, a physiologically inspired extension of linear regression represents a promising candidate for the next generation of prosthetic devices.","1558-0210","","10.1109/TNSRE.2014.2305520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6742730","Amputee;electromyography (EMG);hand prostheses;regression;simultaneous myoelectric control","Wrist;Trajectory;Electromyography;Training;Kernel;Electrodes;Training data","Adult;Algorithms;Analysis of Variance;Calibration;Electromyography;Expert Systems;Female;Fingers;Hand;Humans;Learning;Linear Models;Male;Movement;Neural Networks (Computer);Nonlinear Dynamics;Normal Distribution;Prostheses and Implants;Prosthesis Design;Reproducibility of Results;Signal Processing, Computer-Assisted;Upper Extremity;Wrist;Young Adult","321","4","32","IEEE","18 Feb 2014","March 2014","","IEEE","IEEE Journals"
