"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A multiple-layer finite-element model of the surface EMG signal","M. M. Lowery; N. S. Stoykov; A. Taflove; T. A. Kuiken","Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University Medical School, Chicago, IL, USA; Department of Electrical and Computer Engineering, Northwestern University, Evanston, IL, USA; Rehabilitation Institute of Chicago and in the Department of Physical Medicine and Rehabilitation, Northwestern University Medical School, Chicago, IL, USA",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2002","49","5","446","454","The effect of skin, muscle, fat, and bone tissue on simulated surface electromyographic (EMG) signals was examined using a finite-element model. The amplitude and frequency content of the surface potential were observed to increase when the outer layer of a homogeneous muscle model was replaced with highly resistive skin or fat tissue. The rate at which the surface potential decreased as the fiber was moved deeper within the muscle also increased. Similarly, the rate at which the surface potential decayed around the surface of the model, for a constant fiber depth, increased. When layers of subcutaneous fat of increasing thickness were then added to the model, EMG amplitude, frequency content, and the rate of decay of the surface EMG signal around the limb decreased, due to the increased distance between the electrodes and the active fiber. The influence of bone on the surface potential was observed to vary considerably, depending on its location. When located close to the surface of the volume conductor, the surface EMG signal between the bone and the source and directly over the bone increased, accompanied by a slight decrease on the side of the bone distal to the active fiber. The results emphasize the importance of distinguishing between the effects of material properties and the distance between source and electrode when considering the influence of subcutaneous tissue, and suggest possible distortions in the surface EMG signal in regions where a bone is located close to the skin surface.","1558-2531","","10.1109/10.995683","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=995683","","Finite element methods;Electromyography;Skin;Muscles;Frequency;Electrodes;Bone tissue;Conducting materials;Material properties;Distortion","Action Potentials;Adipose Tissue;Anisotropy;Bone and Bones;Computer Simulation;Electric Conductivity;Electromyography;Finite Element Analysis;Humans;Models, Neurological;Muscle, Skeletal;Reproducibility of Results;Skin","127","2","46","IEEE","7 Aug 2002","May 2002","","IEEE","IEEE Journals"
"Changes in the surface EMG signal and the biomechanics of motion during a repetitive lifting task","P. Bonato; P. Boissy; U. Della Croce; S. H. Roy","Neuromuscular Research Center, Boston University, Boston, MA, USA; Neuromuscular Research Center, Boston University, Boston, MA, USA; Dipartimento di Scienze Biomediche, Universita di Sassari, Sassari, Italy; Neuromuscular Research Center, Boston University, Boston, MA, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"7 Nov 2002","2002","10","1","38","47","The analysis of surface electromyographic (EMG) data recorded from the muscles of the back during isometric constant-force contractions has been a useful tool for assessing muscle deficits in patients with lower back pain (LBP). Until recently, extending the technique to dynamic tasks, such as lifting, has not been possible due to the nonstationarity of the EMG signals. Recent developments in time-frequency analysis procedures to compute the instantaneous median frequency (IMDF) were utilized in this study to overcome these limitations. Healthy control subjects with no history of LBP (n=9; mean age 26.3/spl plusmn/6.7) were instrumented for acquisition of surface EMG data from six electrodes on the thoraco-lumbar region and whole-body kinematic data from a stereo-photogrammetric system. Data were recorded during a standardized repetitive lifting task (load=15% body mass; 12 lifts/min; 5-min duration). The task resulted in significant decreases in IMDF for six of the nine subjects, with a symmetrical pattern of fatigue among contralateral muscles and greater decrements in the lower lumbar region. For those subjects with a significant decrease in IMDF, a lower limb and/or upper limb biomechanical adaptation to fatigue was observed during the task. Increases in the peak box acceleration were documented. In two subjects, the acceleration doubled its value from the beginning to the end of the exercise, which lead to a significant increase in the torque at L4/L5. This observation suggests an association between muscle fatigue at the lumbar region and the way the subject manipulates the box during the exercise. Fatigue-related biomechanical adaptations are discussed as a possible supplement to functional capacity assessments among patients with LBP.","1558-0210","","10.1109/TNSRE.2002.1021585","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1021585","","Electromyography;Biomechanics;Muscles;Fatigue;Acceleration;Pain;Time frequency analysis;Control systems;History;Instruments","Adaptation, Biological;Adult;Algorithms;Back;Electromyography;Humans;Lifting;Male;Movement;Muscle Fatigue;Muscle, Skeletal;Posture;Signal Processing, Computer-Assisted;Weight-Bearing","67","","37","IEEE","7 Nov 2002","March 2002","","IEEE","IEEE Journals"
"Prediction of joint moments using a neural network model of muscle activations from EMG signals","Lin Wang; T. S. Buchanan","Center for Biomedical Engineering Research, University of Delaware, Newark, USA; Center for Biomedical Engineering Research, University of Delaware, Newark, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"7 Nov 2002","2002","10","1","30","37","Because the relationship between electromyographic (EMG) signals and muscle activations remains unpredictable, a new way to determine muscle activations from EMG signals by using a neural network is proposed and realized. Using a neural network to predict the muscle activations from EMG signals avoids establishing a complex mathematical model to express the muscle activation dynamics. The feed-forward neural network model of muscle activations applied here is composed of four layers and uses an adjusted back-propagation training algorithm. In this study, the basic back-propagation algorithm was not applicable, because muscle activation could not be measured, and hence the error between predicted activation and the real activation was not available. Thus, an adjusted back-propagation algorithm was developed. Joint torque at the elbow was calculated from the EMG signals of ten flexor and extensor muscles, using the neural network result of estimated activation of the muscles. Once muscle activations were obtained, Hill-type models were used to estimate muscle force. A musculoskeletal geometry model was then used to obtain moment arms, from which joint moments were determined and compared with measured values. The results show that this neural network model can be used to represent the relationship between EMG signals and joint moments well.","1558-0210","","10.1109/TNSRE.2002.1021584","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1021584","","Neural networks;Predictive models;Muscles;Electromyography;Mathematical model;Feedforward systems;Feedforward neural networks;Torque;Elbow;Musculoskeletal system","Action Potentials;Algorithms;Elbow;Elbow Joint;Electromyography;Humans;Isometric Contraction;Models, Biological;Models, Neurological;Muscle, Skeletal;Neural Networks (Computer);Reproducibility of Results;Sensitivity and Specificity;Torque","141","","14","IEEE","7 Nov 2002","March 2002","","IEEE","IEEE Journals"
"Frequency- and time-domain FEM models of EMG: capacitive effects and aspects of dispersion","N. S. Stoykov; M. M. Lowery; A. Taflove; T. A. Kuiken","Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA; Department of Electrical and Computer Engineering, Northwestern University, Evanston, IL, USA; Department of Electrical and Computer Engineering, Northwestern University, Chicago, IL, USA",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2002","49","8","763","772","Electromyography (EMG) simulations have traditionally been based on purely resistive models, in which capacitive effects are assumed to be negligible. Recent experimental studies suggest these assumptions may not be valid for muscle tissue. Furthermore, both muscle conductivity and permittivity are frequency-dependent (dispersive). In this paper, frequency-domain and time-domain finite-element models are used to examine the impact of capacitive effects and dispersion on the surface potential of a volume conductor. The results indicate that the effect of muscle capacitance and dispersion varies dramatically. Choosing low conductivity and high permittivity values in the range of experimentally reported data for muscle can cause displacement currents that are larger than conduction currents with corresponding reduction in surface potential of up to 50% at 100 Hz. Conductivity and permittivity values lying toward the middle of the reported range yield results which do not differ notably from purely resistive models. Also, excluding dispersion can also cause large error-up to 75% in the high frequency range of the EMG. It is clear that there is a need to establish accurate values of both conductivity and permittivity for human muscle tissue in vivo in order to quantify the influence of capacitance and dispersion on the ENIG signal.","1558-2531","","10.1109/TBME.2002.800754","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019439","","Frequency;Time domain analysis;Electromyography;Dispersion;Muscles;Conductivity;Permittivity;Capacitance;Finite element methods;Conductors","Computer Simulation;Electric Capacitance;Electric Conductivity;Electromagnetic Fields;Electromyography;Finite Element Analysis;Fourier Analysis;Humans;Models, Biological;Muscle, Skeletal;Sensitivity and Specificity","33","","36","IEEE","7 Aug 2002","Aug. 2002","","IEEE","IEEE Journals"
"The Psychophysiology of Real-Time Financial Risk Processing","A. W. Lo; D. V. Repin",MIT Sloan School of Management; Boston University,Journal of Cognitive Neuroscience,"19 May 2014","2002","14","3","323","339","A longstanding controversy in economics and finance is whether financial markets are governed by rational forces or by emotional responses. We study the importance of emotion in the decision-making process of professional securities traders by measuring their physiological characteristics (e.g., skin conductance, blood volume pulse, etc.) during live trading sessions while simultaneously capturing real-time prices from which market events can be detected. In a sample of 10 traders, we find statistically significant differences in mean electrodermal responses during transient market events relative to no-event control periods, and statistically significant mean changes in cardiovascular variables during periods of heightened market volatility relative to normal-volatility control periods. We also observe significant differences in these physiological responses across the 10 traders that may be systematically related to the traders' levels of experience.","0898-929X","","10.1162/089892902317361877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6790152","","","","5","","","","19 May 2014","1 April 2002","","MIT Press","MIT Press Journals"
"Optimal resolution of superimposed action potentials","K. C. McGill","Rehabilitation Research and Development Center, VA Palo Alto Health Care System, Palo Alto, CA, USA",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2002","49","7","640","650","This paper presents a practical algorithm for resolving superimposed action potentials encountered during the decomposition of electromyographic signals. The problem is posed as an optimization problem: to align a set of templates with a given waveform to minimize the euclidean distance between them. The algorithm uses a recursive approach to search all possible discrete-time alignments, starting with the most likely ones and stopping once it can be verified that the optimal alignment has been found. Each candidate solution is aligned to finer-than-sampling-interval resolution using interpolation and continuous-time optimization. Both the cases in which the identities of the involved templates are known and not known are considered. Simulations are presented to show that the proposed algorithm is very accurate even for complex superpositions involving three or more similarly shaped templates, destructive interference, and added noise.","1558-2531","","10.1109/TBME.2002.1010847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1010847","","Interpolation;Electromyography;Muscles;Signal resolution;Interference;Research and development;Optimization methods;Euclidean distance;Noise shaping","Action Potentials;Algorithms;Computer Simulation;Electromyography;Electromyography;Humans;Models, Neurological;Motor Neurons;Signal Processing, Computer-Assisted","54","","18","IEEE","7 Aug 2002","July 2002","","IEEE","IEEE Journals"
"Interscale wavelet maximum - a fine to coarse algorithm for wavelet analysis of the EMG interference pattern","N. S. Arikidis; E. W. Abel; A. Forster","Medical Engineering Research Institute, University of Dundee, Dundee, UK; Medical Engineering Research Institute, University of Dundee, Dundee, UK; Walton Centre for Clinical Neurology and Neurophysiology, Liverpool, UK",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2002","49","4","337","344","A method has been developed, interscale wavelet maximum (ISWM), for characterising the electromyogram (EMG) interference pattern to assist in the diagnosis of neuromuscular disease. EMG signals are decomposed with the redundant dyadic wavelet transform and wavelet maxima (WM) are found. Thresholding methods are applied to remove WM due to noise and background activity. An efficient fine-to-coarse algorithm identifies the WM tree structure for the motor unit action potential rising edges. The WM for each tree are summed at each scale; the largest value is the ISWM. Highly significant differences in ISWM values have been found between healthy, myopathic, and neuropathic subjects that could make the technique a useful diagnostic tool.","1558-2531","","10.1109/10.991161","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=991161","","Wavelet analysis;Pattern analysis;Algorithm design and analysis;Electromyography;Interference;Neuromuscular;Diseases;Wavelet transforms;Background noise;Tree data structures","Action Potentials;Algorithms;Electromyography;Humans;Neuromuscular Diseases;Signal Processing, Computer-Assisted;Statistics, Nonparametric","27","","32","IEEE","7 Aug 2002","April 2002","","IEEE","IEEE Journals"
"Stimulus artifact cancellation in the serosal recordings of gastric myoelectric activity using wavelet transform","Hualou Liang; Zhiyue Lin","Center for Computational Biomedicine, School of Health Information Sciences, University of Texas, Health Science Center, Houston, TX, USA; Department of Medicine, University of Kansas Medical Center, Kansas City, KS, USA",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2002","49","7","681","688","Previous studies have shown that electrical stimulation of the stomach (i.e., gastric pacing) with appropriate parameters is a promising method for treatment of gastroparetic patients. The recording of gastric myoelectric activity (GNU) by serosal electrodes is often used to evaluate the effect of stimulation. However, the major problem with the measurement of GMA during gastric pacing is the stimulus artifacts which are often superimposed on the serosal recording and make analysis difficult. The frequency-domain adaptive filter has been used to reduce the stimulus artifacts but only with limited success. This paper describes a wavelet transform-based method for the reduction of stimulus artifacts in the serosal recordings of GMA. The key of this method lies in the use of the fuzzy set theory to select the stimulus artifact-related modulus maxima in the wavelet domain. Both quantitative and qualitative measures show that significant stimulus artifact cancellation was achieved through a series of computer simulations. Results from both singleand multichannel serosally recorded myoelectric signals during gastric pacing are presented to demonstrate the efficiency of the proposed method for the cancellation of stimulus artifacts.","1558-2531","","10.1109/TBME.2002.1010851","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1010851","","Wavelet transforms;Electrical stimulation;Stomach;Medical treatment;Electrodes;Frequency domain analysis;Adaptive filters;Fuzzy set theory;Wavelet domain;Computer simulation","Algorithms;Artifacts;Electric Stimulation;Electrodes;Electromyography;Feasibility Studies;Gastroparesis;Gastroparesis;Gastroparesis;Humans;Models, Neurological;Sensitivity and Specificity;Serous Membrane;Signal Processing, Computer-Assisted;Stochastic Processes","26","","22","IEEE","7 Aug 2002","July 2002","","IEEE","IEEE Journals"
"Classification of finger activation for use in a robotic prosthesis arm","D. Peleg; E. Braiman; E. Yom-Tov; G. F. Inbar","Faculty of Electrical Engineering, Technion-Israel Institute of Technology, Haifa, Israel; Faculty of Electrical Engineering, Technion-Israel Institute of Technology, Haifa, Israel; Faculty of Electrical Engineering, Technion-Israel Institute of Technology, Haifa, Israel; Faculty of Electrical Engineering, Technion-Israel Institute of Technology, Haifa, Israel",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"19 Feb 2003","2002","10","4","290","293","Hand amputees would highly benefit from a robotic prosthesis, which would allow the movement of a number of fingers. In this paper we propose using the electromyographic signals recorded by two pairs of electrodes placed over the arm for operating such prosthesis. Multiple features from these signals are extracted whence the most relevant features are selected by a genetic algorithm as inputs for a simple classifier. This method results in a probability of error of less than 2%.","1558-0210","","10.1109/TNSRE.2002.806831","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1178099","","Fingers;Robots;Prosthetics;Muscles;Electrodes;Electromyography;Genetic algorithms;Microswitches;Wrist;Signal processing","Adult;Algorithms;Artificial Limbs;Electromyography;Fingers;Forearm;Humans;Male;Movement;Muscle Contraction;Muscle, Skeletal;Pattern Recognition, Automated;Psychomotor Performance;Reproducibility of Results;Robotics;Sensitivity and Specificity;Statistics as Topic","97","4","13","IEEE","19 Feb 2003","Dec. 2002","","IEEE","IEEE Journals"
"Noninvasive detection of fibrillation potentials in skeletal muscle","S. P. Keller; A. W. Sandrock; S. N. Gozani","Division of Health Sciences and Technology, Harvard and Massachusetts Institute of Technology, Cambridge, MA, USA; Biogen, Inc., Cambridge, MA, USA; NeuroMetrix, Inc., Waltham, MA, USA",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2002","49","8","788","795","The presence of spontaneous muscle activity was determined by analysis of the power spectra of computer-model-generated sequences of spontaneous activity and additive noise. The modeling results identified the frequency band of 100-300 Hz as the band of peak signal-to-noise ratio for the detection of fibrillation potentials. Animal experiments were conducted in which the left sciatic nerves of three rats were transected. Measurements were taken 14 days following surgery with Ag/AgCl gel electrodes on the skin surface. Data was recorded from the gastrocnemius muscle on both the normal and denervated side for all three rats. The normal data and the denervated data yielded no discernible difference in the time-domain. Spectral analysis, however, demonstrated a clear and quantifiable difference between denervated and normal muscle signals. The average difference between the denervated and normal power spectral densities for the frequency band from 100 Hz to 300 Hz was 3.43, 1.90, and 3.02 dB for the three rats. The additional energy observed in the signals recorded from denervated muscles suggests that the single fiber spontaneous muscle activity that occurs in denervated muscle can be noninvasively detected. The potential diagnostic utility of noninvasive fibrillation potential detection is discussed and suggestions for future experiments are made.","1558-2531","","10.1109/TBME.2002.800756","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019442","","Muscles;Rats;Frequency;Additive noise;PSNR;Animals;Surgery;Electrodes;Skin;Time domain analysis","Action Potentials;Animals;Computer Simulation;Electromyography;Feasibility Studies;Fourier Analysis;Male;Models, Biological;Muscle Denervation;Muscle, Skeletal;Muscle, Skeletal;Rats;Sensitivity and Specificity;Signal Processing, Computer-Assisted;Stochastic Processes","5","1","40","IEEE","7 Aug 2002","Aug. 2002","","IEEE","IEEE Journals"
