"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Algorithm for the Estimation of the Signal-To-Noise Ratio in Surface Myoelectric Signals Generated During Cyclic Movements","V. Agostini; M. Knaflitz","Dipartimento di Elettronica, Politecnico di Torino, Torino, Italy; Dipartimento di Elettronica, Politecnico di Torino, Torino, Italy",IEEE Transactions on Biomedical Engineering,"19 Dec 2011","2012","59","1","219","225","In many applications requiring the study of the surface myoelectric signal (SMES) acquired in dynamic conditions, it is essential to have a quantitative evaluation of the quality of the collected signals. When the activation pattern of a muscle has to be obtained by means of single- or double-threshold statistical detectors, the background noise level enoise of the signal is a necessary input parameter. Moreover, the detection strategy of double-threshold detectors may be properly tuned when the SNR and the duty cycle (DC) of the signal are known. The aim of this paper is to present an algorithm for the estimation of enoise, SNR, and DC of an SMES collected during cyclic movements. The algorithm is validated on synthetic signals with statistical properties similar to those of SMES, as well as on more than 100 real signals.","1558-2531","","10.1109/TBME.2011.2170687","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035761","Cyclic movements;signal-to-noise ratio (SNR);surface electromyography (sEMG);surface myoelectric signal (SMES)","Signal to noise ratio;Muscles;Noise measurement;Histograms;Time series analysis;Detectors","Algorithms;Biological Clocks;Data Interpretation, Statistical;Electromyography;Gait;Humans;Movement;Muscle Contraction;Muscle, Skeletal;Reproducibility of Results;Sensitivity and Specificity;Signal-To-Noise Ratio","76","","19","IEEE","6 Oct 2011","Jan. 2012","","IEEE","IEEE Journals"
"Improving Myoelectric Pattern Recognition Robustness to Electrode Shift by Changing Interelectrode Distance and Electrode Configuration","A. J. Young; L. J. Hargrove; T. A. Kuiken","Department of Biomedical Engineering, Northwestern University, Chicago, IL, USA; Departments of Physical Medicine and Rehabilitation, Biomedical Engineering, Northwestern University, Chicago, IL, USA; Departments of Physical Medicine and Rehabilitation, Biomedical Engineering, and Surgery, Northwestern University, Chicago, IL, USA",IEEE Transactions on Biomedical Engineering,"16 Feb 2012","2012","59","3","645","652","Pattern recognition of myoelectric signals for prosthesis control has been extensively studied in research settings and is close to clinical implementation. These systems are capable of intuitively controlling the next generation of dexterous prosthetic hands. However, pattern recognition systems perform poorly in the presence of electrode shift, defined as movement of surface electrodes with respect to the underlying muscles. This paper focused on investigating the optimal interelectrode distance, channel configuration, and electromyography feature sets for myoelectric pattern recognition in the presence of electrode shift. Increasing interelectrode distance from 2 to 4 cm improved pattern recognition system performance in terms of classification error and controllability ( p <; 0.01). Additionally, for a constant number of channels, an electrode configuration that included electrodes oriented both longitudinally and perpendicularly with respect to muscle fibers improved robustness in the presence of electrode shift (p <; 0.05). We investigated the effect of the number of recording channels with and without electrode shift and found that four to six channels were sufficient for pattern recognition control. Finally, we investigated different feature sets for pattern recognition control using a linear discriminant analysis classifier and found that an autoregressive set significantly (p <; 0.01) reduced sensitivity to electrode shift compared to a traditional time-domain feature set.","1558-2531","","10.1109/TBME.2011.2177662","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6092466","Electrode configuration;electrode shift;electromyography (EMG);pattern recognition","Electrodes;Pattern recognition;Electromyography;Materials;Prosthetics;Muscles;Controllability","Arm;Artificial Limbs;Electrodes;Electromyography;Electromyography;Humans;Muscle Fibers, Skeletal;Pattern Recognition, Automated;Sensitivity and Specificity;Signal Processing, Computer-Assisted","216","","40","IEEE","29 Nov 2011","March 2012","","IEEE","IEEE Journals"
"Simultaneous and Proportional Force Estimation in Multiple Degrees of Freedom From Intramuscular EMG","E. N. Kamavuako; K. B. Englehart; W. Jensen; D. Farina","Center for Sensory-Motor Interaction, Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark; Department of Electrical and Computer Engineering, Institute of Biomedical Engineering, University of New Brunswick, Fredericton, NB, Canada; Center for Sensory-Motor Interaction, Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark; Department of Neurorehabilitation Engineering, Bernstein Center for Computational Neuroscience, University Medical Center Göttingen, Georg-August University, Gottingen, Germany",IEEE Transactions on Biomedical Engineering,"14 Jun 2012","2012","59","7","1804","1807","This letter investigates simultaneous and proportional estimation of force in 2 degree-of-freedoms (DoFs) from intramuscular electromyography (EMG). Intramuscular EMG signals from three able-bodied subjects were recorded along with isometric forces in multiple DoF from the right arm. The association between five EMG features and force profiles was modeled using an artificial neural network. Correlation coefficients between the measured and the estimated forces were 0.85 ± 0.056 and 0.88 ± 0.05 without and with post processing, respectively. The results showed that force can be estimated in 2 DoFs with high accuracy and that the degree of performance depended on the force function (task) to be estimated.","1558-2531","","10.1109/TBME.2012.2197210","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6193416","Artificial neural network;intramuscular EMG;proportional control;simultaneous force","Force;Electromyography;Estimation;Muscles;Educational institutions;Fingers;Electrodes","Adult;Arm;Biomechanics;Electromyography;Female;Humans;Isometric Contraction;Muscle, Skeletal;Neural Networks (Computer);Range of Motion, Articular;Signal Processing, Computer-Assisted;Young Adult","56","","20","IEEE","2 May 2012","July 2012","","IEEE","IEEE Journals"
"A Sign-Component-Based Framework for Chinese Sign Language Recognition Using Accelerometer and sEMG Data","Y. Li; X. Chen; X. Zhang; K. Wang; Z. J. Wang","Department of Electronic Science and Technology, University of Science and Technology, Hefei, China; Department of Electronic Science and Technology, Neural Muscular Control Laboratory, University of Science and Technology, Hefei, China; Rehabilitation Institute of Chicago, Chicago, IL, USA; Multimedia Technologies Laboratory, Nokia Research Center, Nokia (China) Investment Company Limited, Beijing, China; Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada",IEEE Transactions on Biomedical Engineering,"14 Sep 2012","2012","59","10","2695","2704","Identification of constituent components of each sign gesture can be beneficial to the improved performance of sign language recognition (SLR), especially for large-vocabulary SLR systems. Aiming at developing such a system using portable accelerometer (ACC) and surface electromyographic (sEMG) sensors, we propose a framework for automatic Chinese SLR at the component level. In the proposed framework, data segmentation, as an important preprocessing operation, is performed to divide a continuous sign language sentence into subword segments. Based on the features extracted from ACC and sEMG data, three basic components of sign subwords, namely the hand shape, orientation, and movement, are further modeled and the corresponding component classifiers are learned. At the decision level, a sequence of subwords can be recognized by fusing the likelihoods at the component level. The overall classification accuracy of 96.5% for a vocabulary of 120 signs and 86.7% for 200 sentences demonstrate the feasibility of interpreting sign components from ACC and sEMG data and clearly show the superior recognition performance of the proposed method when compared with the previous SLR method at the subword level. The proposed method seems promising for implementing large-vocabulary portable SLR systems.","1558-2531","","10.1109/TBME.2012.2190734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6170877","Accelerometer (ACC);hidden Markov model (HMM);sign component;sign language recognition (SLR);surface electromyography","Shape;Handicapped aids;Sensors;Hidden Markov models;Electromyography;Muscles;Feature extraction","Accelerometry;Accelerometry;Adult;Arm;Electromyography;Electromyography;Female;Hand;Humans;Male;Markov Chains;Pattern Recognition, Automated;Sign Language;Signal Processing, Computer-Assisted","109","","32","IEEE","16 Mar 2012","Oct. 2012","","IEEE","IEEE Journals"
"Nonstationary Harmonic Modeling for ECG Removal in Surface EMG Signals","M. Zivanovic; M. González-Izal","Electrical Engineering Department, Public University of Navarra, Pamplona, Spain; Electrical Engineering Department, Public University of Navarra, Pamplona, Spain",IEEE Transactions on Biomedical Engineering,"15 May 2012","2012","59","6","1633","1640","We present a compact approach for mitigating the presence of electrocardiograms (ECG) in surface electromyographic (EMG) signals by means of time-variant harmonic modeling of the cardiac artifact. Heart rate and QRS complex variability, which often account for amplitude and frequency time variations of the ECG, are simultaneously captured by a set of third-order constant-coefficient polynomials modulating a stationary harmonic basis in the analysis window. Such a characterization allows us to significantly suppress ECG from the mixture by preserving most of the EMG signal content at low frequencies (less than 20 Hz). Moreover, the resulting model is linear in parameters and the least-squares solution to the corresponding linear system of equations efficiently provides model parameter estimates. The comparative results suggest that the proposed method outperforms two reference methods in terms of the EMG preservation at low frequencies.","1558-2531","","10.1109/TBME.2012.2191287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6171838","Electrocardiogram (ECG) suppression;harmonic modeling;nonnonstationary signals;surface electromyography","Electromyography;Electrocardiography;Signal to noise ratio;Harmonic analysis;Power harmonic filters;Time frequency analysis;Frequency modulation","Algorithms;Artifacts;Computer Simulation;Diagnosis, Computer-Assisted;Electrocardiography;Electromyography;Humans;Models, Statistical;Reproducibility of Results;Sensitivity and Specificity","16","","35","IEEE","19 Mar 2012","June 2012","","IEEE","IEEE Journals"
"A Method for the Control of Multigrasp Myoelectric Prosthetic Hands","S. A. Dalley; H. A. Varol; M. Goldfarb","Department of Mechanical Engineering, Vanderbilt University, Nashville, TN, USA; Department of Robotics and Mechatronics, Nazarbayev University, Astana, Kazakhstan; Department of Mechanical Engineering, Vanderbilt University, Nashville, TN, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"19 Jan 2012","2012","20","1","58","67","This paper presents the design and preliminary experimental validation of a multigrasp myoelectric controller. The described method enables direct and proportional control of multigrasp prosthetic hand motion among nine characteristic postures using two surface electromyography electrodes. To assess the efficacy of the control method, five nonamputee subjects utilized the multigrasp myoelectric controller to command the motion of a virtual prosthesis between random sequences of target hand postures in a series of experimental trials. For comparison, the same subjects also utilized a data glove, worn on their native hand, to command the motion of the virtual prosthesis for similar sequences of target postures during each trial. The time required to transition from posture to posture and the percentage of correctly completed transitions were evaluated to characterize the ability to control the virtual prosthesis using each method. The average overall transition times across all subjects were found to be 1.49 and 0.81 s for the multigrasp myoelectric controller and the native hand, respectively. The average transition completion rates for both were found to be the same (99.2%). Supplemental videos demonstrate the virtual prosthesis experiments, as well as a preliminary hardware implementation.","1558-0210","","10.1109/TNSRE.2011.2175488","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6101579","Biomechatronics;electromyography (EMG);multigrasp prosthesis;myoelectric control;transradial prosthesis","Prosthetics;Electromyography;Electrodes;Actuators;Data gloves;Thumb;Grasping","Biomechanics;Calibration;Computer Systems;Data Collection;Electrodes;Electromyography;Electronics;Fingers;Hand;Hand Strength;Humans;Motion;Muscle Contraction;Prostheses and Implants;Prosthesis Design;User-Computer Interface","99","1","31","IEEE","12 Dec 2011","Jan. 2012","","IEEE","IEEE Journals"
"Intention-Based EMG Control for Powered Exoskeletons","T. Lenzi; S. M. M. De Rossi; N. Vitiello; M. C. Carrozza","BioRobotics Institute, Scuola Superiore Sant' Anna, Pisa, Italy; BioRobotics Institute, Scuola Superiore Sant' Anna, Pisa, Italy; BioRobotics Institute, Scuola Superiore Sant' Anna, Pisa, Italy; BioRobotics Institute, Scuola Superiore Sant' Anna, Pisa, Italy",IEEE Transactions on Biomedical Engineering,"12 Jul 2012","2012","59","8","2180","2190","Electromyographical (EMG) signals have been frequently used to estimate human muscular torques. In the field of human-assistive robotics, these methods provide valuable information to provide effectively support to the user. However, their usability is strongly limited by the necessity of complex user-dependent and session-dependent calibration procedures, which confine their use to the laboratory environment. Nonetheless, an accurate estimate of muscle torque could be unnecessary to provide effective movement assistance to users. The natural ability of human central nervous system of adapting to external disturbances could compensate for a lower accuracy of the torque provided by the robot and maintain the movement accuracy unaltered, while the effort is reduced. In order to explore this possibility, in this paper we study the reaction of ten healthy subjects to the assistance provided through a proportional EMG control applied by an elbow powered exoskeleton. This system gives only a rough estimate of the user muscular torque but does not require any specific calibration. Experimental results clearly show that subjects adapt almost instantaneously to the assistance provided by the robot and can reduce their effort while keeping full control of the movement under different dynamic conditions (i.e., no alterations of movement accuracy are observed).","1558-2531","","10.1109/TBME.2012.2198821","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6198287","Assistive robotics;electromyography (EMG) control;powered exoskeletons","Electromyography;Torque;Muscles;Exoskeletons;Robots;Elbow;Joints","Adult;Algorithms;Biomechanics;Elbow;Electromyography;Electromyography;Female;Humans;Male;Robotics;Self-Help Devices;Signal Processing, Computer-Assisted","336","1","58","IEEE","10 May 2012","Aug. 2012","","IEEE","IEEE Journals"
"High-Density Myoelectric Pattern Recognition Toward Improved Stroke Rehabilitation","X. Zhang; P. Zhou","Sensory Motor Performance Program, Rehabilitation Institute of Chicago, Chicago, IL, USA; Institute of Biomedical Engineering, University of Science and Technology, Hefei, China",IEEE Transactions on Biomedical Engineering,"15 May 2012","2012","59","6","1649","1657","Myoelectric pattern-recognition techniques have been developed to infer user's intention of performing different functional movements. Thus electromyogram (EMG) can be used as control signals of assisted devices for people with disabilities. Pattern-recognition-based myoelectric control systems have rarely been designed for stroke survivors. Aiming at developing such a system for improved stroke rehabilitation, this study assessed detection of the affected limb's movement intention using high-density surface EMG recording and pattern-recognition techniques. Surface EMG signals comprised of 89 channels were recorded from 12 hemiparetic stroke subjects while they tried to perform 20 different arm, hand, and finger/thumb movements involving the affected limb. A series of pattern-recognition algorithms were implemented to identify the intended tasks of each stroke subject. High classification accuracies (96.1% ± 4.3%) were achieved, indicating that substantial motor control information can be extracted from paretic muscles of stroke survivors. Such information may potentially facilitate improved stroke rehabilitation.","1558-2531","","10.1109/TBME.2012.2191551","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6172561","High-density surface EMG;myoelectic control;pattern recognition;stroke rehabilitation","Electromyography;Electrodes;Pattern recognition;Muscles;Accuracy;Thumb;Feature extraction","Adult;Electromyography;Female;Humans;Intention;Male;Middle Aged;Paresis;Paresis;Paresis;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Stroke;Stroke;Stroke","151","","48","IEEE","21 Mar 2012","June 2012","","IEEE","IEEE Journals"
"Automated Algorithm for Generalized Tonic–Clonic Epileptic Seizure Onset Detection Based on sEMG Zero-Crossing Rate","I. Conradsen; S. Beniczky; K. Hoppe; P. Wolf; H. B. D. Sorensen","Biomedical Department of Electrical Engineering, Technical University of Denmark, Kongens Lyngby, Denmark; Danish Epilepsy Centre, Dianalund, Denmark; DELTA, Horsholm, Denmark; Danish Epilepsy Centre, Dianalund, Denmark; Biomedical Department of Electrical Engineering, Technical University of Denmark, Kongens Lyngby, Denmark",IEEE Transactions on Biomedical Engineering,"19 Jan 2012","2012","59","2","579","585","Patients are not able to call for help during a generalized tonic-clonic epileptic seizure. Our objective was to develop a robust generic algorithm for automatic detection of tonic-clonic seizures, based on surface electromyography (sEMG) signals suitable for a portable device. Twenty-two seizures were analyzed from 11 consecutive patients. Our method is based on a high-pass filtering with a cutoff at 150 Hz, and monitoring a count of zero crossings with a hysteresis of ±50 μV . Based on data from one sEMG electrode (on the deltoid muscle), we achieved a sensitivity of 100% with a mean detection latency of 13.7 s, while the rate of false detection was limited to 1 false alarm per 24 h. The overall performance of the presented generic algorithm is adequate for clinical implementation.","1558-2531","","10.1109/TBME.2011.2178094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6095334","Epilepsy;seizure detection;surface electromyography (sEMG);tonic–clonic","Muscles;Sensitivity;Training;Electrodes;Accelerometers;Monitoring;Epilepsy","Adult;Algorithms;Child;Diagnosis, Computer-Assisted;Electromyography;Epilepsy, Tonic-Clonic;Epilepsy, Tonic-Clonic;Female;Humans;Male;Middle Aged;Seizures;Seizures;Sensitivity and Specificity;Signal Processing, Computer-Assisted","86","1","28","IEEE","5 Dec 2011","Feb. 2012","","IEEE","IEEE Journals"
"Haptic Feedback Enhances Grip Force Control of sEMG-Controlled Prosthetic Hands in Targeted Reinnervation Amputees","K. Kim; J. E. Colgate","Interaction and Robotics Research Center, Korea Institute of Science and Technology, Seoul, South Korea; Department of Mechanical Engineering, Northwestern University, Evanston, IL, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"15 Nov 2012","2012","20","6","798","805","In this study, we hypothesized that haptic feedback would enhance grip force control of surface electromyography (sEMG)-controlled prosthetic hands for targeted reinnervation (TR) amputees. A new miniature haptic device, a tactor, that can deliver touch, pressure, shear, and temperature sensation, allows modality-matching haptic feedback. TR surgery that creates sensory regions on the patient's skin that refer to the surface of the missing limb allows somatotopic-matching haptic feedback. This paper evaluates the hypothesis via an sEMG-controlled virtual prosthetic arm operated by TR amputees under diverse haptic feedback conditions. The results indicate that the grip force control is significantly enhanced via the haptic feedback. However, the simultaneous display of two haptic channels (pressure and shear) does not enhance, but instead degrades, grip force control.","1558-0210","","10.1109/TNSRE.2012.2206080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6249787","Grip force;mechanical haptic display;surface electromyography (sEMG)-controlled prosthesis;sensory feedback;targeted reinnervation (TR);upper extremity prosthesis","Haptic interfaces;Prosthetic hand;Muscles;Virtual environments;Electromyography","Adult;Amputation, Traumatic;Amputees;Biofeedback, Psychology;Electrodes;Electromyography;Female;Hand Strength;Humans;Male;Middle Aged;Muscle, Skeletal;Muscle, Skeletal;Pressure;Prostheses and Implants;Psychomotor Performance;Skin Temperature;Touch;User-Computer Interface;Vibration","138","","46","IEEE","26 Jul 2012","Nov. 2012","","IEEE","IEEE Journals"
