"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Examination of Poststroke Alteration in Motor Unit Firing Behavior Using High-Density Surface EMG Decomposition","X. Li; A. Holobar; M. Gazzoni; R. Merletti; W. Z. Rymer; P. Zhou","Department of Physical Medicine and Rehabilitation, University of Texas Health Science Center, and TIRR Memorial Hermann Research Center, Houston, TX, USA; Faculty of Electrical Engineering and Computer Science, The University of Maribor, Maribor, Slovenia; Laboratory of Engineering of Neuromuscular System and Motor Rehabilitation, Department of Electronics, Politecnico di Torino, Torino, Italy; Laboratory of Engineering of Neuromuscular System and Motor Rehabilitation, Department of Electronics, Politecnico di Torino, Torino, Italy; Departments of Physical Medicine and Rehabilitation, Physiology, and Biomedical Engineering, Northwestern University, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, University of Texas Health Science Center, and TIRR Memorial Hermann Research Center, Houston, TX, USA",IEEE Transactions on Biomedical Engineering,"17 Apr 2015","2015","62","5","1242","1252","Recent advances in high-density surface electromyogram (EMG) decomposition have made it a feasible task to discriminate single motor unit activity from surface EMG interference patterns, thus providing a noninvasive approach for examination of motor unit control properties. In the current study, we applied high-density surface EMG recording and decomposition techniques to assess motor unit firing behavior alterations poststroke. Surface EMG signals were collected using a 64-channel 2-D electrode array from the paretic and contralateral first dorsal interosseous (FDI) muscles of nine hemiparetic stroke subjects at different isometric discrete contraction levels between 2 to 10 N with a 2 N increment step. Motor unit firing rates were extracted through decomposition of the high-density surface EMG signals and compared between paretic and contralateral muscles. Across the nine tested subjects, paretic FDI muscles showed decreased motor unit firing rates compared with contralateral muscles at different contraction levels. Regression analysis indicated a linear relation between the mean motor unit firing rate and the muscle contraction level for both paretic and contralateral muscles (p <; 0.001), with the former demonstrating a lower increment rate (0.32 pulses per second (pps)/N) compared with the latter (0.67 pps/N). The coefficient of variation (averaged over the contraction levels) of the motor unit firing rates for the paretic muscles (0.21 ± 0.012) was significantly higher than for the contralateral muscles (0.17 ± 0.014) (p <; 0.05). This study provides direct evidence of motor unit firing behavior alterations poststroke using surface EMG, which can be an important factor contributing to hemiparetic muscle weakness.","1558-2531","","10.1109/TBME.2014.2368514","National Institutes of Health of the U.S. Department of Health and Human Services(grant numbers:R24HD050821,R01NS080839); National Natural Science Foundation of China(grant numbers:81271658); Slovenian Research Agency(grant numbers:P2-0041); Compagnia di San Paolo; Fondazione CRT in Torino; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6949607","Hemiparetic stroke;muscle weakness;high density surface EMG;decomposition;motor unit firing rate;Decomposition;hemiparetic stroke;high-density surface EMG;motor unit firing rate;muscle weakness","Muscles;Firing;Force;Electromyography;Electrodes;Indexes;Fingers","Aged;Electromyography;Female;Fingers;Humans;Male;Middle Aged;Motor Neurons;Muscle Contraction;Muscle Weakness;Paresis;Signal Processing, Computer-Assisted;Stroke","94","","67","IEEE","7 Nov 2014","May 2015","","IEEE","IEEE Journals"
"Improving Myoelectric Control for Amputees through Transcranial Direct Current Stimulation","L. Pan; D. Zhang; X. Sheng; X. Zhu","State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University; State Key Laboratory of Mechanical System and Vibration, School of Mechanical Engineering, Shanghai Jiao Tong University",IEEE Transactions on Biomedical Engineering,"15 Jul 2015","2015","62","8","1927","1936","Most prosthetic myoelectric control studies have shown good performance for unimpaired subjects. However, performance is generally unacceptable for amputees. The primary problem is the poor quality of electromyography (EMG) signals of amputees compared with healthy individuals. To improve clinical performance of myoelectric control, this study explored transcranial direct current stimulation (tDCS) to modulate brain activity and enhance EMG quality. We tested six unilateral transradial amputees by applying active and sham anodal tDCS separately on two different days. Surface EMG signals were acquired from the affected and intact sides for 11 hand and wrist motions in the pre-tDCS and post-tDCS sessions. Autoregression coefficients and linear discriminant analysis classifiers were used to process the EMG data for pattern recognition of the 11 motions. For the affected side, active anodal tDCS significantly reduced the average classification error rate (CER) by 10.1%, while sham tDCS had no such effect. For the intact side, the average CER did not change on the day of sham tDCS but increased on the day of active tDCS. These results demonstrated that tDCS could modulate brain function and improve EMG-based classification performance for amputees. It has great potential in dramatically reducing the length of learning process of amputees for effectively using myoelectrically controlled multifunctional prostheses.","1558-2531","","10.1109/TBME.2015.2407491","National Basic Research Program (973 Program) of China(grant numbers:2011CB013305); National Natural Science Foundation of China(grant numbers:51475292); Science and Technology Commission of Shanghai Municipality(grant numbers:11JC1406000); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7050334","Electromyography (EMG);Myoelectric control;Pattern recognition;Transcranial direct current stimulation (tDCS);Transradial amputee;Electromyography (EMG);myoelectric control;pattern recognition;transcranial direct current stimulation (tDCS);transradial amputee","Analysis of variance;Electromyography;Silicon;Electrodes;Training;DC motors;Muscles","Adult;Aged;Amputees;Artificial Limbs;Equipment Design;Female;Forearm;Humans;Male;Man-Machine Systems;Middle Aged;Muscle, Skeletal;Pattern Recognition, Automated;Signal Processing, Computer-Assisted;Transcranial Direct Current Stimulation","34","","48","IEEE","26 Feb 2015","Aug. 2015","","IEEE","IEEE Journals"
"Filtered Virtual Reference: A New Method for the Reduction of Power Line Interference With Minimal Distortion of Monopolar Surface EMG","A. Botter; T. M. Vieira","Laboratory for Engineering of the Neuromuscular System, Dipartimento di Elettronica e Telecomunicazioni, Politecnico di Torino, Torino, Italy; Universidade Federal do Rio de Janeiro",IEEE Transactions on Biomedical Engineering,"26 Oct 2015","2015","62","11","2638","2647","Goal: This study tests and validates a new method to remove power line interference from monopolar EMGs detected by multichannel systems: the filtered virtual reference (FVR). FVR is an adaptation of the virtual reference (VR) method, which consists in referencing signals detected by each electrode in a grid to their spatial average. Signals may however be distorted with the VR approach, in particular when the skin region where the detection system is positioned does not cover the entire muscle. Methods: Simulated and experimental EMGs were used to compare the performance of FVR and VR in terms of interference reduction and distortion of monopolar signals referred to a remote reference. Results: Simulated data revealed the monopolar EMG signals processed with FVR were significantly less distorted than those filtered by VR. These results were similarly observed for experimental signals. Moreover, FVR method outperformed VR in removing power line interference when it was distributed unevenly across the signals of the grid. Conclusion: Key results demonstrated that FVR improves the VR method as it reduces interference while preserving the information content of monopolar signals. Significance: Although the actual distribution of motor unit action potential is represented in monopolar EMGs, collecting high quality monopolar signals is challenging. This study presents a possible solution to this issue; FVR provides undistorted monopolar signals with negligible interference and is insensitive to muscle architecture. It is therefore relevant for EMG applications benefiting from a clean monopolar detection (e.g., decomposition, control of prosthetic devices, motor unit number estimation).","1558-2531","","10.1109/TBME.2015.2438335","Italian bank foundations; “Compagnia di San Paolo”; “Fondazione Cassa di Risparmio di Torino.”; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7114232","Electromyography;Virtual Reference;Average Reference;Power Line Interference;Common mode signals;Average reference;common mode;electromyography;power line interference;signals;virtual reference","Electrodes;Electromyography;Interference;Muscles;Electric potential;Skin;Distortion","Analysis of Variance;Computer Simulation;Electromyography;Forearm;Humans;Muscle, Skeletal;Signal Processing, Computer-Assisted","17","","30","IEEE","1 Jun 2015","Nov. 2015","","IEEE","IEEE Journals"
"A Stimulus Artifact Removal Technique for SEMG Signal Processing During Functional Electrical Stimulation","S. Qiu; J. Feng; R. Xu; J. Xu; K. Wang; F. He; H. Qi; X. Zhao; P. Zhou; L. Zhang; D. Ming","Tianjin University; Shriners Hospitals for Children; Tianjin University; Tianjin University; Tianjin University; Tianjin University; Tianjin University; Tianjin University; Tianjin University; Tianjin University; Neural Engineering and Rehabilitation Lab, Tianjin University, Tianjin, China",IEEE Transactions on Biomedical Engineering,"15 Jul 2015","2015","62","8","1959","1968","Goal: The purpose of this study was to design a method for extracting the volitional EMG from recorded surface electromyography (EMG), contaminated by functional electrical stimulation (FES) artifact.  Methods: Considering that the FES artifact emerges periodically with rather large amplitude in nonstationary EMG, we designed an adaptive-matched filter (AMF) via genetic algorithm (GA) optimization. Both the simulated and real data from seven subjects were processed, using the GA-AMF filter and comb filter, respectively. To test the filtering effect on the EMG, contaminated with FES artifact of different current intensities, the contaminated EMG was simulated by combining the simulation artifact and clean EMG with various FES artifacts to clean EMG ratios. Results:  The results show that, in simulation test, compared to the EMG filtered by comb filter, the simulated EMG ( $p < 0.05$), filtered by using GA-AMF, had significantly higher correlation coefficient, higher signal to noise ratio, and lower normalized root mean square error, whereas the real EMG ($p < 0.05$), filtered by using GA-AMF had higher power reduction than that filtered by using comb filter. The results indicate that GA-AMF can effectively remove FES artifact from the EMG of the stimulated muscle and its adjacent muscle, and the GA-AMF filter performed better than did the comb filter. Conclusion: All these results demonstrate that the GA-AMF filter is capable of extracting volitional EMG from the stimulated muscle and adjacent muscles. Significance: GA-AMF could provide technical support for improving EMG feedback control of FES rehabilitation system.","1558-2531","","10.1109/TBME.2015.2407834","National Natural Science Foundation of China(grant numbers:81222021,61172008,81171423,81127003); National Key Technology R&D Program of the Ministry of Science and Technology of China(grant numbers:2012BAI34B02); Program for New Century Excellent Talents in University of the Ministry of Education of China(grant numbers:NCET-10-0618); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7051216","Artifact removal;functional electrical stimulation;stimulus artifact;surface EMG;Artifact removal;functional electrical stimulation;stimulus artifact;surface EMG","Electromyography;Muscles;Matched filters;Finite impulse response filters;Filtering algorithms","Adult;Artifacts;Electric Stimulation;Electromyography;Female;Humans;Male;Signal Processing, Computer-Assisted;Young Adult","35","","31","IEEE","27 Feb 2015","Aug. 2015","","IEEE","IEEE Journals"
"Surface EMG Decomposition Based on K-means Clustering and Convolution Kernel Compensation","Y. Ning; X. Zhu; S. Zhu; Y. Zhang","College of Electrical Engineering, Zhejiang University, Hangzhou, Zhejiang, China; Zhijiang College, Zhejiang University of Technology, Hangzhou, Zhejiang, China; College of Electrical Engineering, Zhejiang University, Hangzhou, Zhejiang, China; Department of Biomedical Engineering, University of Houston, Houston, TX, USA",IEEE Journal of Biomedical and Health Informatics,"20 May 2017","2015","19","2","471","477","A new approach has been developed by combining the K-mean clustering (KMC) method and a modified convolution kernel compensation (CKC) method for multichannel surface electromyogram (EMG) decomposition. The KMC method was first utilized to cluster vectors of observations at different time instants and then estimate the initial innervation pulse train (IPT). The CKC method, modified with a novel multistep iterative process, was conducted to update the estimated IPT. The performance of the proposed K-means clustering-Modified CKC (KmCKC) approach was evaluated by reconstructing IPTs from both simulated and experimental surface EMG signals. The KmCKC approach successfully reconstructed all 10 IPTs from the simulated surface EMG signals with true positive rates (TPR) of over 90% with a low signal-to-noise ratio (SNR) of -10 dB. More than 10 motor units were also successfully extracted from the 64-channel experimental surface EMG signals of the first dorsal interosseous (FDI) muscles when a contraction force was held at 8 N by using the KmCKC approach. A “two-source” test was further conducted with 64-channel surface EMG signals. The high percentage of common MUs and common pulses (over 92% at all force levels) between the IPTs reconstructed from the two independent groups of surface EMG signals demonstrates the reliability and capability of the proposed KmCKC approach in multichannel surface EMG decomposition. Results from both simulated and experimental data are consistent and confirm that the proposed KmCKC approach can successfully reconstruct IPTs with high accuracy at different levels of contraction.","2168-2208","","10.1109/JBHI.2014.2328497","NIH(grant numbers:K99DK082644,R00DK082644); University of Houston; NSF of Zhejiang Province of China(grant numbers:LY13F010010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6824163","surface EMG;innervation pulse train (IPT);convolution kernel compensation (CKC);Convolution kernel compensation (CKC);innervation pulse train (IPT);K-means clustering;motor unit;surface EMG","Electromyography;Surface reconstruction;Muscles;Force;Accuracy;Convolution;Signal to noise ratio","Algorithms;Cluster Analysis;Electromyography;Hand;Humans;Muscle, Skeletal;Signal Processing, Computer-Assisted;Signal-To-Noise Ratio","98","","28","IEEE","2 Jun 2014","March 2015","","IEEE","IEEE Journals"
"Missing-Data Classification With the Extended Full-Dimensional Gaussian Mixture Model: Applications to EMG-Based Motion Recognition","Q. Ding; J. Han; X. Zhao; Y. Chen","State Key Laboratory of Robotics Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; School of Information Science and Engineering, Wuhan University of Science and Technology, Wuhan, China",IEEE Transactions on Industrial Electronics,"26 Jun 2015","2015","62","8","4994","5005","Missing data are a common drawback that pattern recognition techniques need to handle when solving real-life classification tasks. This paper first discusses problems in handling high-dimensional samples with missing values by the Gaussian mixture model (GMM). Since fitting the GMM by directly using high-dimensional samples as inputs is difficult due to the convergence and stability issues, a novel method is proposed to build the high-dimensional GMM by extending a reduced-dimensional GMM to the full-dimensional space. Based on the extended full-dimensional GMM, two approaches, namely, marginalization and conditional-mean imputation, are proposed to classify samples with missing data in online phase. Then, the proposed methods were employed to recognize hand motions from surface electromyography (sEMG) signals, and more than 75% of classification accuracy of motions can be obtained even if 50% of sEMG signals were missing. Comparisons with normal mean and zero imputations also demonstrate the improvements of the proposed methods. Finally, a control scheme for a myoelectric hand was designed by involving the novel methods, and online experiments confirm the ability of the proposed methods to improve the safety and stability of practical systems.","1557-9948","","10.1109/TIE.2015.2403797","National Natural Science Foundation of China(grant numbers:61273355,61273356,61333019); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7042268","Classification;missing data;Gaussian mixture model (GMM);electromyography;myoelectric hand;Classification;electromyography (EMG);Gaussian mixture model (GMM);missing data;myoelectric hand","Vectors;Data models;Training;Covariance matrices;Feature extraction;Gaussian mixture model","","67","","32","OAPA","13 Feb 2015","Aug. 2015","","IEEE","IEEE Journals"
"Proportional Myoelectric Control of Robots: Muscle Synergy Development Drives Performance Enhancement, Retainment, and Generalization","M. Ison; P. Artemiadis","School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ, USA; School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ, USA",IEEE Transactions on Robotics,"2 Apr 2015","2015","31","2","259","268","Proportional myoelectric control has been proposed for user-friendly interaction with prostheses, orthoses, and new human-machine interfaces. Recent research has stressed intuitive controls that mimic human intentions. However, these controls have limited accuracy and functionality, resulting in user-specific decoders with upper-bound constraints on performance. Thus, myoelectric controls have yet to realize their potential as a natural interface between humans and multifunctional robotic controls. This study supports a shift in myoelectric control schemes toward proportional simultaneous controls learned through the development of unique muscle synergies. A multiple day study reveals natural emergence of a new muscle synergy space as subjects identify the system dynamics of a myoelectric interface. These synergies correlate with long-term learning, increasing performance over consecutive days. Synergies are maintained after one week, helping subjects retain efficient control and generalize performance to new tasks. The extension to robot control is also demonstrated with a robot arm performing reach-to-grasp tasks in a plane. The ability to enhance, retain, and generalize control, without needing to recalibrate or retrain the system, supports control schemes promoting synergy development, not necessarily user-specific decoders trained on a subset of existing synergies, for efficient myoelectric interfaces designed for long-term use.","1941-0468","","10.1109/TRO.2015.2395731","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7060707","Electromyography;human–robot interaction;motor learning;myoelectric control;real-time systems;Electromyography;human–robot interaction;motor learning;myoelectric control;real-time systems","Muscles;Electromyography;Robots;Decoding;Principal component analysis;Aerospace electronics;Helicopters","","75","1","55","IEEE","13 Mar 2015","April 2015","","IEEE","IEEE Journals"
"Nonnegative Matrix Factorization for the Identification of EMG Finger Movements: Evaluation Using Matrix Analysis","G. R. Naik; H. T. Nguyen","Centre for Health Technologies, University of Technology Sydney, Ultimo, NSW, Australia; Centre for Health Technologies, University of Technology Sydney, Ultimo, NSW, Australia",IEEE Journal of Biomedical and Health Informatics,"20 May 2017","2015","19","2","478","485","Surface electromyography (sEMG) is widely used in evaluating the functional status of the hand to assist in hand gesture recognition, prosthetics and rehabilitation applications. The sEMG is a noninvasive, easy to record signal of superficial muscles from the skin surface. Considering the nonstationary characteristics of sEMG, recent feature selection of hand gesture recognition using sEMG signals necessitate designers to use nonnegative matrix factorization (NMF)-based methods. This method exploits both the additive and sparse nature of signals by extracting accurate and reliable measurements of sEMG features using a minimum number of sensors. The testing has been conducted for simple and complex finger flexions using several experiments with artificial neural network classification scheme. It is shown, both by simulation and experimental studies, that the proposed algorithm is able to classify ten finger flexions (five simple and five complex finger flexions) recorded from two sEMG sensors up to 92% (95% for simple and 87% for complex flexions) accuracy. The recognition performances of simple and complex finger flexions are also validated with NMF permutation matrix analysis.","2168-2208","","10.1109/JBHI.2014.2326660","UTS Chancellor's Postdoctoral Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6824741","Artificial neural network (ANN);auto regression (AR);flexions;gestures;hand gesture recognition;nonnegative matrix factorization (NMF);principal component analysis (PCA);root mean square (RMS);surface electromyography (sEMG)","Thumb;Electromyography;Feature extraction;Training;Muscles;Artificial neural networks","Electromyography;Female;Fingers;Gestures;Humans;Male;Neural Networks (Computer);Pattern Recognition, Automated;Principal Component Analysis;Signal Processing, Computer-Assisted","113","","42","IEEE","3 Jun 2014","March 2015","","IEEE","IEEE Journals"
"Spatial Correlation of High Density EMG Signals Provides Features Robust to Electrode Number and Shift in Pattern Recognition for Myocontrol","A. Stango; F. Negro; D. Farina","Department of Neurorehabilitation Engeenering, Georg-August University, Göttingen, Germany; Department of Neurorehabilitation Engeenering, Georg-August University, Göttingen, Germany; Department of Neurorehabilitation Engeenering, Georg-August University, Göttingen, Germany",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"5 Mar 2015","2015","23","2","189","198","Research on pattern recognition for myoelectric control has usually focused on a small number of electromyography (EMG) channels because of better clinical acceptability and low computational load with respect to multi-channel EMG. However, recently, high density (HD) EMG technology has substantially improved, also in practical usability, and can thus be applied in myocontrol. HD EMG provides several closely spaced recordings in multiple locations over the skin surface. This study considered the use of HD EMG for controlling upper limb prostheses, based on pattern recognition. In general, robustness and reliability of classical pattern recognition systems are influenced by electrode shift in dons and doff, and by the presence of malfunctioning channels. The aim of this study is to propose a new approach to attenuate these issues. The HD EMG grid of electrodes is an ensemble of sensors that records data spatially correlated. The experimental variogram, which is a measure of the degree of spatial correlation, was used as feature for classification, contrary to previous approaches that are based on temporal or frequency features. The classification based on the variogram was tested on seven able-bodied subjects and one subject with amputation, for the classification of nine and seven classes, respectively. The performance of the proposed approach was comparable with the classic methods based on time-domain and autoregressive features (average classification accuracy over all methods ~ 95% for nine classes). However, the new spatial features demonstrated lower sensitivity to electrode shift (±1 cm) with respect to the classic features (p<;0.05). When even just one channel was noisy, the classification accuracy dropped by ~ 10% for all methods. However, the new method could be applied without any retraining to a subset of high-quality channels whereas the classic methods require retraining when some channels are omitted. In conclusion, the new spatial feature space proposed in this study improved the robustness to electrode number and shift in myocontrol with respect to previous approaches.","1558-0210","","10.1109/TNSRE.2014.2366752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6949119","Active prostheses;electrode shift;electromyography (EMG);myocontrol;pattern recognition;spatial correlation;variogram","Electromyography;Electrodes;High definition video;Correlation;Pattern recognition;Accuracy;Wrist","Adult;Algorithms;Artifacts;Electrodes;Electromyography;Feedback, Physiological;Female;Humans;Middle Aged;Muscle Contraction;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Spatio-Temporal Analysis","169","","27","IEEE","6 Nov 2014","March 2015","","IEEE","IEEE Journals"
"Closed-Loop Control of Myoelectric Prostheses With Electrotactile Feedback: Influence of Stimulation Artifact and Blanking","C. Hartmann; S. Došen; S. Amsuess; D. Farina","Department of Neurorehabilitation Engineering, Georg-August University, Göttingen, Germany; Department of Neurorehabilitation Engineering, Georg-August University, Göttingen, Germany; Department of Neurorehabilitation Engineering, Georg-August University, Göttingen, Germany; Department of Neurorehabilitation Engineering, Georg-August University, Göttingen, Germany",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"3 Sep 2015","2015","23","5","807","816","Electrocutaneous stimulation is a promising approach to provide sensory feedback to amputees, and thus close the loop in upper limb prosthetic systems. However, the stimulation introduces artifacts in the recorded electromyographic (EMG) signals, which may be detrimental for the control of myoelectric prostheses. In this study, artifact blanking with three data segmentation approaches was investigated as a simple method to restore the performance of pattern recognition in prosthesis control (eight motions) when EMG signals are corrupted by stimulation artifacts. The methods were tested over a range of stimulation conditions and using four feature sets, comprising both time and frequency domain features. The results demonstrated that when stimulation artifacts were present, the classification performance improved with blanking in all tested conditions. In some cases, the classification performance with blanking was at the level of the benchmark (artifact-free data). The greatest pulse duration and frequency that allowed a full performance recovery were 400 μs and 150 Hz, respectively. These results show that artifact blanking can be used as a practical solution to eliminate the negative influence of the stimulation artifact on EMG pattern classification in a broad range of conditions, thus allowing to close the loop in myoelectric prostheses using electrotactile feedback.","1558-0210","","10.1109/TNSRE.2014.2357175","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6898020","Closed loop systems;electrical stimulation;feedback;pattern recognition;prosthetic hand","Electromyography;Blanking;Electrodes;Prosthetics;Pattern recognition;Feature extraction;Electrical stimulation","Adult;Algorithms;Artifacts;Electric Stimulation Therapy;Electromyography;Feedback, Sensory;Female;Humans;Male;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity;Signal Processing, Computer-Assisted;Touch","57","","26","IEEE","12 Sep 2014","Sept. 2015","","IEEE","IEEE Journals"
