"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"High-Density Surface EMG Decomposition by Combining Iterative Convolution Kernel Compensation With an Energy-Specific Peel-off Strategy","Y. Zheng; Y. Ma; Y. Liu; M. Houston; C. Guo; Q. Lian; S. Li; P. Zhou; Y. Zhang","Intelligent Control and Robotics Institute, College of Automation, Hangzhou Dianzi University, Hangzhou, China; Intelligent Control and Robotics Institute, College of Automation, Hangzhou Dianzi University, Hangzhou, China; Seven Lakes High School, Katy, TX, USA; Department of Biomedical Engineering, University of Houston, Houston, TX, USA; Department of Biomedical Engineering, University of Houston, Houston, TX, USA; Seven Lakes High School, Katy, TX, USA; Department of Physical Medicine and Rehabilitation, University of Texas Health Science Center at Houston, Houston, TX, USA; Faculty of Rehabilitation Engineering, University of Health and Rehabilitation Sciences, Qingdao, China; Department of Biomedical Engineering, University of Houston, Houston, TX, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"18 Sep 2023","2023","31","","3641","3651","Objective- This study aims to develop a novel framework for high-density surface electromyography (HD-sEMG) signal decomposition with superior decomposition yield and accuracy, especially for low-energy MUs. Methods- An iterative convolution kernel compensation-peel off (ICKC-P) framework is proposed, which consists of three steps: decomposition of the motor units (MUs) with relatively large energy by using the iterative convolution kernel compensation (ICKC) method and extraction of low-energy MUs with a Post-Processor and novel ‘peel-off’ strategy. Results- The performance of the proposed framework was evaluated by both simulated and experimental HD-sEMG signals. Our simulation results demonstrated that, with 120 simulated MUs, the proposed framework extracts more MUs compared to K-means convolutional kernel compensation (KmCKC) approach across six noise levels. And the proposed ‘peel-off’ strategy estimates more accurate MUAP waveforms at six noise levels than the ‘peel-off’ strategy proposed in the progressive FastICA peel-off (PFP) framework. For the experimental sEMG signals recorded from biceps brachii, an average of 16.1 ±3.4 MUs were identified from each contraction, while only 10.0 ± 2.8 MUs were acquired by the KmCKC method. Conclusion- The high yield and accuracy of MUs decomposed from simulated and experimental HD-sEMG signals demonstrate the superiority of the proposed framework in decomposing low-energy MUs compared to existing methods for HD-sEMG signal decomposition. Significance- The proposed framework enables us to construct a more representative motor unit pool, consequently enhancing our understanding pertaining to various neuropathological conditions and providing invaluable information for the diagnosis and treatment of neuromuscular disorders and motor neuron diseases.","1558-0210","","10.1109/TNSRE.2023.3309546","National Natural Science Foundation of China(grant numbers:62071161,61372023); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10237273","Convolution kernel compensation;decomposition;electromyography;motor unit;peel-off","Firing;Convolution;Kernel;Electromyography;Electronic mail;Signal resolution;Neuromuscular","Humans;Electromyography;Algorithms;Computer Simulation","9","","41","CCBY","1 Sep 2023","2023","","IEEE","IEEE Journals"
"sEMG-Based Knee Abnormality Detection Using EWT-Entropy-Ensemble Algorithm During Walking","G. J. Rani; M. F. Hashmi","National Institute of Technology, Warangal, India; National Institute of Technology, Warangal, India",IEEE Sensors Letters,"1 Dec 2023","2023","7","12","1","4","An essential problem that can be identified using a surface electromyography (sEMG) signal is identifying knee abnormality. The manual analysis of EMG data takes much time and expertise from medical professionals. Thus, the proposed work is based on a diagnosis of knee abnormalities automatically during walking with features derived from sEMG signals and enhanced with empirical wavelet transform (EWT) and entropy-based features using a Bagging Ensemble Classifier. In this study, 22 people (11 with and 11 without knee abnormalities) had their lower limb (sEMG) data gathered while walking from the UCI repository. Since noise frequently tampers with sEMG, an approach for sEMG denoising based on EWT was presented. EWT decomposes the original signal into several multiresolution analyses. To reduce the computational complexity of the signal, the overlapping windowing technique was used, with a window size of 250 ms and a 50% overlap. Entropy features were extracted channelwise, and using ANOVA feature selection approaches, extremely significant entropy features that may distinguish functional knee abnormalities efficiently were retrieved from the decomposed signals. Last, machine learning models, such as support vector machine, k-nearest neighbors, naïve Bayes, and ensemble bagged tree were achieved with an accuracy of 99.6%, precision of 99.5%, recall of 99.8, F1-score of 99.7%, and with training time reduced to 5.66 s.","2475-1472","","10.1109/LSENS.2023.3332602","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316617","Sensor signal processing;empirical wavelet transform (EWT);ensemble bagged tree;knee abnormality;surface electromyography (sEMG)","Feature extraction;Knee;Entropy;Legged locomotion;Sensors;Electromyography;Multiresolution analysis;Biomedical signal processing;Wavelet transforms","","3","","17","IEEE","14 Nov 2023","Dec. 2023","","IEEE","IEEE Journals"
"Continuous Grasping Force Estimation With Surface EMG Based on Huxley-Type Musculoskeletal Model","X. Xu; H. Deng; Y. Zhang; J. Chen","School of Mechanical and Electrical Engineering, Central South University, Changsha, China; State Key Laboratory of High Performance Complex Manufacturing, School of Mechanical Engineering, Central South University, Changsha, China; State Key Laboratory of High Performance Complex Manufacturing, School of Mechanical Engineering, Central South University, Changsha, China; School of Mechanical and Electrical Engineering, Central South University, Changsha, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"31 Jan 2023","2023","31","","346","355","Continuous grasping force estimation based on electromyography (EMG) signals, is very useful in practical applications including prosthetic control and human force observation. However, implementing the practical grasping force estimation usually considers a trade-off between the computational precision and resources. Specifically, the estimation based on the Huxley-type muscle model reaches detailed approximation of physiological process at a cost of larger computational resources for solving nonlinear partial differential equations while the counterpart with a traditional Hill-type muscle model. In this article, we achieve the grasping force estimation based on a reduced Huxley-type musculoskeletal model with high accuracy yet low time delay. Leveraging on a balanced truncation method, we further reduce the dimensionality of the spectral method solution in the Huxley-type musculoskeletal model for the model simplification. In addition, we introduce the Kalman filter method to process the EMG signals obtained by an armband, yielding better real-time performances and accuracy compared to the signal treatment using the traditional EMG filter method. Moreover, we also implement an effective identification of the model parameters using a particle swarm method. Finally, we trained the model on the first day and made grasping force estimation experiments involved with three participants over the course of a month. We envision that this effective and practical method would further improve the practical applications in the field of grasping force estimation.","1558-0210","","10.1109/TNSRE.2022.3214866","National Natural Science Foundation of China(grant numbers:52275297); National Key Research and Development Program of China(grant numbers:2018YFB1307203); Key Project of Hunan Health Commission(grant numbers:20200519); Project of State Key Laboratory of High Performance Complex Manufacturing, Central South University(grant numbers:ZZYJKT2021-17); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9919873","Force estimation;Huxley model;surface EMG;spectral method;parameter identify;EMG filter","Muscles;Force;Mathematical models;Electromyography;Estimation;Grasping;Computational modeling","Humans;Electromyography;Hand Strength;Muscle, Skeletal","13","","35","CCBYNCND","14 Oct 2022","2023","","IEEE","IEEE Journals"
"A Review of Techniques for Surface Electromyography Signal Quality Analysis","E. Farago; D. MacIsaac; M. Suk; A. D. C. Chan","Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Faculty of Engineering and Faculty of Computer Science, University of New Brunswick, Fredericton, NB, Canada; Faculty of Engineering and Faculty of Computer Science, University of New Brunswick, Fredericton, NB, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada",IEEE Reviews in Biomedical Engineering,"5 Jan 2023","2023","16","","472","486","Electromyography (EMG) signals are instrumental in a variety of applications including prosthetic control, muscle health assessment, rehabilitation, and workplace monitoring. Signal contaminants including noise, interference, and artifacts can degrade the quality of the EMG signal, leading to misinterpretation; therefore it is important to ensure that collected EMG signals are of sufficient quality prior to further analysis. A literature search was conducted to identify current approaches for detecting, identifying, and quantifying contaminants within surface EMG signals. We identified two main strategies: 1) bottom-up approaches for identifying specific and well-characterized contaminants and 2) top-down approaches for detecting anomalous EMG signals or outlier channels in high-density EMG arrays. The best type(s) of approach are dependent on the circumstances of data collection including the environment, the susceptibility of the application to contaminants, and the resilience of the application to contaminants. Further research is needed for assessing EMG with multiple simultaneous contaminants, identifying ground-truths for clean EMG data, and developing user-friendly and autonomous methods for EMG signal quality analysis.","1941-1189","","10.1109/RBME.2022.3164797","Natural Sciences and Engineering Research Council of Canada(grant numbers:D-546546-2020); Collaborative Research and Training Experience Program(grant numbers:497303-2017); Research and Education in Accessibility, Design, and Innovation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9749945","Biomedical signal processing;electromyography;high-density EMG;signal quality analysis;surface EMG","Electromyography;Electrodes;Interference;Muscles;Filtering;Pollution measurement;Monitoring","Humans;Electromyography;Algorithms;Muscle Contraction;Signal Processing, Computer-Assisted;Artifacts;Muscle, Skeletal","90","","111","IEEE","5 Apr 2022","2023","","IEEE","IEEE Journals"
"Recognition of Lower Limb Movements Using Machine Learning Methods and Bispectral Maps of Wireless sEMG Measurements","A. K; N. G; S. N; K. P A","Physiological Measurements and Instrumentation Lab, Department of Instrumentation and Control Engineering, National Institute of Technology, Tiruchirappalli, India; Department of Biomedical Engineering, Indian Institute of Technology, Hyderabad, India; Physiological Measurements and Instrumentation Lab, Department of Instrumentation and Control Engineering, National Institute of Technology, Tiruchirappalli, India; Physiological Measurements and Instrumentation Lab, Department of Instrumentation and Control Engineering, National Institute of Technology, Tiruchirappalli, India",IEEE Sensors Letters,"5 Sep 2023","2023","7","9","1","4","In this letter, an attempt is made to develop a movement recognition framework for the classification of five locomotion activities using bispectral representation of wireless surface electromyography (sEMG) measurements and machine learning classifiers. For this purpose, wireless sEMG signals are recorded during locomotive activities, namely, level ground walking, ramp up, ramp down, stair up, and stair down from six muscles of the lower limbs, namely gastrocnemius, semitendinosus, rectus femoris, biceps femoris, tibialis anterior, and vastus lateralis. Nine features, namely variance, root mean square, integrated EMG, mean absolute value, waveform length, Willison amplitude, skewness, entropy, and zero-crossing, are extracted from the recorded sEMG. Tree-based machine learning approaches namely random forest and extreme gradient boosting (XG Boost) are employed to classify lower limb movements. Moreover, we explore the synergy of bispectral maps from sEMG data with deep learning models to enhance the discrimination of lower limb activities. The proposed approach effectively discriminates various lower limb movements. The evaluation of machine learning models demonstrates promising results, with random forest and XG Boost achieving notable accuracy rates. Notably, the convolutional neural network model outperforms others with a testing accuracy of 91.33%, closely followed by the visual geometry group with 16 layers model at 89.9%. The results indicate the potential utility of the proposed approach in leg-machine interface development and rehabilitation for lower limb amputees. This research contributes to the advancement of movement recognition technology, offering valuable insights for biomedical engineering and rehabilitation sciences.","2475-1472","","10.1109/LSENS.2023.3307108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10225708","Sensor signal processing;bispectrum;convolutional neural network (CNN) and visual geometry group with 16 layers (VGGNet 16);extreme gradient boosting (XG Boost);random forest;surface electromyography (sEMG)","Feature extraction;Random forests;Electromyography;Legged locomotion;Deep learning;Muscles;Machine learning","","7","","16","IEEE","22 Aug 2023","Sept. 2023","","IEEE","IEEE Journals"
"sEMG-Based Small Rotation Invariant Gesture Recognition Using Multivariate Fast Iterative Filtering","S. Sharma; R. R. Sharma","Department of Electronics Engineering, Defence Institute of Advanced Technology, Pune, India; Department of Electronics Engineering, Defence Institute of Advanced Technology, Pune, India",IEEE Sensors Letters,"6 Nov 2023","2023","7","11","1","4","Surface electromyography (sEMG) is an important tool for pattern recognition in modern society. Electrode shift is a major challenge in sEMG-based systems and affects the performance greatly. In this letter, a method is suggested for hand gesture recognition using sEMG, which is suitable for small angle electrode rotation scenario. A root-mean-square-based envelope is employed for segmentation followed by sEMG signals decomposition using multivariate fast iterative filtering. Moreover, time domain-based features are computed and given to the classification model. The classification model is trained with the initial position of sEMG electrodes and tested with small angle rotations i.e., 0$^{\circ }$, 10$^{\circ }$, 350$^{\circ }$, 20$^{\circ }$, and 340$^{\circ }$. Efficacy of the designed method is investigated against eight different hand gestures. The suggested method achieved 88.82%, 82.54%, 76.98%, 68.25%, and 61.11% accuracy in case of 0$^{\circ }$, 10$^{\circ }$, 350$^{\circ }$, 20$^{\circ }$, and 340$^{\circ }$ sEMG electrode shift, respectively, and outperforms the compared method.","2475-1472","","10.1109/LSENS.2023.3326459","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10290919","Sensor applications;electrode shift;multivariate fast iterative filtering (MvFIF);small angle rotation;surface electromyography (sEMG)","Electrodes;Sensors;Muscles;Feature extraction;Filtering;Electromyography;Support vector machines","","8","","21","IEEE","23 Oct 2023","Nov. 2023","","IEEE","IEEE Journals"
"EMG Probability Density Function: A New Way to Look at EMG Signal Filling From Single Motor Unit Potential to Full Interference Pattern","J. Navallas; A. Eciolaza; C. Mariscal; A. Malanda; J. Rodráguez-Falces","Department of Electrical, Electronic and Communications Engineering, Public University of Navarra (UPNA), Pamplona, Spain; Department of Electrical, Electronic and Communications Engineering, Public University of Navarra (UPNA), Pamplona, Spain; Department of Clinical Neurophysiology, Hospital Universitario de Navarra, Pamplona, Spain; Department of Electrical, Electronic and Communications Engineering, Public University of Navarra (UPNA), Pamplona, Spain; Department of Electrical, Electronic and Communications Engineering, Public University of Navarra (UPNA), Pamplona, Spain",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"10 Feb 2023","2023","31","","1188","1198","An analytical derivation of the EMG signal’s amplitude probability density function (EMG PDF) is presented and used to study how an EMG signal builds-up, or fills, as the degree of muscle contraction increases. The EMG PDF is found to change from a semi-degenerate distribution to a Laplacian-like distribution and finally to a Gaussian-like distribution. We present a measure, the EMG filling factor, to quantify the degree to which an EMG signal has been built-up. This factor is calculated from the ratio of two non-central moments of the rectified EMG signal. The curve of the EMG filling factor as a function of the mean rectified amplitude shows a progressive and mostly linear increase during early recruitment, and saturation is observed when the EMG signal distribution becomes approximately Gaussian. Having presented the analytical tools used to derive the EMG PDF, we demonstrate the usefulness of the EMG filling factor and curve in studies with both simulated signals and real signals obtained from the tibialis anterior muscle of 10 subjects. Both simulated and real EMG filling curves start within the 0.2 to 0.35 range and rapidly rise towards 0.5 (Laplacian) before stabilizing at around 0.637 (Gaussian). Filling curves for the real signals consistently followed this pattern (100% repeatability within trials in 100% of the subjects). The theory of EMG signal filling derived in this work provides (a) an analytically consistent derivation of the EMG PDF as a function of motor unit potentials and motor unit firing patterns; (b) an explanation of the change in the EMG PDF according to degree of muscle contraction; and (c) a way (the EMG filling factor) to quantify the degree to which an EMG signal has been built-up.","1558-0210","","10.1109/TNSRE.2023.3241354","Ministerio de Ciencia e Innovación of the Spanish Government(grant numbers:PID2019-109062RB-I00); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034779","Electromyography (EMG);EMG PDF;motor unit;interference pattern;recruitment","Electromyography;Probability density function;Muscles;Interference;Convolution;Recruitment;Random variables","","19","","43","CCBY","1 Feb 2023","2023","","IEEE","IEEE Journals"
"Washable Garment-Embedded Textile Electrodes Can Measure High-Quality Surface EMG Data Across a Range of Motor Tasks","N. R. Lyons; M. T. O. Worsey; D. Devaprakash; Y. A. Salchak; D. V. Thiel; S. Canning; D. G. Lloyd; C. Pizzolato","Griffith Centre of Biomedical and Rehabilitation Engineering, Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia; Griffith Centre of Biomedical and Rehabilitation Engineering, Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia; Griffith Centre of Biomedical and Rehabilitation Engineering, Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia; Griffith Centre of Biomedical and Rehabilitation Engineering, Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia; Griffith Centre of Biomedical and Rehabilitation Engineering, Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia; Griffith Centre of Biomedical and Rehabilitation Engineering, Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia; Griffith Centre of Biomedical and Rehabilitation Engineering, Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia; Griffith Centre of Biomedical and Rehabilitation Engineering, Menzies Health Institute Queensland, Griffith University, Gold Coast, QLD, Australia",IEEE Sensors Journal,"30 Aug 2023","2023","23","17","20150","20158","Measuring surface electromyography (sEMG) outside the laboratory environment is pivotal for numerous clinical and performance applications. The development of long-term wearable smart garments embedded with textile electrodes provides a promising solution to facilitate the recording of sEMG in ecologically valid settings. Inexpensive conductive textiles are commercially available, but their performance in recording sEMG during dynamic motor tasks remains unexplored. In addition, the washability of smart garments is a practical, yet essential, requirement, which should be addressed when evaluating the performance of textile electrodes. This study investigated the ability to measure sEMG with electrodes manufactured using different commercially available textiles. The performance characteristics of seven different textiles were assessed before and after washing. This included resistance degradation tests after 30 washing cycles and skin-impedance measurements. Furthermore, in vivo testing of the electrodes was performed while recording sEMG on five participants. Data were acquired from the medial gastrocnemius muscle during walking, jogging, heel raise, and countermovement jump (CMJ) of five participants, using both unwashed and washed textile electrodes and without skin preparation. Comparison with traditional Ag/AgCl gel electrodes revealed nickel/copper plated polyester textile as the best performer (linear envelope:  ${R}^{{2}}\ge {0.88}$  and frequency spectrum:  ${R}^{{2}}\ge {0.80}$ ). Overall, electrodes manufactured from commercially available nickel/copper plated polyester textiles could be readily embedded in garments for measuring sEMG data, attaining signal quality comparable to that achieved from Ag/AgCl gel electrodes.","1558-1748","","10.1109/JSEN.2023.3295773","Griffith University’s Spotlight Program, Australian Research Council Linkage Program(grant numbers:150100905); Griffith University Higher Degree Research Australian Government Research Training Program (RTP) Stipend Scholarship and by Griffith University’s Spotlight Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10189397","Biosignal monitoring;conductive textiles;smart garments;surface electromyography (sEMG);washable textile electrodes","Electrodes;Textiles;Skin;Clothing;Task analysis;Electromyography;Testing","","12","","35","IEEE","20 Jul 2023","1 Sept.1, 2023","","IEEE","IEEE Journals"
"Characterizing the Blood Pressure Response to Physical Counterpressure Manoeuvres Using Surface Electromyography in Adults With Long Covid","E. Duggan; G. Jennings; A. Monaghan; L. Byrne; F. Xue; R. Romero-Ortuno","Discipline of Medical Gerontology, School of Medicine, Trinity College Dublin, Dublin 2, Ireland; Discipline of Medical Gerontology, School of Medicine, Trinity College Dublin, Dublin 2, Ireland; Discipline of Medical Gerontology, School of Medicine, Trinity College Dublin, Dublin 2, Ireland; Falls and Syncope Unit, Mercer’s Institute for Successful Ageing, St. James’s Hospital, Dublin 8, Ireland; Discipline of Medical Gerontology, School of Medicine, Trinity College Dublin, Dublin 2, Ireland; Discipline of Medical Gerontology, School of Medicine, Trinity College Dublin, Dublin 2, Ireland",IEEE Journal of Translational Engineering in Health and Medicine,"19 May 2023","2023","11","","291","295","Orthostatic intolerance (OI) is common in Long Covid. Physical counterpressure manoeuvres (PCM) may improve OI in other disorders. We characterised the blood pressure-rising effect of PCM using surface electromyography (sEMG) and investigated its association with fatigue in adults with Long Covid. Participants performed an active stand with beat-to-beat hemodynamic monitoring and sEMG of both thighs, including PCM at 3-minutes post-stand. Multivariable linear regression investigated the association between change in systolic blood pressure (SBP) and change in normalised root mean square (RMS) of sEMG amplitude, controlling for confounders including the Chalder Fatigue Scale (CFQ). In 90 participants (mean age 46), mean SBP rise with PCM was 13.7 (SD 9.0) mmHg. In regression, SBP change was significantly, directly associated with change in RMS sEMG ( $\beta =0.25$ , 95% CI 0.07–0.43, P = 0.007); however, CFQ was not significant. PCM measured by sEMG augmented SBP without the influence of fatigue.","2168-2372","","10.1109/JTEHM.2023.3273910","Science Foundation Ireland (SFI)(grant numbers:20/COV/8493,18/FRL/6188); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10121061","Long covid;surface EMG;blood pressure;physical counterpressure manoeuvres;fatigue. Clinical and Translational Impact Statement—The blood pressure-rising effect of physical counterpressure manoeuvres after an active stand can be measured by surface electromyography (sEMG). In adults with Long Covid;this was not influenced by fatigue.","COVID-19;Muscles;Fatigue;Thigh;Phase change materials;Blood pressure;Biomedical monitoring","","1","","36","CCBY","8 May 2023","2023","","IEEE","IEEE Journals"
"Proportional and Simultaneous Real-Time Control of the Full Human Hand From High-Density Electromyography","R. C. Sîmpetru; M. März; A. Del Vecchio","Department Artificial Intelligence in Biomedical Engineering (AIBE), Neuromuscular Physiology and Neural Interfacing (N-squared) Laboratory, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Department Artificial Intelligence in Biomedical Engineering (AIBE), Neuromuscular Physiology and Neural Interfacing (N-squared) Laboratory, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Department Artificial Intelligence in Biomedical Engineering (AIBE), Neuromuscular Physiology and Neural Interfacing (N-squared) Laboratory, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"4 Aug 2023","2023","31","","3118","3131","Surface electromyography (sEMG) is a non-invasive technique that measures the electrical activity generated by the muscles using sensors placed on the skin. It has been widely used in the field of prosthetics and other assistive systems because of the physiological connection between muscle electrical activity and movement dynamics. However, most existing sEMG-based decoding algorithms show a limited number of detectable degrees of freedom that can be proportionally and simultaneously controlled in real-time, which limits the use of EMG in a wide range of applications, including prosthetics and other consumer-level applications (e.g., human/machine interfacing). In this work, we propose a new deep learning method that can decode and map the electrophysiological activity of the forearm muscles into proportional and simultaneous control of > 20 degrees of freedom of the human hand with real-time resolution and with latency within the neuromuscular delays (< 50 ms). We recorded the kinematics of the human hand during grasping, pinching, individual digit movements and three gestures at slow (0.5 Hz) and fast (0.75 Hz) movement speeds in healthy participants. We demonstrate that our neural network can predict the kinematics of the hand in real-time at a constant 32 predictions per second. To achieve this, we employed transfer learning and created a prediction smoothing algorithm for the output of the neural network that reconstructed the full geometry of the hand in three-dimensional Cartesian space in real-time. Our results demonstrate that high-density EMG signals from the forearm muscles contain almost all the information that is needed to predict the kinematics of the human hand. The proposed method has the capability of predicting the full kinematics of the human hand with real-time resolution with immediate translational impact in subjects with motor impairments.","1558-0210","","10.1109/TNSRE.2023.3295060","German Ministry for Education and Research (BMBF) through the Project MYOREHAB(grant numbers:01DN23002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10182328","EMG;real-time systems;kinematics;deep learning;transfer learning","Muscles;Real-time systems;Kinematics;Electromyography;Electrodes;Videos;Wrist","Humans;Electromyography;Hand;Muscle, Skeletal;Algorithms;Artificial Limbs","26","","50","CCBYNCND","13 Jul 2023","2023","","IEEE","IEEE Journals"
