"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Adaptive Hybrid Classifier for Myoelectric Pattern Recognition Against the Interferences of Outlier Motion, Muscle Fatigue, and Electrode Doffing","Q. Ding; X. Zhao; J. Han; C. Bu; C. Wu","Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; College of Artificial Intelligence, Nankai University, Tianjin, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"8 May 2019","2019","27","5","1071","1080","Traditional myoelectric prostheses that employ a static pattern recognition model to identify human movement intention from surface electromyography (sEMG) signals hardly adapt to the changes in the sEMG characteristics caused by interferences from daily activities, which hinders the clinical applications of such prostheses. In this paper, we focus on methods to reduce or eliminate the impacts of three types of daily interferences on myoelectric pattern recognition (MPR), i.e., outlier motion, muscle fatigue, and electrode doffing/donning. We constructed an adaptive incremental hybrid classifier (AIHC) by combining one-class support vector data description and multiclass linear discriminant analysis in conjunction with two specific update schemes. We developed an AIHC-based MPR strategy to improve the robustness of MPR against the three interferences. Extensive experiments on hand-motion recognition were conducted to demonstrate the performance of the proposed method. Experimental results show that the AIHC has significant advantages over non-adaptive classifiers under various interferences, with improvements in the classification accuracy ranging from 7.1% to 39% (p <; 0.01). The additional evaluations on data deviations demonstrate that the AIHC can accommodate large-scale changes in the sEMG characteristics, revealing the potential of the AIHC-based MPR strategy in the development of clinical myoelectric prostheses.","1558-0210","","10.1109/TNSRE.2019.2911316","Fundamental Research Funds for the Central Universities(grant numbers:N182608004); National Natural Science Foundation of China(grant numbers:61503374,1573340,U1813214); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8692622","Surface electromyography (sEMG);myoelectric prosthesis;adaptive classifier;online update","Electrodes;Muscles;Fatigue;Training;Pattern recognition;Electromyography;Robustness","Adult;Algorithms;Artifacts;Electrodes;Electromyography;Female;Hand;Humans;Male;Motion;Muscle Fatigue;Pattern Recognition, Automated;Prosthesis Design;Reproducibility of Results;Support Vector Machine;Young Adult","72","","31","IEEE","16 Apr 2019","May 2019","","IEEE","IEEE Journals"
"Feature Analysis for Classification of Physical Actions Using Surface EMG Data","A. C. Turlapaty; B. Gokaraju","Indian Institute of Information Technology Sri City, Sri City, India; Visualization and Computing Advanced Research Center, North Carolina A&T State University, Greensboro, USA",IEEE Sensors Journal,"4 Dec 2019","2019","19","24","12196","12204","Based on recent health statistics, there are several thousand people with limb disability and gait disorders that require medical assistance. A robot assisted rehabilitation therapy can help them recover and return to a normal life. In this scenario, a successful methodology is to use an EMG signal based information to control the support robotics. For this mechanism to function properly, the EMG signal from the muscles has to be sensed and then the biological motor intention has to be decoded and finally the resulting information has to be communicated to the controller of the robot. An accurate understanding of the motor intention requires a pattern recognition based framework. Hence in this paper, we propose an improved classification framework through identification of the relevant features that drive the pattern recognition algorithm. Major contributions include a set of modified spectral moment based features and another relevant inter-channel correlation feature that contribute to an improved classification performance. Next, we conducted a sensitivity analysis of the classification algorithm to different EMG channels. Finally, the classifier accuracy with probabilistic neural networks based classifier is 92.7% and with an ensemble of subspace K-nearest neighbors algorithm it is 93.9% and is better than that of the other state of the art algorithms.","1558-1748","","10.1109/JSEN.2019.2937979","U.S. Department of Education-Minority Science and Engineering Program’s (MSEIP) Capacity Competitiveness Enhancement Model (CCEM)(grant numbers:2018-2019,P120A160122); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8817944","PNN;feature combinations;classification;EMG;spectral moments","Electromyography;Feature extraction;Muscles;Exoskeletons;Robots;Pattern recognition;Force","","37","","36","IEEE","28 Aug 2019","15 Dec.15, 2019","","IEEE","IEEE Journals"
"Intelligent Human-Computer Interaction Based on Surface EMG Gesture Recognition","J. Qi; G. Jiang; G. Li; Y. Sun; B. Tao","Key Laboratory of Metallurgical Equipment and Control Technology of Ministry of Education, Wuhan University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Mechanical Transmission and Manufacturing Engineering, Wuhan University of Science and Technology, Wuhan, China; Precision Manufacturing Research Institute, Wuhan University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Mechanical Transmission and Manufacturing Engineering, Wuhan University of Science and Technology, Wuhan, China; Hubei Key Laboratory of Mechanical Transmission and Manufacturing Engineering, Wuhan University of Science and Technology, Wuhan, China",IEEE Access,"20 May 2019","2019","7","","61378","61387","Urban intelligence is an emerging concept which guides a series of infrastructure developments in modern smart cities. Human-computer interaction (HCI) is the interface between residents and the smart cities, it plays a key role in bridging the gap in applicating information technologies in modern cities. Hand gestures have been widely acknowledged as a promising HCI method, recognition human hand gestures using surface electromyogram (sEMG) is an important research topic in the application of sEMG. However, state-of-the-art signal processing technologies are not robust in feature extraction and pattern recognition with sEMG signals, several technical problems are still yet to be solved. For example, how to maintain the availability of myoelectric control in intermittent use, since pattern recognition qualities are greatly affected by time variability, but it is unavoidable during daily use. How to ensure the reliability and effectiveness of myoelectric control system also important in developing a good human-machine interface. In this paper, linear discriminant analysis (LDA) and extreme learning machine (ELM) are implemented in hand gesture recognition system, which is able to reduce the redundant information in sEMG signals and improve recognition efficiency and accuracy. The characteristic map slope (CMS) is extracted by using the feature re-extraction method because CMS can strengthen the relationship of features cross time domain and enhance the feasibility of cross-time identification. This study is focusing on optimizing the time differences in sEMG pattern recognition, the experimental results are beneficial to reducing the time differences in gesture recognition based on sEMG. The recognition framework proposed in this paper can enhance the generalization ability of HCI in the long term use and it also simplifies the data collection stage before training the device ready for daily use, which is of great significance to improve the time generalization performance of an HCI system.","2169-3536","","10.1109/ACCESS.2019.2914728","National Natural Science Foundation of China(grant numbers:51575407,51505349,51575338,51575412,61733011); Wuhan University of Science and Technology(grant numbers:GF201705); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8706969","Urban intelligence;human-computer interaction;sEMG;gesture recognition","Feature extraction;Gesture recognition;Electromyography;Human computer interaction;Thumb;Time-domain analysis","","176","","50","CCBY","6 May 2019","2019","","IEEE","IEEE Journals"
"Estimation of EMG-Based Force Using a Neural-Network-Based Approach","J. Luo; C. Liu; C. Yang","Key Laboratory of Autonomous Systems and Networked Control, College of Automation Science and Engineering, South China University of Technology, Guangzhou, China; LIRMM, CNRS, University of Montpellier, Montpellier, France; Bristol Robotics Laboratory, University of the West of England, Bristol, U.K.",IEEE Access,"30 May 2019","2019","7","","64856","64865","The dynamics of human arms has a high impact on the humans' activities in daily life, especially when a human operates a tool such as interactions with a robot with the need for high dexterity. The dexterity of human arms depends largely on motor functionality of muscle. In this sense, the dynamics of human arms should be well analyzed. In this paper, in order to analyse the characteristic of human arms, a neural-network-based algorithm is proposed for exploring the potential model between electromyography (EMG) signal and human arm's force. Based on the analysis of force for humans, the mean absolute value of the electromyographic signal is selected as the input for the potential model. In this paper, in order to accurately estimate the potential model, three domains fuzzy wavelet neural network (TDFWNN) algorithm without prior knowledge of the biomechanical model is utilized. The performance of the proposed algorithm has been demonstrated by the experimental results in comparison with the conventional radial basis function neural network (RBFNN) method. By comparison, the proposed TDFWNN algorithm provides an effective solution to evaluate the influence of human factors based on biological signals.","2169-3536","","10.1109/ACCESS.2019.2917300","Engineering and Physical Sciences Research Council(grant numbers:EP/S001913); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8716698","Neural-network-based algorithm;force estimation;electromyography (EMG) signal;human factor;biomechanical model of surface EMG (sEMG)-force","Force;Electromyography;Muscles;Neural networks;Biological system modeling;Biomechanics;Robots","","53","","43","CCBY","16 May 2019","2019","","IEEE","IEEE Journals"
"A Modular Transradial Bypass Socket for Surface Myoelectric Prosthetic Control in Non-Amputees","M. D. Paskett; N. R. Olsen; J. A. George; D. T. Kluger; M. R. Brinton; T. S. Davis; C. C. Duncan; G. A. Clark","Department of Biomedical Engineering, University of Utah, Salt Lake, UT, USA; Department of Biomedical Engineering, University of Utah, Salt Lake, UT, USA; Department of Biomedical Engineering, University of Utah, Salt Lake, UT, USA; Department of Biomedical Engineering, University of Utah, Salt Lake, UT, USA; Department of Biomedical Engineering, University of Utah, Salt Lake, UT, USA; Department of Neurosurgery, University of Utah, Salt Lake, UT, USA; Department of Physical Medicine and Rehabilitation, University of Utah, Salt Lake, UT, USA; Department of Biomedical Engineering, University of Utah, Salt Lake, UT, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"14 Oct 2019","2019","27","10","2070","2076","Bypass sockets allow researchers to perform tests of prosthetic systems from the prosthetic user's perspective. We designed a modular upper-limb bypass socket with 3D-printed components that can be easily modified for use with a variety of terminal devices. Our bypass socket preserves access to forearm musculature and the hand, which are necessary for surface electromyography and to provide substituted sensory feedback. Our bypass socket allows a sufficient range of motion to complete tasks in the frontal working area, as measured on non-amputee participants. We examined the performance of non-amputee participants using the bypass socket on the original and modified Box and Block Tests. Participants moved 11.3 ± 2.7 and 11.7 ± 2.4 blocks in the original and modified Box and Block Tests (mean ± SD), respectively, within the range of reported scores using amputee participants. Range of motion for users wearing the bypass socket meets or exceeds most reported range of motion requirements for activities of daily living. The bypass socket was originally designed with a freely rotating wrist; we found that adding elastic resistance to user wrist rotation while wearing the bypass socket had no significant effect on motor decode performance. We have open-sourced the design files and an assembly manual for the bypass socket. We anticipate that the bypass socket will be a useful tool to evaluate and develop sensorized myoelectric prosthesis technology.","1558-0210","","10.1109/TNSRE.2019.2941109","National Science Foundation(grant numbers:ECCS-1533649); Defense Advanced Research Projects Agency(grant numbers:N66001-15-C-4017); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8835077","Box and block test;electromyography (EMG);myoelectric;upper-limb prosthetics;transradial;amputee;prosthetic;prosthesis;bypass;surface electromyography (sEMG);simulation;intact;able-bodied;non-amputee","Sockets;Wrist;Prosthetics;Task analysis;Electromyography;Performance evaluation;Elbow","Amputees;Artificial Limbs;Computer Simulation;Electromyography;Feedback, Sensory;Female;Healthy Volunteers;Humans;Male;Muscle, Skeletal;Printing, Three-Dimensional;Prosthesis Design;Radius;Wrist","20","","49","IEEE","12 Sep 2019","Oct. 2019","","IEEE","IEEE Journals"
"sEMG-Based Gesture Recognition With Embedded Virtual Hand Poses and Adversarial Learning","Y. Hu; Y. Wong; Q. Dai; M. Kankanhalli; W. Geng; X. Li","State Key Laboratory of CAD & CG, College of Computer Science and Technology, Zhejiang University, Hangzhou, China; School of Computing, National University of Singapore, Singapore; State Key Laboratory of CAD & CG, College of Computer Science and Technology, Zhejiang University, Hangzhou, China; School of Computing, National University of Singapore, Singapore; State Key Laboratory of CAD & CG, College of Computer Science and Technology, Zhejiang University, Hangzhou, China; State Key Laboratory of CAD & CG, College of Computer Science and Technology, Zhejiang University, Hangzhou, China",IEEE Access,"8 Aug 2019","2019","7","","104108","104120","To improve the accuracy of surface electromyography (sEMG)-based gesture recognition, we present a novel hybrid approach that combines real sEMG signals with corresponding virtual hand poses. The virtual hand poses are generated by means of a proposed cross-modal association model constructed based on the adversarial learning to capture the intrinsic relationship between the sEMG signals and the hand poses. We report comprehensive evaluations of the proposed approach for both frame- and window-based sEMG gesture recognitions on seven-sparse-multichannel and four-high-density-benchmark databases. The experimental results show that the proposed approach achieves significant improvements in sEMG-based gesture recognition compared to existing works. For frame-based sEMG gesture recognition, the recognition accuracy of the proposed framework is increased by an average of +5.2% on the sparse multichannel sEMG databases and by an average of +6.7% on the high-density sEMG databases compared to the existing methods. For window-based sEMG gesture recognition, the state-of-the-art recognition accuracies on three of the high-density sEMG databases are already higher than 99%, i.e., almost saturated; nevertheless, we achieve a +0.2% improvement. For the remaining eight sEMG databases, the average improvement with the proposed framework for the window-based approach is +2.5%.","2169-3536","","10.1109/ACCESS.2019.2930005","National Basic Research Program of China (973 Program)(grant numbers:2016YFB1001302); National Natural Science Foundation of China(grant numbers:61379067); National Research Foundation Singapore; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8766972","Hand gesture recognition;surface electromyography (sEMG);myoelectric control;generative adversarial learning;virtual hand pose","Gesture recognition;Databases;Electrodes;Feature extraction;User experience;Assistive technology;Machine learning","","25","","60","CCBY","19 Jul 2019","2019","","IEEE","IEEE Journals"
"A Modular, Smart, and Wearable System for High Density sEMG Detection","G. L. Cerone; A. Botter; M. Gazzoni","Dipartimento di Elettronica e Telecomunicazioni, Laboratory for Engineering of the Neuromuscular System, Politecnico di Torino, Turin, Italy; Dipartimento di Elettronica e Telecomunicazioni, Laboratory for Engineering of the Neuromuscular System, Politecnico di Torino; Dipartimento di Elettronica e Telecomunicazioni, Laboratory for Engineering of the Neuromuscular System, Politecnico di Torino",IEEE Transactions on Biomedical Engineering,"20 Nov 2019","2019","66","12","3371","3380","Objective: The use of linear or bi-dimensional electrode arrays for surface EMG detection (HD-sEMG) is gaining attention as it increases the amount and reliability of information extracted from the surface EMG. However, the complexity of the setup and the encumbrance of HD-sEMG hardware currently limits its use in dynamic conditions. The aim of this paper was to develop a miniaturized, wireless, and modular HD-sEMG acquisition system for applications requiring high portability and robustness to movement artifacts. Methods: A system with modular architecture was designed. Its core is a miniaturized 32-channel amplifier (Sensor Unit - SU) sampling at 2048 sps/ch with 16 bit resolution and wirelessly transmitting data to a PC or a mobile device. Each SU is a node of a Body Sensor Network for the synchronous signal acquisition from different muscles. Results: A prototype with two SUs was developed and tested. Each SU is small (3.4 cm × 3 cm × 1.5 cm), light (16.7 g), and can be connected directly to the electrodes; thus, avoiding the need for customary, wired setup. It allows to detect HD-sEMG signals with an average noise of 1.8 μVRMS and high performance in terms of rejection of power-line interference and motion artefacts. Tests performed on two SUs showed no data loss in a 22 m range and a ±500 μs maximum synchronization delay. Conclusions: Data collected in a wide spectrum of experimental conditions confirmed the functionality of the designed architecture and the quality of the acquired signals. Significance: By simplifying the experimental setup, reducing the hardware encumbrance, and improving signal quality during dynamic contractions, the developed system opens new perspectives in the use of HD-sEMG in applied and clinical settings.","1558-2531","","10.1109/TBME.2019.2904398","Compagnia di San Paolo; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8664610","Body sensors networks;dynamic EMG;HD-sEMG amplifier;modular systems;movement artefacts;smart devices;wearable sensors","Electromyography;Body sensor networks;Wireless communication;Smart devices;Wearable sensors;Wireless fidelity","Artifacts;Electromyography;Equipment Design;Humans;Movement;Signal Processing, Computer-Assisted;Wearable Electronic Devices","101","","61","IEEE","10 Mar 2019","Dec. 2019","","IEEE","IEEE Journals"
"Online Finger Control Using High-Density EMG and Minimal Training Data for Robotic Applications","M. Barsotti; S. Dupan; I. Vujaklija; S. Došen; A. Frisoli; D. Farina","Perceptual Robotics Laboratory, TeCIP Institute, Scuola Superiore Sant'Anna, Pisa, Italy; Donders Institute, Radboud University, Nijmegen, The Netherlands; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Health Science and Technology, Center for Sensory-Motor Interaction, Aalborg University, Aalborg, Denmark; Perceptual Robotics Laboratory, TeCIP Institute, Scuola Superiore Sant'Anna, Pisa, Italy; Department of Bioengineering, Imperial College London, London, U.K.",IEEE Robotics and Automation Letters,"19 Dec 2018","2019","4","2","217","223","A hand impairment can have a profound impact on the quality of life. This has motivated the development of dexterous prosthetic and orthotic devices. However, their control with neuromuscular interfacing remains challenging. Moreover, existing myocontrol interfaces typically require an extensive calibration. We propose a minimally supervised, online myocontrol system for proportional and simultaneous finger force estimation based on ridge regression using only individual finger tasks for training. We compare the performance of this system when using two feature sets extracted from high-density electromyography (EMG) recordings: EMG linear envelope (ENV) and non-linear EMG to muscle activation mapping (ACT). Eight intact-limb participants were tested using online target reaching tasks. On average, the subjects hit 85% ± 9% and 91% ± 11% of single finger targets with ENV and ACT features, respectively. The hit rate for combined finger targets decreased to 29% ± 16% (ENV) and 53% ± 23% (ACT). The non-linear transformation (ACT) therefore improved the performance, leading to higher completion rate and more stable control, especially for the non-trained movement classes (better generalization). These results demonstrate the feasibility of proportional multiple finger control in intact subjects by regression on non-linear EMG features with a minimal training set of single finger tasks.","2377-3766","","10.1109/LRA.2018.2885753","Italian Ministry of Instruction University and Research; Fondazione CR Firenze; European Union Seventh Framework Programme(grant numbers:FP7/2007-2013,604063); Erasmus+ 2017/2018(grant numbers:2017/E+/11600); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8570800","Dexterous manipulation;electromyography (EMG);feature selection;linear regression;myoelectric control;online control;prosthetics and exoskeletons","Electromyography;Thumb;Training;Force;Task analysis;Electrodes","","45","","35","IEEE","9 Dec 2018","April 2019","","IEEE","IEEE Journals"
"Myoelectric Pattern Recognition for Controlling a Robotic Hand: A Feasibility Study in Stroke","Z. Lu; K. -y. Tong; X. Zhang; S. Li; P. Zhou","Department of Physical Medicine and Rehabilitation, University of Texas Health Science Center at Houston, and TIRR Memorial Hermann Research Center; Department of Biomedical Engineering, Chinese University of Hong Kong; Biomedical Engineering Program, University of Science and Technology of China; Department of Physical Medicine and Rehabilitation, University of Texas Health Science Center at Houston, and TIRR Memorial Hermann Research Center; Department of Physical Medicine and Rehabilitation, University of Texas Health Science Center at Houston, and TIRR Memorial Hermann Research Center, Houston, TX, USA",IEEE Transactions on Biomedical Engineering,"20 Jan 2019","2019","66","2","365","372","Objective: Myoelectric pattern recognition has been successfully applied as a human-machine interface to control robotic devices such as prostheses and exoskeletons, significantly improving the dexterity of myoelectric control. This study investigates the feasibility of applying myoelectric pattern recognition for controlling a robotic hand in stroke patients. Methods: Myoelectric pattern recognition of six hand motion patterns was performed using forearm electromyogram signals in paretic side of eight stroke subjects. Both the random cross validation (RCV) and the chronological handout validation (CHV) were applied to assess the offline myoelectric pattern recognition performance. Experiments on real-time myoelectric pattern recognition control of an exoskeleton robotic hand were also performed. Results: An average classification accuracy of 84.1% (the mean value from two different classifiers) and individual subject differences were observed in the offline myoelectric pattern recognition analysis using the RCV, while the accuracy decreased to 65.7% when the CHV was used. The stroke subjects achieved an average accuracy of 61.3 ± 20.9% for controlling the robotic hand. However, our study did not reveal a clear correlation between the real-time control accuracy and the offline myoelectric pattern recognition performance, or any specific characteristics of the stroke subjects. Conclusion: The findings suggest that it is feasible to apply myoelectric pattern recognition to control the robotic hand in some but not all of the stroke patients. Each stroke subject should be individually online tested for the feasibility of applying myoelectric pattern recognition control for robot-assisted rehabilitation.","1558-2531","","10.1109/TBME.2018.2840848","American Heart Association(grant numbers:16GRNT29100012); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8365845","EMG;myoelectric pattern recognition;real-time control;hand exoskeleton;stroke rehabilitation","Pattern recognition;Exoskeletons;Electromyography;Muscles;Robots;Real-time systems;Electrodes","Adult;Aged;Electromyography;Exoskeleton Device;Feasibility Studies;Female;Hand;Humans;Male;Middle Aged;Pattern Recognition, Automated;Signal Processing, Computer-Assisted;Stroke Rehabilitation","83","","50","IEEE","25 May 2018","Feb. 2019","","IEEE","IEEE Journals"
"Validation of Polymer-Based Screen-Printed Textile Electrodes for Surface EMG Detection","D. Pani; A. Achilli; A. Spanu; A. Bonfiglio; M. Gazzoni; A. Botter","Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; Department of Informatics, Bioengineering, Robotics and System Engineering, University of Genoa, Genoa, Italy; Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; PoliToBIOMed Lab, Politecnico di Torino, Turin, Italy; PoliToBIOMed Lab, Politecnico di Torino, Turin, Italy",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"5 Jul 2019","2019","27","7","1370","1377","In recent years, the variety of textile electrodes developed for electrophysiological signal detection has increased rapidly. Among the applications that could benefit from this advancement, those based on surface electromyography (sEMG) are particularly relevant in rehabilitation, training, and muscle function assessment. In this work, we validate the performance of polymer-based screen-printed textile electrodes for sEMG signal detection. We obtained these electrodes by depositing poly-3,4-ethylenedioxythiophene doped with poly(styrene sulfonate) (PEDOT:PSS) onto cotton fabric, and then selectively changing the physical properties of the textile substrate. The manufacturing costs are low and this process meets the requirements of textile-industry production lines. The validation of these electrodes was based on their functional and electrical characteristics, assessed for two different electrode sizes and three skin-interface conditions (dry, solid hydrogel, or saline solution), and compared to those of conventional disposable gelled electrodes. Results show high similarity in terms of noise amplitude and electrode-skin impedance between the conventional and textile electrodes with the addition of solid hydrogel or saline solution. Furthermore, we compared the shape of the electrically induced sEMG, as detected by conventional and textile electrodes from tibialis anterior. The comparison yielded an $\text{R}^{\textsf {2}}$ value higher than 97% for all measurement conditions. Preliminary tests in dynamic conditions (walking) revealed the exploitability of the proposed electrode technology with saline application for the monitoring of sEMG for up to 35 min of activity. These results suggest that the proposed screen-printed textile electrodes may be an effective alternative to the conventional gelled electrodes for sEMG acquisition, thereby providing new opportunities in clinical and wellness fields.","1558-0210","","10.1109/TNSRE.2019.2916397","DoMoMEA Project; Sardegna Ricerche with POR FESR 2014/2020 funds, Priority Axis I “Scientific Research, Technological Development and Innovation” and of the CONVERGENCE Project; ERA-NET–a H2020 Instrument; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8721271","Surface EMG;textile electrodes;screen-printing;M-wave","Electrodes;Fabrics;Skin;Impedance;Voltage measurement;Substrates","Cotton Fiber;Electric Impedance;Electric Stimulation;Electrodes;Electromyography;Gels;Humans;Hydrogels;Polymers;Polystyrenes;Saline Solution;Skin;Textiles;Walking","66","","34","OAPA","23 May 2019","July 2019","","IEEE","IEEE Journals"
