"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Surface EMG vs. High-Density EMG: Tradeoff Between Performance and Usability for Head Orientation Prediction in VR Application","T. Sugiarto; C. -L. Hsu; C. -T. Sun; W. -C. Hsu; S. -H. Ye; K. -T. Lu","Information and Communication Research Laboratory, Industrial Technology Research Institute, Hsinchu, Taiwan; Information and Communication Research Laboratory, Industrial Technology Research Institute, Hsinchu, Taiwan; Information and Communication Research Laboratory, Industrial Technology Research Institute, Hsinchu, Taiwan; Graduate Institute of Applied Science and Technology, National Taiwan University of Science and Technology, Taipei, Taiwan; Information and Communication Research Laboratory, Industrial Technology Research Institute, Hsinchu, Taiwan; Information and Communication Research Laboratory, Industrial Technology Research Institute, Hsinchu, Taiwan",IEEE Access,"25 Mar 2021","2021","9","","45418","45427","Head orientation prediction is one of the solutions to reduce end-to-end latency on Virtual Reality (VR) systems and is important since it can alleviate negative effects like motion sickness. This study compared head orientation prediction models from two different electromyography (EMG) systems: surface EMG (sEMG) and High-Density EMG (HD-EMG). The deep learning method was used to train the prediction model, and the results showed that the model with input from the pre-processed sEMG + IMU sensor outperformed the model with input from the HD-EMG + IMU sensor. However, the decreasing performance from HD-EMG was compensated by its comfort and the ease of use of its electrode. This tradeoff between performance and usability with sEMG compared to HD-EMG should be a consideration for users who want to choose between performance and ease of use for head orientation prediction purposes. Comparison with state-of-the-art head prediction methods proved that the sEMG-based model offers better performance in predictions when users change their head directions, which was quantified by calculating the dt peaks. In other words, our sEMG-based prediction model is suitable for VR applications, which require the user to perform high-intensity or abrupt movements, such as in FPS games or exercise/sports games.","2169-3536","","10.1109/ACCESS.2021.3067030","Industrial Technology Research Institute(grant numbers:J301AR2100,L351AH1110); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381217","Deep neural network;head orientation prediction;high-density electromyography;low-latency virtual reality;surface electromyography","Electromyography;Head;Predictive models;Muscles;Magnetic heads;Electrodes;Tracking","","18","","36","CCBY","18 Mar 2021","2021","","IEEE","IEEE Journals"
"Machine-Learning-Based Prediction of Gait Events From EMG in Cerebral Palsy Children","C. Morbidoni; A. Cucchiarelli; V. Agostini; M. Knaflitz; S. Fioretti; F. Di Nardo","Department of Information Engineering, Università Politecnica delle Marche, Ancona, Italy; Department of Information Engineering, Università Politecnica delle Marche, Ancona, Italy; Department of Electronics and Telecommunications, Politecnico di Torino, Torino, Italy; Department of Electronics and Telecommunications, Politecnico di Torino, Torino, Italy; Department of Information Engineering, Università Politecnica delle Marche, Ancona, Italy; Department of Information Engineering, Università Politecnica delle Marche, Ancona, Italy",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"5 May 2021","2021","29","","819","830","Machine-learning techniques are suitably employed for gait-event prediction from only surface electromyographic (sEMG) signals in control subjects during walking. Nevertheless, a reference approach is not available in cerebral-palsy hemiplegic children, likely due to the large variability of foot-floor contacts. This study is designed to investigate a machine-learning-based approach, specifically developed to binary classify gait events and to predict heel-strike (HS) and toe-off (TO) timing from sEMG signals in hemiplegic-child walking. To this objective, sEMG signals are acquired from five hemiplegic-leg muscles in nearly 2500 strides from 20 hemiplegic children, acknowledged as Winters’ group 1 and 2. sEMG signals, segmented in overlapping windows of 600 samples (pace = 5 samples), are used to train a multi-layer perceptron model. Intra-subject and inter-subject experimental settings are tested. The best-performing intra-subject approach is able to provide in the hemiplegic population a mean classification accuracy (±SD) of 0.97±0.01 and a suitable prediction of HS and TO events, in terms of average mean absolute error (MAE, 14.8±3.2 ms for HS and 17.6±4.2 ms for TO) and F1-score (0.95±0.03 for HS and 0.92±0.07 for TO). These results outperform previous sEMG-based attempts in cerebral-palsy populations and are comparable with outcomes achieved by reference approaches in control populations. In conclusion, the findings of the study prove the feasibility of neural networks in predicting the two main gait events using surface EMG signals, also in condition of high variability of the signal to predict as in hemiplegic cerebral palsy.","1558-0210","","10.1109/TNSRE.2021.3076366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9417103","Cerebral palsy;children;gait-phase classification;machine learning;neural networks;surface EMG","Legged locomotion;Neural networks;Timing;Sensors;Statistics;Sociology;Electromyography","Cerebral Palsy;Child;Electromyography;Gait;Humans;Machine Learning;Walking","56","","37","CCBY","28 Apr 2021","2021","","IEEE","IEEE Journals"
"Electrodes’ Configuration Influences the Agreement Between Surface EMG and B-Mode Ultrasound Detection of Motor Unit Fasciculation","A. Botter; T. Vieira; M. Carbonaro; G. L. Cerone; E. F. Hodson-Tole","Department of Electronics and Telecommunication, Laboratory for Engineering of the Neuromuscular System (LISiN), Politecnico di Torino, Torino, Italy; Department of Electronics and Telecommunication, Laboratory for Engineering of the Neuromuscular System (LISiN), Politecnico di Torino, Torino, Italy; Department of Electronics and Telecommunication, Laboratory for Engineering of the Neuromuscular System (LISiN), Politecnico di Torino, Torino, Italy; Department of Electronics and Telecommunication, Laboratory for Engineering of the Neuromuscular System (LISiN), Politecnico di Torino, Torino, Italy; Department of Life Sciences, Musculoskeletal Sciences and Sports Medicine Research Centre, Manchester Metropolitan University, Manchester, U.K.",IEEE Access,"15 Jul 2021","2021","9","","98110","98120","Muscle fasciculations, resulting from the spontaneous activation of motor neurons, may be associated with neurological disorders, and are often assessed with intramuscular electromyography (EMG). Recently, however, both ultrasound (US) imaging and multichannel surface EMG have been shown to be more sensitive to fasciculations. In this study we combined these two techniques to compare their detection sensitivity to fasciculations occurring in different muscle regions and to investigate the effect of EMG electrodes' configuration on their agreement. Monopolar surface EMGs were collected from medial gastrocnemius and soleus with an array of 32 electrodes (10 mm Inter-Electrode Distance, IED) simultaneously with b-mode US images detected alongside either proximal, central or distal electrodes groups. Fasciculation potentials (FP) were identified from single differential EMGs with 10 mm (SD1), 20 mm (SD2) and 30 mm (SD3) IEDs, and fasciculation events (FE) from US image sequences. The number, location, and size of FEs and FPs in 10 healthy participants were analyzed. Overall, the two techniques showed similar sensitivities to muscle fasciculations. US was equally sensitive to FE occurring in the proximal and distal calf regions, while the number of FP revealed by EMG increased significantly with the IED and was larger distally, where the depth of FE decreased. The agreement between the two techniques was relatively low, with a percentage of fasciculation classified as common ranging from 22% for the smallest IED to 68% for the largest IED. The relevant number of events uniquely detected by the two techniques is discussed in terms of different spatial sensitivities of EMG and US, which suggest that a combination of US-EMG is likely to maximise the sensitivity to muscle fasciculations.","2169-3536","","10.1109/ACCESS.2021.3094665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474475","Fasciculation;motor unit;electromyography;HD-EMG;ultrasonic imaging;amyotrophic lateral sclerosis (ALS);motor neuron disease","Electromyography;Muscles;Iron;Electrodes;Ultrasonic imaging;Sensitivity;Electric potential","","11","","25","CCBYNCND","5 Jul 2021","2021","","IEEE","IEEE Journals"
"Exploring the Relationship Between EMG Feature Space Characteristics and Control Performance in Machine Learning Myoelectric Control","A. W. Franzke; M. B. Kristoffersen; V. Jayaram; C. K. van der Sluis; A. Murgia; R. M. Bongers","University Medical Center Groningen, Department of Rehabilitation Medicine, University of Groningen, Groningen, The Netherlands; University Medical Center Groningen, Department of Rehabilitation Medicine, University of Groningen, Groningen, The Netherlands; Department of Empirical Inference, Max Planck Institute for Intelligent Systems, Tübingen, Germany; University Medical Center Groningen, Department of Rehabilitation Medicine, University of Groningen, Groningen, The Netherlands; University Medical Center Groningen and the Center for Human Movement Sciences, University of Groningen, Groningen, The Netherlands; University Medical Center Groningen and the Center for Human Movement Sciences, University of Groningen, Groningen, The Netherlands",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"25 Feb 2021","2021","29","","21","30","In myoelectric machine learning (ML) based control, it has been demonstrated that control performance usually increases with training, but it remains largely unknown which underlying factors govern these improvements. It has been suggested that the increase in performance originates from changes in characteristics of the Electromyography (EMG) patterns, such as separability or repeatability. However, the relation between these EMG metrics and control performance has hardly been studied. We assessed the relation between three common EMG feature space metrics (separability, variability and repeatability) in 20 able bodied participants who learned ML myoelectric control in a virtual task over 15 training blocks on 5 days. We assessed the change in offline and real-time performance, as well as the change of each EMG metric over the training. Subsequently, we assessed the relation between individual EMG metrics and offline and real-time performance via correlation analysis. Last, we tried to predict real-time performance from all EMG metrics via L2-regularized linear regression. Results showed that real-time performance improved with training, but there was no change in offline performance or in any of the EMG metrics. Furthermore, we only found a very low correlation between separability and real-time performance and no correlation between any other EMG metric and real-time performance. Finally, real-time performance could not be successfully predicted from all EMG metrics employing L2-regularized linear regression. We concluded that the three EMG metrics and real-time performance appear to be unrelated.","1558-0210","","10.1109/TNSRE.2020.3029873","European Union’s Horizon 2020 Research and Innovation Programme for Project INPUT(grant numbers:687795); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9218981","Electromyography;machine learning;pattern analysis;prosthetics;training","Electromyography;Real-time systems;Training;Aerospace electronics;Correlation;Extraterrestrial measurements","Benchmarking;Electromyography;Humans;Linear Models;Machine Learning","20","","32","CCBY","9 Oct 2020","2021","","IEEE","IEEE Journals"
"Real-Time Artifact Removal System for Surface EMG Processing During Ten-Fold Frequency Electrical Stimulation","H. -P. Wang; Z. -Y. Bi; W. -J. Fan; Y. -X. Zhou; Y. -X. Zhou; F. Li; K. Wang; X. -Y. Lü; Z. -G. Wang","School of Electronic and Information Engineering, Sanjiang University, Nanjing, China; State Key Laboratory of Bioelectronics, Southeast University, Nanjing, China; Institute of RF-& OE-ICs, Southeast University, Nanjing, China; Institute of RF-& OE-ICs, Southeast University, Nanjing, China; State Key Laboratory of Bioelectronics, Southeast University, Nanjing, China; Institute of RF-& OE-ICs, Southeast University, Nanjing, China; Institute of RF-& OE-ICs, Southeast University, Nanjing, China; State Key Laboratory of Bioelectronics, Southeast University, Nanjing, China; Institute of RF-& OE-ICs, Southeast University, Nanjing, China",IEEE Access,"13 May 2021","2021","9","","68320","68331","In this paper, three easily implemented hardware algorithms, including the adaptive prediction error filter based on the Gram-Schmidt algorithm (GS-APEF), the least mean square adaptive filter and the comb filter, are extensively investigated for artifact denoising on a constructed semi-simulated database with varied ten-fold frequency stimulation. By implementing the GS-APEF in the field-programmable gate array (FPGA) and using the edge noise mitigating technique, a stimulation artifact denoising system is designed to realize real-time stimulation artifact removal under varied ten-fold frequency functional electrical stimulation. Good performance of the artifact denoising is demonstrated in proof-of-concept experiments on able-bodied subjects with a mean correlation coefficient between the root mean square profile of denoised surface electromyography and volitional force of 0.94, verifying the validity of the proposed prototype.","2169-3536","","10.1109/ACCESS.2021.3077644","National Natural Science Foundation of China(grant numbers:61801262,81701806,61534003,61874024); Natural Science Foundation of the Jiangsu Higher Education Institutions of China(grant numbers:18KJB510039); Science and Technology Pillar Program of Jiangsu Province(grant numbers:BE2016738); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9423983","Functional electrical stimulation (FES);stimulus artifact removal (SAR);surface electromyography (sEMG);adaptive filter;field-programmable gate array (FPGA)","Electromyography;Iron;Real-time systems;Noise reduction;Filtering algorithms;Blanking;Field programmable gate arrays","","14","","32","CCBY","5 May 2021","2021","","IEEE","IEEE Journals"
"Deep Neural Network Approach in EMG-Based Force Estimation for Human–Robot Interaction","H. Su; W. Qi; Z. Li; Z. Chen; G. Ferrigno; E. De Momi","Department of Electronics Information and Bioengineering, Politecnico di Milano, Milan, Italy; Department of Electronics Information and Bioengineering, Politecnico di Milano, Milan, Italy; Department of Automation, University of Science and Technology of China, Hefei, China; Department of Automation, University of Science and Technology of China, Hefei, China; Department of Automation, University of Science and Technology of China, Hefei, China; Department of Automation, University of Science and Technology of China, Hefei, China",IEEE Transactions on Artificial Intelligence,"17 Nov 2021","2021","2","5","404","412","In the human–robot interaction, especially when hand contact appears directly on the robot arm, the dynamics of the human arm presents an essential component in human–robot interaction and object manipulation. Modeling and estimation of the human arm dynamics show great potential for achieving more natural and safer interaction. To enrich the dexterity and guarantee the accuracy of the manipulation, mapping the motor functionality of muscle using biosignals becomes a popular topic. In this article, a novel algorithm was constructed using deep learning to explore the potential model between surface electromyography (sEMG) signals of the human arm and interaction force for human–robot interaction. Its features were extracted by adopting the convolutional neural network from the sEMG signals automatically without using prior knowledge of the biomechanical model. The experiments prove the lower error ($< \text{0.4}\,N$) of the designed regression by comparing it with other approaches, such as artificial neural network and long short-term memory. It should be also mentioned that the antinoise ability is an important index to apply this technique in practical applications. Hence, we also add different Gaussian noises into the dataset to demonstrate the robustness against measurement noises by using the proposed model. Finally, it demonstrates the performance of the proposed algorithm using the Myo controller and KUKA LWR4+ robot.","2691-4581","","10.1109/TAI.2021.3066565","National Key Research and Development Program of China(grant numbers:2018AAA0102900); National Natural Science Foundation of China(grant numbers:U1913601); Opening Project of Shanghai Robot R&D and Transformation Functional Platform; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9380441","Force measurement;human–robot interaction;neural networks;surface electromyography (sEMG)","Force;Robots;Feature extraction;Manipulators;Electromyography;Muscles;Estimation","","90","","41","IEEE","17 Mar 2021","Oct. 2021","","IEEE","IEEE Journals"
"Dynamic Surface Electromyography Using Stretchable Screen-Printed Textile Electrodes","A. Spanu; A. Botter; A. Zedda; G. L. Cerone; A. Bonfiglio; D. Pani","Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; Department of Electronics and Telecommunications, LISiN, Politecnico di Torino, Torino, Italy; Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; Department of Electronics and Telecommunications, LISiN, Politecnico di Torino, Torino, Italy; Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"27 Aug 2021","2021","29","","1661","1668","Objective. Wearable devices have created new opportunities in healthcare and sport sciences by unobtrusively monitoring physiological signals. Textile polymer-based electrodes proved to be effective in detecting electrophysiological potentials but suffer mechanical fragility and low stretch resistance. The goal of this research is to develop and validate in dynamic conditions cost-effective and easily manufacturable electrodes characterized by adequate robustness and signal quality. Methods. We here propose an optimized screen printing technique for the fabrication of PEDOT:PSS-based textile electrodes directly into finished stretchable garments for surface electromyography (sEMG) applications. A sensorised stretchable leg sleeve was developed, targeting five muscles of interest in rehabilitation and sport science. An experimental validation was performed to assess the accuracy of signal detection during dynamic exercises, including sit-to-stand, leg extension, calf raise, walking, and cycling. Results. The electrodes can resist up to 500 stretch cycles. Tests on five subjects revealed excellent contact impedance, and cross-correlation between sEMG envelopes simultaneously detected from the leg muscles by the textile and Ag/AgCl electrodes was generally greater than 0.9, which proves that it is possible to obtain good quality signals with performance comparable with disposable electrodes. Conclusions. An effective technique to embed polymer-based electrodes in stretchable smart garments was presented, revealing good performance for dynamic sEMG detections. Significance. The achieved results pave the way to the integration of unobtrusive electrodes, obtained by screen printing of conductive polymers, into technical fabrics for rehabilitation and sport monitoring, and in general where the detection of sEMG in dynamic conditions is necessary.","1558-0210","","10.1109/TNSRE.2021.3104972","DoMo-MEA Project through Sardegna Ricerche under Grant Programma Operativo Regionale (POR) del Fondo Europeo di Sviluppo Regionale (FESR)(grant numbers:2014/2020); Priority Axis I “Scientific Research, Technological Development and Innovation,”; European Union’s Horizon 2020 Research and Innovation Programme–Search and Rescue Project(grant numbers:882897); Programma Operativo Nazionale (PON) project “TEX-STYLE”(grant numbers:ARS01_00996,PNR 2015–2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9514514","Dynamic surface EMG;PEDOT:PSS;screen-printing;stretchable textile electrodes","Electrodes;Textiles;Legged locomotion;Fabrics;Muscles;Printing;Electromyography","Delivery of Health Care;Electrodes;Electromyography;Humans;Textiles;Wearable Electronic Devices","26","","45","CCBY","16 Aug 2021","2021","","IEEE","IEEE Journals"
"Adaptive Electrode Calibration Method Based on Muscle Core Activation Regions and Its Application in Myoelectric Pattern Recognition","R. Hu; X. Chen; X. Zhang; X. Chen","School of Information Science and Technology, University of Science and Technology of China (USTC), Hefei, China; School of Information Science and Technology, University of Science and Technology of China (USTC), Hefei, China; School of Information Science and Technology, University of Science and Technology of China (USTC), Hefei, China; School of Information Science and Technology, University of Science and Technology of China (USTC), Hefei, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"25 Feb 2021","2021","29","","11","20","To reduce the bad effect of electrode shifts on myoelectric pattern recognition, this paper presents an adaptive electrode calibration method based on core activation regions of muscles. In the proposed method, the high-density surface electromyography (HD-sEMG) matrix collected during hand gesture execution is decomposed into source signal matrix and mixed coefficient matrix by fast independent component analysis algorithm firstly. The mixed coefficient vector whose source signal has the largest two-norm energy is selected as the major pattern, and core activation region of muscles is extracted by traversing the major pattern periodically using a sliding window. The electrode calibration is realized by aligning the core activation regions in unsupervised way. Gestural HD-sEMG data collection experiments with known and unknown electrode shifts are carried out on 9 gestures and 11 participants. A CNN+LSTM-based network is constructed and two network training strategies are adopted for the recognition task. The experimental results demonstrate the effectiveness of the proposed method in mitigating the bad effect of electrode shifts on gesture recognition accuracy and the potentials in reducing user training burden of myoelectric control systems. With the proposed electrode calibration method, the overall gesture recognition accuracies increase about (5.72~7.69)%. In specific, the average recognition accuracy increases (13.32~17.30)% when using only one batch of data in data diversity strategy, and increases (12.01~13.75)% when using only one repetition of each gesture in model update strategy. The proposed electrode calibration algorithm can be extended and applied to improve the robustness of myoelectric control system.","1558-0210","","10.1109/TNSRE.2020.3029099","National Nature Science Foundation of China(grant numbers:61871360,61671417); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9215030","Electrode calibration;core activation region of muscles;HD-sEMG;FastICA algorithm;myoelectric pattern recognition","Electrodes;Muscles;Calibration;Gesture recognition;Data collection;Training","Algorithms;Calibration;Electrodes;Electromyography;Gestures;Hand;Humans;Muscles","22","","33","CCBY","6 Oct 2020","2021","","IEEE","IEEE Journals"
"Acquisition of Surface EMG Using Flexible and Low-Profile Electrodes for Lower Extremity Neuroprosthetic Control","S. H. Yeon; T. Shu; H. Song; T. -H. Hsieh; J. Qiao; E. A. Rogers; S. Gutierrez-Arango; E. Israel; L. E. Freed; H. M. Herr","MIT Program, Media Arts and Sciences, and the MIT Center for Extreme Bionics, Massachusetts Institute of Technology, Cambridge, MA, USA; MIT Program, Media Arts and Sciences, and the MIT Center for Extreme Bionics, Massachusetts Institute of Technology, Cambridge, MA, USA; MIT Health Sciences and Technology Program, and the MIT Center for Extreme Bionics, Massachusetts Institute of Technology, Cambridge, MA, USA; MIT Program, Media Arts and Sciences, and the MIT Center for Extreme Bionics, Massachusetts Institute of Technology, Cambridge, MA, USA; MIT Program, Media Arts and Sciences, and the MIT Center for Extreme Bionics, Massachusetts Institute of Technology, Cambridge, MA, USA; MIT Department of Mechanical Engineering, and the MIT Center for Extreme Bionics, Massachusetts Institute of Technology, Cambridge, MA, USA; MIT Program, Media Arts and Sciences, and the MIT Center for Extreme Bionics, Massachusetts Institute of Technology, Cambridge, MA, USA; MIT Program, Media Arts and Sciences, and the MIT Center for Extreme Bionics, Massachusetts Institute of Technology, Cambridge, MA, USA; MIT Program, Media Arts and Sciences, and the MIT Center for Extreme Bionics, Massachusetts Institute of Technology, Cambridge, MA, USA; MIT Program, Media Arts and Sciences, and the MIT Center for Extreme Bionics, Massachusetts Institute of Technology, Cambridge, MA, USA",IEEE Transactions on Medical Robotics and Bionics,"26 Aug 2021","2021","3","3","563","572","For persons with lower extremity (LE) amputation, acquisition of surface electromyography (sEMG) from within the prosthetic socket remains a significant challenge due to the dynamic loads experienced during the gait cycle. However, these signals are critical for both understanding the clinical effects of LE amputation and determining the desired control trajectories of active LE prostheses. Current solutions for collecting within-socket sEMG are generally (i) incompatible with a subject’s prescribed prosthetic socket and liners, (ii) uncomfortable, and (iii) expensive. This study presents an alternative within-socket sEMG acquisition paradigm using a novel flexible and low-profile electrode. First, the practical performance of this Sub-Liner Interface for Prosthetics (SLIP) electrode is compared to that of commercial Ag/AgCl electrodes within a cohort of subjects without amputation. Then, the corresponding SLIP electrode sEMG acquisition paradigm is implemented in a single subject with unilateral transtibial amputation performing unconstrained movements and walking on level ground. Finally, a quantitative questionnaire characterizes subjective comfort for SLIP electrode and commercial Ag/AgCl electrode instrumentation setups. Quantitative analyses suggest comparable signal qualities between SLIP and Ag/AgCl electrodes while qualitative analyses suggest the feasibility of using the SLIP electrode for real-time sEMG data collection from load-bearing, ambulatory subjects with LE amputation.","2576-3202","","10.1109/TMRB.2021.3098952","MIT Media Lab Consortia and the Eunice Kennedy Shriver National Institute of Child Health & Human Development of the National Institutes of Health (NIH)(grant numbers:R01HD097135); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9492302","Man-machine systems;electromyography;rehabilitation robotics;prosthetics","Electrodes;Sockets;Prosthetics;Skin;Biomimetics;Electromyography;Substrates","","26","","45","IEEE","21 Jul 2021","Aug. 2021","","IEEE","IEEE Journals"
"Surface Electromyography With Wearable Graphene Textiles","O. Ozturk; M. K. Yapici","Faculty of Engineering and Natural Sciences, Sabanci University, Istanbul, Turkey; Faculty of Engineering and Natural Sciences, Sabanci University, Istanbul, Turkey",IEEE Sensors Journal,"30 Jun 2021","2021","21","13","14397","14406","In this study, we report the use of graphene-coated fabrics as textile electrodes in surface electromyography (sEMG) acquisition. Their performance was compared with that of wet silver/silver chloride (Ag/AgCl) electrodes for the signals that were taken from three different muscle groups. Comparisons were performed in terms of the skin-electrode impedance (SEI), signal-to-noise ratio (SNR) and cross correlation. SEI values of graphene textile electrodes ( $\sim 90\text{k}\Omega $ ) were found to be well within the range of commercial Ag/AgCl electrodes ( $\sim 50\text{k}\Omega $ ). At 2 kg load, SNR values of 19.23 dB from triceps brachii, 27.18 dB from biceps brachii, and 28.13 dB from quadriceps femoris muscles were obtained, respectively; which showed that performance of graphene textile electrodes in static settings is at minimum 94% of clinical signal quality both in terms of SNR and similarity of signal morphologies in terms of cross correlation. After benchmarking the electrode performance, a proof of concept fully textile elastic band and a mobile acquisition circuit were combined to further validate the feasibility of surface electromyography with wearable graphene textiles through a step counter application, where the implemented wearable graphene textile-based step counter achieved on average a success rate above 90% for varying speed levels and up to a maximum of ~98%. Results suggests that graphene textiles could be a viable alternative to gelled Ag/AgCl electrodes and can be used to develop wearable, smart garment applications.","1558-1748","","10.1109/JSEN.2020.3048924","Sabanci University; Scientific and Technological Research Council of Turkey (TUBITAK)(grant numbers:119C091); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9312162","Electrode;EMG;e-textile;flexible;graphene;health monitoring;IOT;m-health;step counter;surface electromyography (sEMG);wearable","Electrodes;Textiles;Graphene;Muscles;Electromyography;Surface impedance;Impedance","","17","","40","IEEE","1 Jan 2021","1 July1, 2021","","IEEE","IEEE Journals"
