"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Investigation of Optimum Electrode Locations by Using an Automatized Surface Electromyography Analysis Technique","K. Nishihara; H. Kawai; T. Gomi; M. Terajima; Y. Chiba","School of Health, Medical Treatment, and Social Services, Department of Physical Therapy, Saitama Prefectural University, Saitama, Japan; Department for Prevention of Dependence on Long-Term Care, Tokyo Metropolitan Institute of Gerontology, Tokyo, Japan; School of Health, Medical Treatment and Social Services Department of Physical Therapy, Saitama Prefectural University, Saitama, Japan; School of Health, Medical Treatment, and Social Services, Saitama Prefectural University, Saitama, Japan; Department of Rehabilitation Medicine, University of Tokyo, Tokyo, Japan",IEEE Transactions on Biomedical Engineering,"16 Jan 2008","2008","55","2","636","642","Identification of the innervation zone is widely used to optimize the accuracy and precision of noninvasive surface electromyography (EMG) signals because the EMG signal is strongly influenced by innervation zones. However, simply structured fusiform muscle, such as biceps brachii muscle, has been employed mainly due to the simplicity with which the propagation from raw EMG signals can be observed. In this study, the optimum electrode location (OEL), free from innervational influence, was investigated by the propagation pattern of action potentials for brachii muscles and more complicated deltoid muscle structures using an automatized signal analysis technique. The technique employed newly developed computer software with additional clinical uses and minimized subjective differences. EMG signals were recorded using surface array electrodes during voluntary isometric contractions obtained from 12 healthy male subjects. Peaks in EMG signals were detected and averaged for each muscle. The propagation patterns and OEL were examined from biceps brachii muscles for all subjects and from deltoid muscles for seven subjects. The estimated locations were partially confirmed by comparing the root mean squares of the EMG signals. These results show that propagation patterns and OEL could be estimated simply and automatically even from the surface EMG signals of deltoid muscles.","1558-2531","","10.1109/TBME.2007.912673","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4432750","Electromyography (EMG);innervation zone;propagation pattern;surface array electrodes","Electrodes;Electromyography;Muscles;Medical treatment;Signal analysis;Tendons;Signal detection;Signal processing;Software;Root mean square","Action Potentials;Algorithms;Artificial Intelligence;Diagnosis, Computer-Assisted;Diagnosis, Computer-Assisted;Electrodes;Electromyography;Electromyography;Humans;Muscle, Skeletal;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity","19","","21","IEEE","16 Jan 2008","Feb. 2008","","IEEE","IEEE Journals"
"An Analysis of EMG Electrode Configuration for Targeted Muscle Reinnervation Based Neural Machine Interface","H. Huang; P. Zhou; G. Li; T. A. Kuiken","Neural Engineering Center for Artificial Limbs, Rehabilitation Institute of Chicago, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University, Chicago, IL, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"12 Feb 2008","2008","16","1","37","45","Targeted muscle reinnervation (TMR) is a novel neural machine interface for improved myoelectric prosthesis control. Previous high-density (HD) surface electromyography (EMG) studies have indicated that tremendous neural control information can be extracted from the reinnervated muscles by EMG pattern recognition (PR). However, using a large number of EMG electrodes hinders clinical application of the TMR technique. This study investigated a reduced number of electrodes and the placement required to extract sufficient neural control information for accurate identification of user movement intents. An electrode selection algorithm was applied to the HD EMG recordings from each of four TMR amputee subjects. The results show that when using only 12 selected bipolar electrodes the average accuracy over subjects for classifying 16 movement intents was 93.0 (plusmn3.3)%, just 1.2% lower than when using the entire HD electrode complement. The locations of selected electrodes were consistent with the anatomical reinnervation sites. Additionally, a practical protocol for clinical electrode placement was developed, which does not rely on complex HD EMG experiment and analysis while maintaining a classification accuracy of 88.7plusmn4.5%. These outcomes provide important guidelines for practical electrode placement that can promote future clinical application of TMR and EMG PR in the control of multifunctional prostheses.","1558-0210","","10.1109/TNSRE.2007.910282","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359237","Classification;clinical EMG electrode configurations;control of artificial limbs;electromyography (EMG);prosthesis;targeted muscle reinnervation;Targeted muscle reinnervation;EMG;Clinical EMG electrode configurations;control of artificial limbs;prosthesis;classification","Electromyography;Electrodes;Muscles;High definition video;Data mining;Neural prosthesis;Pattern recognition;Protocols;Guidelines;Prosthetics","Adult;Algorithms;Artificial Limbs;Electrodes, Implanted;Electromyography;Electrophysiology;Female;Hand;Hand;Humans;Linear Models;Male;Movement;Muscle, Skeletal;Pattern Recognition, Automated;Shoulder;Shoulder","155","3","23","IEEE","12 Feb 2008","Feb. 2008","","IEEE","IEEE Journals"
"Improved Myoelectric Prosthesis Control Using Targeted Reinnervation Surgery: A Case Series","L. A. Miller; K. A. Stubblefield; R. D. Lipschutz; B. A. Lock; T. A. Kuiken","Department of Physical Medicine and Rehabilitation, Feinberg School of Medicine, Northwestern University, Chicago, IL, USA; Neural Engineering Center for Artificial Limbs, Rehabilitation Institute of Chicago, Chicago, IL, USA; Neural Engineering Center for Artificial Limbs, Rehabilitation Institute of Chicago, Chicago, IL, USA; Neural Engineering Center for Artificial Limbs, Rehabilitation Institute of Chicago, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, Feinberg School of Medicine, Northwestern University, Chicago, IL, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"12 Feb 2008","2008","16","1","46","50","Targeted reinnervation is a surgical technique developed to increase the number of myoelectric input sites available to control an upper-limb prosthesis. Because signals from the nerves related to specific movements are used to control those missing degrees-of-freedom, the control of a prosthesis using this procedure is more physiologically appropriate compared to conventional control. This procedure has successfully been performed on three people with a shoulder disarticulation level amputation and three people with a transhumeral level amputation. Performance on timed tests, including the box-and-blocks test and clothespin test, has increased two to six times. Options for new control strategies are discussed.","1558-0210","","10.1109/TNSRE.2007.911817","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4378434","Arm prosthesis;artificial limbs;bionic;electromyography;Arm Prosthesis;Artificial Limbs;Bionic;Electromyography","Prosthetics;Surgery;Muscles;Artificial limbs;Testing;Shoulder;Neural engineering;Medical control systems;Electromyography;Switches","Artificial Limbs;Elbow;Elbow;Electrodes, Implanted;Electromyography;Humans;Movement;Muscle, Skeletal;Muscle, Skeletal;Nerve Tissue;Neurosurgical Procedures;Signal Processing, Computer-Assisted;Transplantation, Autologous;Wrist;Wrist","126","1","24","IEEE","12 Feb 2008","Feb. 2008","","IEEE","IEEE Journals"
"A Hidden Markov, Multivariate Autoregressive (HMM-mAR) Network Framework for Analysis of Surface EMG (sEMG) Data","J. Chiang; Z. J. Wang; M. J. McKeown","Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada; Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada; Pacific Parkinsons Research Centre, University of British Columbia, Vancouver, BC, Canada",IEEE Transactions on Signal Processing,"16 Jul 2008","2008","56","8","4069","4081","As the primary noninvasive means to assess muscle activation, the surface electromyogram (sEMG) is of central importance for the study of motor behavior in both clinical and biomedical applications. However, multivariate sEMG analysis is complicated by the fact that data recorded during dynamic contractions are inherently nonstationary. To model this nonstationarity and to determine the dynamic muscle activity patterns during reaching movements, we propose combining hidden Markov models (HMMs) and multivariate autoregressive (mAR) models into a joint HMM-mAR framework. We further propose constructing muscle networks statistically by performing a second level, group analysis on the subject-specific models. Network structural features are subsequently investigated as input features for the purpose of classification. The proposed approach was applied to real sEMG recordings collected from healthy and stroke subjects during reaching movements. When examining group muscle networks, we note that specific muscle connection patterns were selectively recruited during reaching movements and were differentially recruited after stroke compared to healthy subjects. As the analysis was performed on the raw data, the amplitude and the underlying ldquocarrier datardquo of sEMG signals, we notice that the HMM-mAR model fits the amplitude data well, but not the raw or carrier data. The proposed sEMG analysis framework represents a fundamental departure from existing methods where only the amplitude is typically analyzed or the mAR coefficients are directly used for classification. As the method may provide additional insights into motor control, it appears a promising approach warranting further study.","1941-0476","","10.1109/TSP.2008.925246","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4520143","Classification tree;expectation maximization (EM) algorithm;hidden Markov model (HMM);multivariate autoregressive (mAR) model;stroke;surface electromyography (sEMG)","Hidden Markov models;Electromyography;Muscles;Independent component analysis;Performance analysis;Recruitment;Motor drives;Principal component analysis;Signal analysis","","57","","26","IEEE","16 May 2008","Aug. 2008","","IEEE","IEEE Journals"
"Simulation of Surface EMG Signals for a Multilayer Volume Conductor With a Superficial Bone or Blood Vessel","L. Mesin","Laboratorio di Ingegneria del Sistema Neuromuscolare, Dipartimento di Elettronica, Politecnico di Torino, Torino, Italy",IEEE Transactions on Biomedical Engineering,"16 May 2008","2008","55","6","1647","1657","This study analytically describes surface electromyogram (EMG) signals generated by a planar multilayer volume conductor constituted by different subdomains modeling muscle, bone (or blood vessel), fat, and skin tissues. The bone is cylindrical in shape, with a semicircular section. The flat portion of the boundary of the bone subdomain is interfaced with the fat layer tissue, the remaining part of the boundary is in contact with the muscle layer. The volume conductor is a model of physiological tissues in which the bone is superficial, as in the case of the tibia bone, backbone, and bones of the forearm. The muscle fibers are considered parallel to the axes of the bone, so that the model is space invariant in the direction of propagation of the action potential. The proposed model, being analytical, allows faster simulations of surface EMG with respect to previously developed models including bone or blood vessels based on the finite-element method. Surface EMG signals are studied by simulating a library of single-fiber action potentials (SFAP) of fibers in different locations within the muscle domain, simulating the generation, propagation, and extinction of the action potential. The decay of the amplitude of the SFAPs in the direction transversal to the fibers is assessed. The decay in the direction of the bone has a lower rate with respect to the opposite direction. Similar results are obtained by simulating motor unit action potentials (MUAPs) constituted by 100 fibers with territory 5. waves and interference EMG signals are also simulated based on the library of SFAPs. Again, the decay of the amplitude of the simulated interference EMG signals is lower approaching the bone with respect to going farther from it. The findings of this study indicate the effect of a superficial bone in enhancing the EMG signals in the transversal direction with respect to the fibers of the considered muscle. This increases the effect of crosstalk. The same mathematical method used to simulate a superficial bone can be applied to simulate other physiological tissues. For example, superficial blood vessels (e.g., basilic vein, brachial artery) can influence the recorded EMG signals. As the electrical conductivity of blood is high (it is of the same order as the longitudinal conductivity in the muscle), the effect on EMG signals is opposite compared to the effect of a superficial bone.","1558-2531","","10.1109/TBME.2008.919104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4457868","Electromyography;EMG modeling;volume conductor;electromyography;EMG modelling;volume conductor","Electromyography;Nonhomogeneous media;Conductors;Bones;Blood vessels;Muscles;Signal generators;Analytical models;Libraries;Interference","Action Potentials;Animals;Blood Vessels;Bone and Bones;Computer Simulation;Electric Conductivity;Electromyography;Humans;Models, Biological;Motor Neurons;Muscle, Skeletal;Skin Physiological Phenomena","20","","43","IEEE","16 May 2008","June 2008","","IEEE","IEEE Journals"
"Continuous Monitoring of Sonomyography, Electromyography and Torque Generated by Normal Upper Arm Muscles During Isometric Contraction: Sonomyography Assessment for Arm Muscles","J. Shi; Y. -P. Zheng; Q. -H. Huang; X. Chen","School of Communication and Information Engineering, Shanghai University, Shanghai, China; Department of Health Technology and Informatics, Hong Kong Polytechnic University, Hong Kong, China; Department of Health Technology and Informatics, Hong Kong Polytechnic University, Hong Kong, China; Department of Health Technology and Informatics, Hong Kong Polytechnic University, Hong Kong, China",IEEE Transactions on Biomedical Engineering,"15 Feb 2008","2008","55","3","1191","1198","The aim of this study is to demonstrate the feasibility of using the continuous signals about the thickness and pennation angle changes of muscles detected in real-time from ultrasound images, named as sonomyography (SMG), to characterize muscles under isometric contraction, along with synchronized surface electromyography (EMG) and generated torque signals. The right biceps brachii muscles of seven normal young adult subjects were tested. We observed that exponential functions could well represent the relationships between the normalized EMG root-mean-square (RMS) and the torque, the RMS and the muscle deformation SMG, and the RMS and the pennation angle SMG for the data of the contraction phase, with exponent coefficients of (), , and , respectively. In addition, the preliminary results also demonstrated linear relationships between the normalized torque and the muscle deformation as well as the pennation angle with the ratios of and , respectively. The overall mean for the regressions was approximately 0.9 and the overall mean relative root mean square error (RRMSE) smaller than 15%. The potential values of SMG together with EMG to provide a more comprehensive assessment for the muscle functions should be further investigated with more subjects and more muscle groups.","1558-2531","","10.1109/TBME.2007.909538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4360148","Electromyography;EMG;muscle;pennation angle;SMG;sonomyography;ultrasound;electromyography;EMG;sonomyography;SMG;ultrasound;pennation angle;muscle","Muscles;Monitoring;Electromyography;Torque;Ultrasonic imaging;Biomedical informatics;Ultrasonography;Character generation;Signal generators;In vivo","Adult;Algorithms;Diagnosis, Computer-Assisted;Elbow Joint;Electromyography;Feasibility Studies;Humans;Image Interpretation, Computer-Assisted;Isometric Contraction;Male;Monitoring, Physiologic;Muscle, Skeletal;Muscle, Skeletal;Muscle, Skeletal;Reproducibility of Results;Sensitivity and Specificity;Torque;Ultrasonography","116","","32","IEEE","15 Feb 2008","March 2008","","IEEE","IEEE Journals"
"Optimized Wavelets for Blind Separation of Nonstationary Surface Myoelectric Signals","D. Farina; M. -F. Lucas; C. Doncarli","Center for Sensory-Motor Interaction (SMI), Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark; IRCCyN, École Centrale de Nantes, Nantes, France; IRCCyN, École Centrale de Nantes, Nantes, France",IEEE Transactions on Biomedical Engineering,"17 Dec 2007","2008","55","1","78","86","Surface electromyography (EMG) signals detected over the skin surface may be mixtures of signals generated by many active muscles due to poor spatial selectivity of the recording. In this paper, we propose a new method for blind source separation (BSS) of nonstationary signals modeled as linear instantaneous mixtures. The method is based on whitening of the observations and rotation of the whitened observations. The rotation is performed by joint diagonalization of a set of spatial wavelet distributions (SWDs). The SWDs depend on the selection of the mother wavelet which can be defined by unconstrained parameters via the lattice parameterization within the multiresolution analysis framework. As the sources are classically supposed to be mutually uncorrelated, the design parameters of the mother wavelet can be blindly optimized by minimizing the average (over time lags) cross correlation between the estimated sources. The method was tested on simulated and experimental surface EMG signals and results were compared with those obtained with spatial time-frequency distributions and with second-order statistics (only spectral information). On a set of simulated signals, for 10-dB signal-to-noise ratio (SNR), the cross-correlation coefficient between original and estimated sources was 0.92plusmn0.07 with wavelet optimization, 0.74plusmn0.09 with the wavelet leading to the poorest performance, 0.85plusmn0.07 with Wigner-Ville distribution, 0.86plusmn0.07 with Choi-Williams distribution, and 0.73plusmn0.05 with second-order statistics. In experimental conditions, when the flexor carpi radialis and pronator teres were concomitantly active for 50% of the time, crosstalk was 55.2plusmn10.0% before BSS and was reduced to 15.2plusmn6.3% with wavelet optimization, 30.1plusmn15.0% with the worst wavelet, 28.3plusmn12.3% with Wigner-Ville distribution, 26.2plusmn12.0% with Choi-Williams distribution, and 35.1plusmn15.5% with second-order statistics. In conclusion, the proposed approach resulted in better performance than previous methods for the separation of nonstationary myoelectric signals.","1558-2531","","10.1109/TBME.2007.897844","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4360039","Blind source separation (BSS);optimization;surface electromyography (EMG);wavelet design;Blind source separation;surface electromyography;wavelet design;optimization","Surface waves;Electromyography;Statistical distributions;Source separation;Signal detection;Skin;Signal generators;Muscles;Blind source separation;Wavelet analysis","Action Potentials;Algorithms;Computer Simulation;Electromyography;Humans;Models, Neurological;Muscle Contraction;Muscle, Skeletal;Pattern Recognition, Automated;Signal Processing, Computer-Assisted;Stochastic Processes","34","","25","IEEE","17 Dec 2007","Jan. 2008","","IEEE","IEEE Journals"
"Ambulation After Incomplete Spinal Cord Injury With EMG-Triggered Functional Electrical Stimulation","A. Dutta; R. Kobetic; R. J. Triolo","Cleveland Veterans Affairs Medical Center and Cleveland FES Center, Cleveland, OH, USA; Cleveland Veterans Affairs Medical Center and Cleveland FES Center, Cleveland, OH, USA; Department of Biomedical Engineering, Case Western Reserve University, Cleveland, OH, USA",IEEE Transactions on Biomedical Engineering,"16 Jan 2008","2008","55","2","791","794","Individuals with incomplete spinal cord injury (iSCI) retain some control of the partially paralyzed muscles, necessitating careful integration of functional electrical stimulation (FES) with intact motor function. In this communication, the volitional surface electromyogram (sEMG) from partially paralyzed muscle was used to detect the intent to step in an iSCI volunteer. The classifier was able to trigger the FES-assisted swing phase with a false positive rate less than 1% and true positive rate of 82% for left foot-off (FO) and 83% for right FO over 110 steps taken during three testing sessions spread over a week.","1558-2531","","10.1109/TBME.2007.902225","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4432731","Functional electrical stimulation (FES);spinal cord injury (SCI);electromyogram (EMG);gait event detector","Spinal cord injury;Neuromuscular stimulation;Muscles;Electromyography;Testing;Electrical stimulation;Event detection;Force sensors;Legged locomotion;Biomedical engineering","Electric Stimulation Therapy;Electromyography;Gait Disorders, Neurologic;Gait Disorders, Neurologic;Humans;Spinal Cord Injuries;Spinal Cord Injuries;Therapy, Computer-Assisted;Treatment Outcome","37","","11","IEEE","16 Jan 2008","Feb. 2008","","IEEE","IEEE Journals"
"Entropy-Based Optimization of Wavelet Spatial Filters","D. Farina; E. N. Kamavuako; J. Wu; F. Naddeo","Center for Sensory-Motor Interaction (SMI), Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark; Center for Sensory-Motor Interaction (SMI), Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark; Center for Sensory-Motor Interaction (SMI), Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark; Center for Sensory-Motor Interaction (SMI), Department of Health Science and Technology, University of Aalborg, Aalborg, Denmark",IEEE Transactions on Biomedical Engineering,"15 Feb 2008","2008","55","3","914","922","A new class of spatial filters for surface electromyographic (EMG) signal detection is proposed. These filters are based on the 2-D spatial wavelet decomposition of the surface EMG recorded with a grid of electrodes and inverse transformation after zeroing a subset of the transformation coefficients. The filter transfer function depends on the selected mother wavelet in the two spatial directions. Wavelet parameterization is proposed with the aim of signal-based optimization of the transfer function of the spatial filter. The optimization criterion was the minimization of the entropy of the time samples of the output signal. The optimized spatial filter is linear and space invariant. In simulated and experimental recordings, the optimized wavelet filter showed increased selectivity with respect to previously proposed filters. For example, in simulation, the ratio between the peak-to-peak amplitude of action potentials generated by motor units 20deg apart in the transversal direction was 8.58% (with monopolar recording), 2.47% (double differential), 2.59% (normal double differential), and 0.47% (optimized wavelet filter). In experimental recordings, the duration of the detected action potentials decreased from (mean plusmn SD) 6.9 plusmn 0.3 ms (monopolar recording), to 4.5 plusmn 0.2 ms (normal double differential), 3.7 plusmn 0.2 ms (double differential), and 3.0 plusmn 0.1 ms (optimized wavelet filter). In conclusion, the new class of spatial filters with the proposed signal-based optimization of the transfer function allows better discrimination of individual motor unit activities in surface EMG recordings than it was previously possible.","1558-2531","","10.1109/TBME.2007.906509","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4360131","Motor unit;selectivity;spatial filtering;surface electromyography (EMG);wavelet design;spatial filtering;wavelet design;motor unit;selectivity;surface EMG","Spatial filters;Electromyography;Finite impulse response filter;Filtering;Surface waves;Transfer functions;Transversal filters;Muscles;Interference;Sampling methods","Action Potentials;Adult;Algorithms;Electromyography;Entropy;Female;Humans;Male;Muscle Contraction;Muscle, Skeletal;Signal Processing, Computer-Assisted","8","","26","IEEE","15 Feb 2008","March 2008","","IEEE","IEEE Journals"
"A Windowed Eigenspectrum Method for Multivariate sEMG Classification During Reaching Movements","J. Chiang; Z. J. Wang; M. J. McKeown","Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada; Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada; Pacific Parkinsons Research Centre, University of British Columbia, Vancouver, BC, Canada",IEEE Signal Processing Letters,"25 Feb 2008","2008","15","","293","296","In this letter, we propose an eigenspectra-based feature extraction technique for classification of multivariate surface electromyographic (sEMG) recordings. The proposed method exploits the maximum eigenvalue vectors of the time-varying covariance patterns between sEMG channels. Together with a support vector machine (SVM) classifier, the proposed feature extraction technique is shown to be more reliable and robust, and it enhances classification between stroke and normal subjects, compared to the conventional univariate analysis methods that examine each muscle individually. In addition, analysis results show that the spatial whitening operation enhances the discriminability of eigenspectral features. This simple, easily-implemented, biologically-inspired approach is able to succinctly capture the subtle differences in muscle recruitment patterns between healthy and disease states. It appears to be a promising means to monitor motor performance in disease subjects.","1558-2361","","10.1109/LSP.2008.917801","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4456719","Classification;eigenvalues;multivariate analysis;stroke;support vector machine (SVM);surface electromyography (sEMG)","Muscles;Support vector machines;Support vector machine classification;Feature extraction;Diseases;Eigenvalues and eigenfunctions;Robustness;Monitoring;Electrodes;Recruitment","","3","","12","IEEE","25 Feb 2008","2008","","IEEE","IEEE Journals"
