"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Novel Validation Approach for High-Density Surface EMG Decomposition in Motor Neuron Disease","M. Chen; X. Zhang; P. Zhou","Biomedical Engineering Program, University of Science and Technology of China, Hefei, China; Biomedical Engineering Program, University of Science and Technology of China, Hefei, China; TIRR Memorial Hermann Research Center, Houston, TX, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"6 Jun 2018","2018","26","6","1161","1168","This paper presents a novel two-source approach for validating the performance of high-density surface electromyogram (EMG) decomposition. The approach was developed taking advantage of surface EMG characteristics of amyotrophic lateral sclerosis (ALS). High-density surface EMG data from ALS patients can be divided to the sparse data set and the interference data set, with the former decomposed by expert visual inspection while the latter independently decomposed by the surface EMG decomposition algorithm. The agreement of the decomposition yields from the two data sets can be quantified for evaluating the surface EMG decomposition performance. The novel validation approach was performed for a recently developed method called automatic progressive FastICA peel-off (APFP) for high-density surface EMG decomposition. The APFP framework was used to automatically decompose high-density surface EMG signals recorded from the first dorsal interosseous muscle of ALS subjects. The common motor units independently decomposed from the interference data set and the sparse data set demonstrated an average matching rate of 99.18% ± 1.11%. The characteristics of the ALS surface EMG also facilitate a step by step illustration of the APFP framework for high-density surface EMG decomposition. The novel approach presented in this paper can supplement conventional two-source validation for accuracy assessment of decomposed motor units from experimental signals, which is essential for development of surface EMG decomposition methods.","1558-0210","","10.1109/TNSRE.2018.2836859","Visiting Student Program of China Scholarship Council; National Natural Science Foundation of China(grant numbers:61771444); Guangzhou Science and Technology Programme(grant numbers:201704030039); National Institutes of Health of the U.S. Department of Health and Human Services(grant numbers:R21 NS093727); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359357","Two-source validation;high density surface EMG;automatic decomposition;amyotrophic lateral sclerosis;progressive FastICA peel-off","Electromyography;Muscles;Surface morphology;Electrodes;Surface discharges;Interference;Surface treatment","Algorithms;Amyotrophic Lateral Sclerosis;Electromyography;Humans;Motor Neuron Disease;Motor Neurons;Muscle Fibers, Skeletal;Reproducibility of Results","40","","37","IEEE","15 May 2018","June 2018","","IEEE","IEEE Journals"
"Adaptive Hybrid Classifier for Myoelectric Pattern Recognition Against the Interferences of Outlier Motion, Muscle Fatigue, and Electrode Doffing","Q. Ding; X. Zhao; J. Han; C. Bu; C. Wu","Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; College of Artificial Intelligence, Nankai University, Tianjin, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; Faculty of Robot Science and Engineering, Northeastern University, Shenyang, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"8 May 2019","2019","27","5","1071","1080","Traditional myoelectric prostheses that employ a static pattern recognition model to identify human movement intention from surface electromyography (sEMG) signals hardly adapt to the changes in the sEMG characteristics caused by interferences from daily activities, which hinders the clinical applications of such prostheses. In this paper, we focus on methods to reduce or eliminate the impacts of three types of daily interferences on myoelectric pattern recognition (MPR), i.e., outlier motion, muscle fatigue, and electrode doffing/donning. We constructed an adaptive incremental hybrid classifier (AIHC) by combining one-class support vector data description and multiclass linear discriminant analysis in conjunction with two specific update schemes. We developed an AIHC-based MPR strategy to improve the robustness of MPR against the three interferences. Extensive experiments on hand-motion recognition were conducted to demonstrate the performance of the proposed method. Experimental results show that the AIHC has significant advantages over non-adaptive classifiers under various interferences, with improvements in the classification accuracy ranging from 7.1% to 39% (p <; 0.01). The additional evaluations on data deviations demonstrate that the AIHC can accommodate large-scale changes in the sEMG characteristics, revealing the potential of the AIHC-based MPR strategy in the development of clinical myoelectric prostheses.","1558-0210","","10.1109/TNSRE.2019.2911316","Fundamental Research Funds for the Central Universities(grant numbers:N182608004); National Natural Science Foundation of China(grant numbers:61503374,1573340,U1813214); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8692622","Surface electromyography (sEMG);myoelectric prosthesis;adaptive classifier;online update","Electrodes;Muscles;Fatigue;Training;Pattern recognition;Electromyography;Robustness","Adult;Algorithms;Artifacts;Electrodes;Electromyography;Female;Hand;Humans;Male;Motion;Muscle Fatigue;Pattern Recognition, Automated;Prosthesis Design;Reproducibility of Results;Support Vector Machine;Young Adult","72","","31","IEEE","16 Apr 2019","May 2019","","IEEE","IEEE Journals"
"High-Density Surface EMG Denoising Using Independent Vector Analysis","K. Wang; X. Chen; L. Wu; X. Zhang; X. Chen; Z. J. Wang","Hefei National Laboratory for Physical Sciences at the Microscale, University of Science and Technology of China, Hefei, China; Hefei National Laboratory for Physical Sciences at the Microscale, University of Science and Technology of China, Hefei, China; Department of Electronic Science and Technology, University of Science and Technology of China, Hefei, China; Department of Electronic Science and Technology, University of Science and Technology of China, Hefei, China; Department of Electronic Science and Technology, University of Science and Technology of China, Hefei, China; Department of Electrical and Computer Engineering, The University of British Columbia, Vancouver, Canada",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"5 Jun 2020","2020","28","6","1271","1281","High-density surface electromyography (HD-sEMG) can provide rich temporal and spatial information about muscle activation. However, HD-sEMG signals are often contaminated by power line interference (PLI) and white Gaussian noise (WGN). In the literature, independent component analysis (ICA) and canonical correlation analysis (CCA), as two popular used blind source separation techniques, are widely used for noise removal from HD-sEMG signals. In this paper, a novel method to remove PLI and WGN was proposed based on independent vector analysis (IVA). Taking advantage of both ICA and CCA, this method exploits the higher order and second-order statistical information simultaneously. Our proposed method was applied to both simulated and experimental EMG data for performance evaluation, which was at least 37.50% better than ICA and CCA methods in terms of relative root mean squared error and 28.84% better than ICA and CCA methods according to signal to noise ratio. The results demonstrated that our proposed method performed significantly better than either ICA or CCA. Specifically, the mean signal to noise ratio increased considerably. Our proposed method is a promising tool for denoising HD-sEMG signals while leading to a minimal distortion.","1558-0210","","10.1109/TNSRE.2020.2987709","National Key R&D Program of China(grant numbers:2018YFB1005001); National Natural Science Foundation of China(grant numbers:61922075); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9064821","High-density surface electromyography (HD-sEMG);independent vector analysis (IVA);power line interference;white Gaussian noise","Electromyography;Signal to noise ratio;Muscles;Noise reduction;Electrodes;Correlation;Force","Algorithms;Electromyography;Humans;Muscle, Skeletal;Normal Distribution;Signal Processing, Computer-Assisted;Signal-To-Noise Ratio","27","","33","IEEE","13 Apr 2020","June 2020","","IEEE","IEEE Journals"
"Feature Analysis for Classification of Physical Actions Using Surface EMG Data","A. C. Turlapaty; B. Gokaraju","Indian Institute of Information Technology Sri City, Sri City, India; Visualization and Computing Advanced Research Center, North Carolina A&T State University, Greensboro, USA",IEEE Sensors Journal,"4 Dec 2019","2019","19","24","12196","12204","Based on recent health statistics, there are several thousand people with limb disability and gait disorders that require medical assistance. A robot assisted rehabilitation therapy can help them recover and return to a normal life. In this scenario, a successful methodology is to use an EMG signal based information to control the support robotics. For this mechanism to function properly, the EMG signal from the muscles has to be sensed and then the biological motor intention has to be decoded and finally the resulting information has to be communicated to the controller of the robot. An accurate understanding of the motor intention requires a pattern recognition based framework. Hence in this paper, we propose an improved classification framework through identification of the relevant features that drive the pattern recognition algorithm. Major contributions include a set of modified spectral moment based features and another relevant inter-channel correlation feature that contribute to an improved classification performance. Next, we conducted a sensitivity analysis of the classification algorithm to different EMG channels. Finally, the classifier accuracy with probabilistic neural networks based classifier is 92.7% and with an ensemble of subspace K-nearest neighbors algorithm it is 93.9% and is better than that of the other state of the art algorithms.","1558-1748","","10.1109/JSEN.2019.2937979","U.S. Department of Education-Minority Science and Engineering Program’s (MSEIP) Capacity Competitiveness Enhancement Model (CCEM)(grant numbers:2018-2019,P120A160122); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8817944","PNN;feature combinations;classification;EMG;spectral moments","Electromyography;Feature extraction;Muscles;Exoskeletons;Robots;Pattern recognition;Force","","37","","36","IEEE","28 Aug 2019","15 Dec.15, 2019","","IEEE","IEEE Journals"
"Myoelectric Interfaces and Related Applications: Current State of EMG Signal Processing–A Systematic Review","B. Rodríguez-Tapia; I. Soto; D. M. Martínez; N. C. Arballo","Facultad de Ciencias de la Ingeniería y Tecnología, Universidad Autónoma de Baja California, Tijuana, Mexico; Instituto de Ingeniería y Tecnología, Universidad Autónoma de Ciudad Juárez, Ciudad Juárez, Mexico; Facultad de Ciencias de la Ingeniería y Tecnología, Universidad Autónoma de Baja California, Tijuana, Mexico; Facultad de Ciencias de la Ingeniería y Tecnología, Universidad Autónoma de Baja California, Tijuana, Mexico",IEEE Access,"15 Jan 2020","2020","8","","7792","7805","The myoelectric interfaces are being used in rehabilitation technology, assistance and as an input device. This review focuses on an insightful analysis of the data acquisition system of EMG signals from these interfaces. According to applications reported in research articles of the last five years, the properties of the sensors, the number of channels, the pre-processing of the EMG signal, as well as the software and hardware used were identified. This analysis was performed for the following applications: monitoring of muscular activation for rehabilitation, muscle activation plans, and identification of possible pathologies, exoskeletons, electric of wheelchairs, prosthetics control, myoelectric bracelets, handwriting recognition and silent speech recognition. The results presented in this review become a guide of recommendations for the myoelectric signal processing according to the application of the interface. The main developments, degrees of research and open challenges are also presented in this direction.","2169-3536","","10.1109/ACCESS.2019.2963881","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8949764","Emg acquisition system;emg processing;electromyography sensors;myoelectric control;myoelectric signals","Electromyography;Muscles;Sensors;Electrodes;Signal processing;Data acquisition;Monitoring","","108","","74","CCBY","3 Jan 2020","2020","","IEEE","IEEE Journals"
"Feature-Based Evaluation of a Wearable Surface EMG Sensor Against Laboratory Standard EMG During Force-Varying and Fatiguing Contractions","E. P. Doheny; C. Goulding; M. W. Flood; L. Mcmanus; M. M. Lowery","Department of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; Department of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; Department of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; Department of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; Department of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland",IEEE Sensors Journal,"6 Feb 2020","2020","20","5","2757","2765","Recent advances in wearable sensors enable recording of electromyography (EMG) outside the laboratory for extended periods of time. However, the properties of wearable EMG systems designed for long-term recording may differ from those of laboratory-standard systems, potentially impacting data. This study evaluated EMG features derived from signals recorded using a wearable system (BioStampRC, MC10 Inc.) against a reference laboratory system (Bagnoli, Delsys Inc.). Surface EMG data from the biceps brachii were recorded simultaneously using both systems during isometric elbow flexion, between 10% and 80% of maximum voluntary contraction (MVC), and during sustained submaximal fatiguing contraction, in twelve subjects. Linear and nonlinear EMG temporal and spectral features were then compared across both systems. No effect of recording system was detected on EMG onset/offset times, or on the relationship between force and EMG root mean squared amplitude. However, the relationships between force and median frequency, percentage determinism and multiscale entropy differed between systems. Baseline noise was also greater for the BioStampRC. Lower median frequencies were observed for the wearable system, likely due to the larger interelectrode distance, however, the relative change in EMG amplitude and median frequency during the fatiguing contraction was similar for both. Percentage determinism increased and multiscale entropy decreased during the fatiguing contraction for both systems, with higher and lower values respectively for the wearable system. Results indicate that the BiostampRC is appropriate for EMG onset/offset and amplitude estimation. However, caution is advised when comparing across systems as spectral and nonlinear features may differ due to electrode design differences.","1558-1748","","10.1109/JSEN.2019.2953354","Science Foundation Ireland(grant numbers:SFI/RC/2289); European Research Council(grant numbers:ERC-2014-CoG-646923); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8897580","EMG validation;wearable sensors;median frequency;determinism;multiscale entropy","Electromyography;Wearable sensors;Electrodes;Muscles;Force;Bioinformatics","","31","","52","IEEE","13 Nov 2019","1 March1, 2020","","IEEE","IEEE Journals"
"Adaptive Spatial Filtering of High-Density EMG for Reducing the Influence of Noise and Artefacts in Myoelectric Control","M. Stachaczyk; S. F. Atashzar; D. Farina","Department of Bioengineering, Imperial College London, London, U.K; Department of Electrical and Computer Engineering, Department of Mechanical and Aerospace Engineering, NYU WIRELESS Center, Tandon School of Engineering, New York University, New York City, USA; Department of Bioengineering, Imperial College London, London, U.K",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"7 Jul 2020","2020","28","7","1511","1517","Electromyography (EMG) is a source of neural information for controlling neuroprosthetic devices. To enhance the information content of conventional bipolar EMG, high-density EMG systems include tens to hundreds of closely spaced electrodes that non-invasively record the electrical activity of muscles with high spatial resolution. Despite the advantages of relying on multiple signal sources, however, variations in electrode-skin contact impedance and noise remain challenging for multichannel myocontrol systems. These spatial and temporal non-stationarities negatively impact the control accuracy and therefore substantially limit the clinical viability of high-density EMG techniques. Here, we propose an adaptive algorithm for automatic artefact/noise detection and attenuation for high-density EMG control. The method infers the presence of noise in each EMG channel by spectro-temporal measures of signal similarity. These measures are then used for establishing a scoring system based on an adaptive weighting and reinforcement formulation. The method was experimentally tested as a pre-processing step for a multi-class discrimination problem of 4-digit activation. The approach was proven to enhance the discriminative information content of high-density EMG signals, as well as to attenuate non-stationary artefacts, with improvements in accuracy and robustness of the classification.","1558-0210","","10.1109/TNSRE.2020.2986099","European Research Council Synergy project Natural BionicS(grant numbers:810346); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9093072","Artefact detection;electromyography;multichannel adaptation;noise attenuation;LDA","Electromyography;Electrodes;Muscles;Filtering;Attenuation;Frequency measurement;Fingers","Algorithms;Artifacts;Electric Impedance;Electrodes;Electromyography;Humans;Signal Processing, Computer-Assisted","40","","45","IEEE","13 May 2020","July 2020","","IEEE","IEEE Journals"
"Homomorphic Deconvolution for MUAP Estimation From Surface EMG Signals","G. Biagetti; P. Crippa; S. Orcioni; C. Turchetti","Dipartimento di Ingegneria dell’Informazione, Università Politecnica delle Marche, Ancona, Italy; Dipartimento di Ingegneria dell’Informazione, Università Politecnica delle Marche, Ancona, Italy; Dipartimento di Ingegneria dell’Informazione, Università Politecnica delle Marche, Ancona, Italy; Dipartimento di Ingegneria dell’Informazione, Università Politecnica delle Marche, Ancona, Italy",IEEE Journal of Biomedical and Health Informatics,"3 Mar 2017","2017","21","2","328","338","This paper presents a technique for parametric model estimation of the motor unit action potential (MUAP) from the surface electromyography (sEMG) signal by using homomorphic deconvolution. The cepstrum-based deconvolution removes the effect of the stochastic impulse train, which originates the sEMG signal, from the power spectrum of sEMG signal itself. In this way, only information on MUAP shape and amplitude were maintained, and then, used to estimate the parameters of a time-domain model of the MUAP itself. In order to validate the effectiveness of this technique, sEMG signals recorded during several biceps curl exercises have been used for MUAP amplitude and time scale estimation. The parameters so extracted as functions of time were used to evaluate muscle fatigue showing a good agreement with previously published results.","2168-2208","","10.1109/JBHI.2016.2530943","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7409930","Cepstrum analysis;EMG;sEMG;MUAP;homomorphic deconvolution;muscle fatigue;surface electromiography","Electromyography;Cepstrum;Muscles;Deconvolution;Shape;Informatics;Estimation","Adult;Algorithms;Electromyography;Humans;Male;Middle Aged;Muscle Fatigue;Muscle, Skeletal;Reproducibility of Results;Signal Processing, Computer-Assisted","37","","27","IEEE","18 Feb 2016","March 2017","","IEEE","IEEE Journals"
"Knit Band Sensor for Myoelectric Control of Surface EMG-Based Prosthetic Hand","S. Lee; M. -O. Kim; T. Kang; J. Park; Y. Choi","Department of Electrical and Electronic Engineering, Hanyang University, Ansan, South Korea; School of Fashion Design, University of Cincinnati, Cincinnati, OH, USA; Research and Development Center, Korea Telecom, Seoul, South Korea; Department of Electrical and Electronic Engineering, Hanyang University, Ansan, South Korea; Department of Electrical and Electronic Engineering, Hanyang University, Ansan, South Korea",IEEE Sensors Journal,"26 Sep 2018","2018","18","20","8578","8586","Surface electromyography (sEMG) sensor is widely used to operate a myoelectric prosthesis and it has been further developed for various applications. In this paper, a multi-channel sEMG knit band sensor is newly suggested to be worn easily by amputee for myoelectric prosthesis. The band sensor was fabricated by knitting the silver-plated conductive yarn for electrodes with the moisture-wicking technical yarn for the comfort, ultimately, to record eight-channel sEMG signals simultaneously. Several experiments were conducted to verify the performance of knit band sensor. The normalized correlation between the developed knitted electrodes and the disposable (Ag/AgCl) electrodes is very high (0.95) at the same muscular area. The average signal-to-noise ratio value of the knitted electrodes (17.91 dB) was higher than that of the disposable electrodes (13.30 dB). For the performances of motion classification, overall classification accuracy of the knitted electrodes (93.2%) was higher than that of the disposable (87.9%). These experimental results have supported that the developed knit band sensor was as effective as the disposable electrodes.","1558-1748","","10.1109/JSEN.2018.2865623","National Research Foundation of Korea; National Research Foundation of Korea(grant numbers:NRF-2015M3C1B2052811); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8438528","Conductive knit electrodes;myoelectric control;wearable sensor;motion recognition;sEMG","Sensors;Electrodes;Fabrics;Prosthetics;Yarn;Skin;Metals","","74","","35","IEEE","16 Aug 2018","15 Oct.15, 2018","","IEEE","IEEE Journals"
"Study on Interaction Between Temporal and Spatial Information in Classification of EMG Signals for Myoelectric Prostheses","R. Menon; G. Di Caterina; H. Lakany; L. Petropoulakis; B. A. Conway; J. J. Soraghan","Centre for Signal and Image Processing, University of Strathclyde, Glasgow, U.K.; Centre for Signal and Image Processing, University of Strathclyde, Glasgow, U.K.; Department of Biomedical Engineering, University of Strathclyde, Glasgow, U.K.; Centre for Signal and Image Processing, University of Strathclyde, Glasgow, U.K.; Department of Biomedical Engineering, University of Strathclyde, Glasgow, U.K.; Centre for Signal and Image Processing, University of Strathclyde, Glasgow, U.K.",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"24 Oct 2017","2017","25","10","1832","1842","Advanced forearm prosthetic devices employ classifiers to recognize different electromyography (EMG) signal patterns, in order to identify the user's intended motion gesture. The classification accuracy is one of the main determinants of real-time controllability of a prosthetic limb and hence the necessity to achieve as high an accuracy as possible. In this paper, we study the effects of the temporal and spatial information provided to the classifier on its off-line performance and analyze their inter-dependencies. EMG data associated with seven practical hand gestures were recorded from partial-hand and trans-radial amputee volunteers as well as able-bodied volunteers. An extensive investigation was conducted to study the effect of analysis window length, window overlap, and the number of electrode channels on the classification accuracy as well as their interactions. Our main discoveries are that the effect of analysis window length on classification accuracy is practically independent of the number of electrodes for all participant groups; window overlap has no direct influence on classifier performance, irrespective of the window length, number of channels, or limb condition; the type of limb deficiency and the existing channel count influence the reduction in classification error achieved by adding more number of channels; partial-hand amputees outperform trans-radial amputees, with classification accuracies of only 11.3% below values achieved by able-bodied volunteers.","1558-0210","","10.1109/TNSRE.2017.2687761","Innovate UK; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7904664","Classification accuracy;myoelectric control;pattern recognition;prosthetics;surface electromyography","Electromyography;Electrodes;Muscles;Prosthetics;Feature extraction;Thumb","Adolescent;Adult;Aged;Algorithms;Amputees;Artificial Limbs;Electrodes;Electromyography;Extremities;Female;Forearm;Gestures;Hand;Humans;Male;Middle Aged;Movement;Prosthesis Design;Reproducibility of Results;Signal Processing, Computer-Assisted","85","","27","IEEE","19 Apr 2017","Oct. 2017","","IEEE","IEEE Journals"
