"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Concentric-ring electrode systems for noninvasive detection of single motor unit activity","D. Farina; C. Cescon","Department of Electronics, Politecnico di Torino, Torino, Italy; Department of Electronics, Politecnico di Torino, Torino, Italy",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2001","48","11","1326","1334","New recording techniques for detecting surface electromyographic (EMG) signals based on concentric-ring electrodes are proposed in this paper. A theoretical study of the two-dimensional (2-D) spatial transfer function of these recording systems is developed both in case of rings with a physical dimension and in case of line rings. Design criteria for the proposed systems are presented in relation to spatial selectivity. It is shown that, given the radii of the rings, the weights of the spatial filter can be selected in order to improve the rejection of low spatial frequencies, thus increasing spatial selectivity. The theoretical transfer functions of concentric systems are obtained and compared with those of other detection systems. Signals detected with the ring electrodes and with traditional one-dimensional and 2-D systems are compared. The concentric-ring systems show higher spatial selectivity with respect to the traditional detection systems and reduce the problem of electrode location since they are invariant to rotations. The results shown are very promising for the noninvasive detection of single motor unit (MU) activities and decomposition of the surface EMG signal into the constituent MU action potential trains.","1558-2531","","10.1109/10.959328","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=959328","","Electrodes;Electromyography;Muscles;Spatial filters;Two dimensional displays;Transfer functions;Disk recording;Filtering;Frequency;Signal detection","Action Potentials;Biomedical Engineering;Computer Simulation;Electrodes;Electromyography;Electromyography;Electrophysiology;Humans;Models, Neurological;Motor Neurons;Neuromuscular Diseases","84","6","41","IEEE","7 Aug 2002","Nov. 2001","","IEEE","IEEE Journals"
"An ultralight biotelemetry backpack for recording EMG signals in moths","P. Mohseni; K. Nagarajan; B. Ziaie; K. Najafi; S. B. Crary","Department of Electrical Engineering and Computer Science, Center for Integrated MicroSystems, University of Michigan Ann Arbor, Ann Arbor, MI, USA; University of Michigan Ann Arbor, Ann Arbor, MI, USA; Department of Electrical and Computer Engineering, University of Minnesota, Minneapolis, MN, USA; Department of Electrical Engineering and Computer Science, Center for Integrated MicroSystems, University of Michigan Ann Arbor, Ann Arbor, MI, USA; Department of Electrical Engineering and Computer Science, Center for Integrated MicroSystems, University of Michigan Ann Arbor, Ann Arbor, MI, USA",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2001","48","6","734","737","A two-channel FM biopotential recording system fabricated on a foldable, lightweight, polyimide substrate is presented. Each channel consists of a biopotential amplifier followed by a Colpitts oscillator with operating frequency tunable in the 88-108 MHz commercial FM band. The overall system measures 10 mm/spl times/10 mm/spl times/3 mm, weighs 0.74 g, uses two 1.5-V batteries, dissipates about 2 mW, and has a transmission range of 2 m. Using this system, electromyogram signals have been recorded from the dorsal ventral muscle and the dorsal longitudinal muscle of a giant sphinx moth (Manduca sexta).","1558-2531","","10.1109/10.923792","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=923792","","Biomedical telemetry;Electromyography;Muscles;Frequency;Insects;Robots;Circuits;Batteries;Monitoring;Wireless communication","Animals;Electromyography;Equipment Design;Miniaturization;Moths;Resins, Synthetic;Telemetry","28","1","10","IEEE","7 Aug 2002","June 2001","","IEEE","IEEE Journals"
"Reciprocal EMG control of elbow extension by FES","J. P. Giuffrida; P. E. Crago","Center of Excellence in Functional Electrical Stimulation, Cleveland Veterans Affairs Medical Center, Cleveland, OH, USA; Center of Excellence in Functional Electrical Stimulation, Cleveland Veterans Affairs Medical Center, Cleveland, OH, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"7 Aug 2002","2001","9","4","338","345","Elbow extension is critical in performing activities of daily living. Individuals with a C5-C6 spinal cord injury have paralyzed elbow extensors, yet retain weak to strong voluntary control of elbow flexion. Previous studies have shown that functional electrical stimulation (FES) of the triceps provides sufficient elbow extension strength and control to greatly improve function. With triceps stimulation applied at a constant level, elbow angle is controlled naturally by voluntary flexion opposing the stimulated extension-referred to as voluntary antagonist control. We have investigated an alternative reciprocal control scheme employing biceps electromyogram. (EMG) to modulate triceps stimulation. With reciprocal control, increasing biceps EMG proportionally reduces triceps stimulation. A personal computer (PC)-based lab system was designed to test the feasibility of reciprocal control. Reciprocal control increased the range of elbow moments, was stable during maintained elbow angle or isometric moment, and used less stimulation. Reciprocal control of triceps stimulation using biceps EMG is an effective method for restoring elbow extension to C5-C6 spinal cord injury patients, and could be extended to other situations where a voluntarily controlled muscle can be opposed by stimulating an antagonist.","1558-0210","","10.1109/7333.1000113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1000113","","Electromyography;Elbow;Muscles;Spinal cord injury;Neuromuscular stimulation;Mechanical sensors;Neural prosthesis;Biomedical engineering;Proportional control;Microcomputers","Activities of Daily Living;Adult;Elbow;Electric Stimulation Therapy;Electric Stimulation Therapy;Electromyography;Feasibility Studies;Feedback;Humans;Male;Middle Aged;Movement;Muscle Contraction;Quadriplegia;Quadriplegia;Range of Motion, Articular;Signal Processing, Computer-Assisted","31","","21","IEEE","7 Aug 2002","Dec. 2001","","IEEE","IEEE Journals"
"Finite element modeling of electromagnetic signal propagation in a phantom arm","T. A. Kuiken; N. S. Stoykov; M. Popovic; M. Lowery; A. Taflove","Rehabilitation Institute of Chicago, Departmentof Physical Medicine and Rehabilitation, Northwestern University Medical School, Chicago, IL, USA; Department of Physical Medicine and Rehabilitation, Northwestern University Medical School, Chicago, IL, USA; Department of Electrical and Computer Engineering, McGill University, Montreal, QUE, Canada; Department of Physical Medicine and Rehabilitation, Northwestern University Medical School, Chicago, IL, USA; Department of Electrical and Computer Engineering, North Western University, Evanston, IL, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"7 Aug 2002","2001","9","4","346","354","Improving the control of artificial arms remains a considerable challenge. It may be possible to graft remaining peripheral nerves in an amputated limb to spare muscles in or near the residual limb and use these nerve-muscle grafts as additional myoelectric control signals. This would allow simultaneous control of multiple degrees of freedom (DOF) and could greatly improve the control of artificial limbs. For this technique to be successful, the electromyography (EMG) signals from the nerve-muscle grafts would need to be independent of each other with minimal crosstalk. To study EMG signal propagation and quantify crosstalk, finite element (FE) models were developed in a phantom-arm model. The models were validated with experimental data collected by applying sinusoidal excitations to a phantom-arm model and recording the surface electric potential distribution. There was a very high correlation (r>0.99) between the FEM data and the experimental data, with the error in signal magnitude generally less than 5%. Simulations were then performed using muscle dielectric properties with static, complex, and full electromagnetic solvers. The results indicate that significant displacement currents can develop (>50% of total current) and that the fall-off of surface signal power varies with how the signal source is modeled.","1558-0210","","10.1109/7333.1000114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1000114","","Finite element methods;Electromagnetic modeling;Electromagnetic propagation;Imaging phantoms;Electromyography;Muscles;Crosstalk;Arm;Artificial limbs;Electric potential","Arm;Artificial Limbs;Body Surface Potential Mapping;Computer Simulation;Electric Conductivity;Electromagnetic Fields;Electromyography;Finite Element Analysis;Humans;Models, Biological;Muscle, Skeletal;Neuromuscular Junction;Reproducibility of Results","22","10","34","IEEE","7 Aug 2002","Dec. 2001","","IEEE","IEEE Journals"
"Time-frequency parameters of the surface myoelectric signal for assessing muscle fatigue during cyclic dynamic contractions","P. Bonato; S. H. Roy; M. Knaflitz; C. J. de Luca","Boston University, Boston, MA, USA; Boston University, Boston, MA, USA; Dipartimento di Elettronica, Politecnico di Turino, Torino, Italy; Boston University, Boston, MA, USA",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2001","48","7","745","753","The time-dependent shift in the spectral content of the surface myoelectric signal to lower frequencies has proven to be a useful tool for assessing localized muscle fatigue. Unfortunately, the technique has been restricted to constant-force, isometric contractions because of limitations in the processing methods used to obtain spectral estimates. A novel approach is proposed for calculating spectral parameters from the surface myoelectric signal during cyclic dynamic contractions. The procedure was developed using Cohen class time-frequency transforms to define the instantaneous median and mean frequency during cyclic dynamic contractions. Changes in muscle length, force, and electrode position contribute to the nonstationarity of the surface myoelectric signal. These factors, unrelated to localized fatigue, can be constrained and isolated for cyclic dynamic contractions, where they are assumed to be constant for identical phases of each cycle. Estimation errors for the instantaneous median and mean frequency are calculated from synthesized signals. It is shown that the instantaneous median frequency is affected by an error slightly lower than that related to the instantaneous mean frequency. In addition, the authors present a sample application to surface myoelectric signals recorded from the first dorsal interosseous muscle during repetitive abduction/adduction of the index finger against resistance. Results indicate that the variability of the instantaneous median frequency is related to the repeatability of the biomechanics of the exercise.","1558-2531","","10.1109/10.930899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=930899","","Time frequency analysis;Muscles;Fatigue;Surface resistance;Electrodes;Estimation error;Frequency estimation;Frequency synthesizers;Signal synthesis;Fingers","Electromyography;Exercise;Finger Joint;Humans;Models, Biological;Muscle Contraction;Range of Motion, Articular;Signal Processing, Computer-Assisted;Weight-Bearing","221","","40","IEEE","7 Aug 2002","July 2001","","IEEE","IEEE Journals"
"A model for the generation of synthetic intramuscular EMG signals to test decomposition algorithms","D. Farina; A. Crosetti; R. Merletti","Centro di Bioingegneria, Department of Electronics, Politecnico di Torino, Torino, Italy; Centro di Bioingegneria, Department of Electronics, Politecnico di Torino, Torino, Italy; Department of Electronics, Politecnico di Torino, Torino, Italy",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2001","48","1","66","77","As more and more intramuscular electromyogram (EMG) decomposition programs are being developed, there is a growing need for evaluating and comparing their performances. One way to achieve this goal is to generate synthetic EMG signals having known features. Features of interest are: the number of channels acquired (number of detection surfaces), the number of detected motor unit action potential (MUAP) trains, their time-varying firing rates, the degree of shape similarity among MUAPs belonging to the same motor unit (MU) or to different MUs, the degree of MUAP superposition, the MU activation intervals, the amount and type of additive noise. A model is proposed to generate one or more channels of intramuscular EMG starting from a library of real MUAPs represented in a 16-dimensional space using their Associated Hermite expansion. The MUAP shapes, regularity of repetition rate, degree of superposition, activation intervals, etc. may be time variable and are described quantitatively by a number of parameters which define a stochastic process (the model) with known statistical features. The desired amount of noise may be added to the synthetic signal which may then be processed by the decomposition algorithm under test to evaluate its capability of recovering the signal features.","1558-2531","","10.1109/10.900250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=900250","","Signal generators;Electromyography;Testing;Signal processing;Performance evaluation;Additive noise;Libraries;Active shape model;Stochastic processes;Noise shaping","Action Potentials;Algorithms;Electromyography;Models, Biological;Signal Processing, Computer-Assisted","59","","36","IEEE","7 Aug 2002","Jan. 2001","","IEEE","IEEE Journals"
"Analysis and comparison of reflex times and electromyogram of cervical muscles under impact loading using surface and fine-wire electrodes","A. Wittek; K. Ono; J. Kajzer; R. Ortengren; S. Inami","Crash Safety Research Division, Japan Automobile Research Institute, Tsukuba, Ibaraki, Japan; Crash Safety Research Division, Japan Automobile Research Institute, Tsukuba, Ibaraki, Japan; Kabimec Consulting, Stenungsund, Sweden; Department of Human Factors Engineering, Chalmers University of Technology, Gothenburg, Sweden; Department of Orthopaedic Surgery, Tsukuba University Hospital, Tsukuba, Ibaraki, Japan",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2001","48","2","143","153","Myoelectric signals [electromyograms (EMGs)] can be collected using either surface or fine-wire electrodes. Application of the latter results in higher-frequency contents of EMG. In the field of impact biomechanics, surface electrodes are more often utilized than fine-wire ones. However, the removal of motion artefacts from EMG recorded under transient loads requires application of high-pass filters with relatively high cutoff frequencies, which may eliminate a significant part of the surface EMG power spectra. Therefore, in the current study, both surface and fine-wire electrodes were utilized to record the EMG of cervical muscles under conditions simulating a rear-end car collision at low speed. The results indicated that application of high-pass filtering at 50 Hz can be necessary to remove motion artefacts from the EMG collected under such conditions. Such filtering resulted in a higher decrease in amplitude of the surface EMG than that of the fine-wire one. However, the reflex times obtained here were not significantly affected by the type of the electrodes utilized to collect EMG.","1558-2531","","10.1109/10.909635","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=909635","","Muscles;Electromyography;Electrodes;Cutoff frequency;Filtering;Biomechanics;Humans;Biological system modeling;Computer crashes;Vehicle safety","Artifacts;Electrodes;Electromyography;Fourier Analysis;Humans;Male;Models, Biological;Neck Muscles;Neck Muscles;Reaction Time;Reference Values;Reflex, Stretch;Signal Processing, Computer-Assisted;Weight-Bearing;Whiplash Injuries","19","","13","IEEE","7 Aug 2002","Feb 2001","","IEEE","IEEE Journals"
"A novel approach for precise simulation of the EMG signal detected by surface electrodes","D. Farina; R. Merletti","Centro di Bioingegneria, Department of Electronics, Politecnico di Turino, Torino, Italy; Centro di Bioingegneria, Department of Electronics, Politecnico di Turino, Torino, Italy",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2001","48","6","637","646","The authors propose a new electromyogram generation and detection model. The volume conductor is described as a nonhomogeneous (layered) and anisotropic medium constituted by muscle, fat and skin tissues. The surface potential detected in space domain is obtained from the application of a two-dimensional spatial filter to the input current density source. The effects of electrode configuration, electrode size and inclination of the fibers with respect to the detection system are included in the transfer function of the filter. Computation of the signal in space domain is performed by applying the Radon transform; this permits to draw considerations about spectral dips and clear misunderstandings in previous theoretical derivations. The effects of generation and extinction of the action potentials at the fiber end plate and at the tendons are included by modeling the source current, without any approximation of its shape, as a function of space and time and by using again the Radon transform. The approach, based on the separation of the temporal and spatial properties of the muscle fiber action potential and of the volume conductor, includes the capacitive tissue properties.","1558-2531","","10.1109/10.923782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=923782","","Electromyography;Signal detection;Conductors;Muscles;Electrodes;Anisotropic magnetoresistance;Skin;Spatial filters;Current density;Transfer functions","Action Potentials;Adipose Tissue;Computer Simulation;Electric Conductivity;Electrodes;Electromyography;Humans;Mathematics;Models, Neurological;Motor Neurons;Muscles;Skin Physiological Phenomena;Surface Properties","230","1","44","IEEE","7 Aug 2002","June 2001","","IEEE","IEEE Journals"
"A myosignal-based powered exoskeleton system","J. Rosen; M. Brand; M. B. Fuchs; M. Arcan","Department of Electrical Engineering, University of Washington, Seattle, WA, USA; Department of Solid Mechanics, Materials, and Systems, Faculty of Engineering, Tel-Aviv University, Tel-Aviv, Israel; Department of Solid Mechanics, Materials, and Systems, Faculty of Engineering, Tel-Aviv University, Tel-Aviv, Israel; Department of Solid Mechanics, MaterialsMaterials, Faculty of Engineering, Tel-Aviv University, Tel-Aviv, Israel","IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans","7 Aug 2002","2001","31","3","210","222","This paper studies the integration of a human arm with a powered exoskeleton (orthotic device) and its experimental implementation in an elbow joint, naturally controlled by the human. The human-machine interface was set at the neuromuscular level, by using the neuromuscular signal (EMG) as the primary command signal for the exoskeleton system. The EMG signal along with the joint kinematics were fed into a myoprocessor which in turn predicted the muscle moments on the elbow joint. The moment-based control system integrated myoprocessor moment prediction with feedback moments measured at the human arm/exoskeleton and external load/exoskeleton interfaces. The exoskeleton structure under study was a two-link, two-joint mechanism, corresponding to the arm limbs and joints, which was mechanically linked by the human operator. Four indices of performance were used to define the quality of the human/machine integration and to evaluate the operational envelope of the system. Experimental results indicate the feasibility of an EMG-based power exoskeleton system as an integrated human-machine system using high-level neurological signals.","1558-2426","","10.1109/3468.925661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=925661","","Exoskeletons;Humans;Elbow;Man machine systems;Neuromuscular;Electromyography;Orthotics;Kinematics;Muscles;Control systems","","360","47","53","IEEE","7 Aug 2002","May 2001","","IEEE","IEEE Journals"
"A wavelet-based continuous classification scheme for multifunction myoelectric control","K. Englehart; B. Hudgin; P. A. Parker","Department of Electrical and Computer Engineering and the Institute of Biomedical Engineering, University of New Brunswick, Fredericton, NB, Canada; NA; Department of Electrical and Computer Engineering and the Institute of Biomedical Engineering, University of New Brunswick, Fredericton, NB, Canada",IEEE Transactions on Biomedical Engineering,"7 Aug 2002","2001","48","3","302","311","This work represents an ongoing investigation of dexterous and natural control of powered upper limbs using the myoelectric signal. When approached as a pattern recognition problem, the success of a myoelectric control scheme depends largely on the classification accuracy. A novel approach is described that demonstrates greater accuracy than in previous work. Fundamental to the success of this method is the use of a wavelet-based feature set, reduced in dimension by principal components analysis. Further, it is shown that four channels of myoelectric data greatly improve the classification accuracy, as compared to one or two channels. It is demonstrated that exceptionally accurate performance is possible using the steady-state myoelectric signal. Exploiting these successes, a robust online classifier is constructed, which produces class decisions on a continuous stream of data. Although in its preliminary stages of development, this scheme promises a more natural and efficient means of myoelectric control than one based on discrete, transient bursts of activity.","1558-2531","","10.1109/10.914793","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=914793","","Continuous wavelet transforms;Control systems;Pattern recognition;Wavelet analysis;Biomedical engineering;Motion control;Principal component analysis;Steady-state;Prosthetics;Wavelet packets","Algorithms;Arm;Artificial Limbs;Electrocardiography;Feasibility Studies;Hand;Humans;Movement;Pattern Recognition, Automated;Prosthesis Design;Reference Values;Signal Processing, Computer-Assisted;Wrist","558","2","19","IEEE","7 Aug 2002","March 2001","","IEEE","IEEE Journals"
