"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"High-Density Surface EMG Decomposition by Combining Iterative Convolution Kernel Compensation With an Energy-Specific Peel-off Strategy","Y. Zheng; Y. Ma; Y. Liu; M. Houston; C. Guo; Q. Lian; S. Li; P. Zhou; Y. Zhang","Intelligent Control and Robotics Institute, College of Automation, Hangzhou Dianzi University, Hangzhou, China; Intelligent Control and Robotics Institute, College of Automation, Hangzhou Dianzi University, Hangzhou, China; Seven Lakes High School, Katy, TX, USA; Department of Biomedical Engineering, University of Houston, Houston, TX, USA; Department of Biomedical Engineering, University of Houston, Houston, TX, USA; Seven Lakes High School, Katy, TX, USA; Department of Physical Medicine and Rehabilitation, University of Texas Health Science Center at Houston, Houston, TX, USA; Faculty of Rehabilitation Engineering, University of Health and Rehabilitation Sciences, Qingdao, China; Department of Biomedical Engineering, University of Houston, Houston, TX, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"18 Sep 2023","2023","31","","3641","3651","Objective- This study aims to develop a novel framework for high-density surface electromyography (HD-sEMG) signal decomposition with superior decomposition yield and accuracy, especially for low-energy MUs. Methods- An iterative convolution kernel compensation-peel off (ICKC-P) framework is proposed, which consists of three steps: decomposition of the motor units (MUs) with relatively large energy by using the iterative convolution kernel compensation (ICKC) method and extraction of low-energy MUs with a Post-Processor and novel ‘peel-off’ strategy. Results- The performance of the proposed framework was evaluated by both simulated and experimental HD-sEMG signals. Our simulation results demonstrated that, with 120 simulated MUs, the proposed framework extracts more MUs compared to K-means convolutional kernel compensation (KmCKC) approach across six noise levels. And the proposed ‘peel-off’ strategy estimates more accurate MUAP waveforms at six noise levels than the ‘peel-off’ strategy proposed in the progressive FastICA peel-off (PFP) framework. For the experimental sEMG signals recorded from biceps brachii, an average of 16.1 ±3.4 MUs were identified from each contraction, while only 10.0 ± 2.8 MUs were acquired by the KmCKC method. Conclusion- The high yield and accuracy of MUs decomposed from simulated and experimental HD-sEMG signals demonstrate the superiority of the proposed framework in decomposing low-energy MUs compared to existing methods for HD-sEMG signal decomposition. Significance- The proposed framework enables us to construct a more representative motor unit pool, consequently enhancing our understanding pertaining to various neuropathological conditions and providing invaluable information for the diagnosis and treatment of neuromuscular disorders and motor neuron diseases.","1558-0210","","10.1109/TNSRE.2023.3309546","National Natural Science Foundation of China(grant numbers:62071161,61372023); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10237273","Convolution kernel compensation;decomposition;electromyography;motor unit;peel-off","Firing;Convolution;Kernel;Electromyography;Electronic mail;Signal resolution;Neuromuscular","Humans;Electromyography;Algorithms;Computer Simulation","9","","41","CCBY","1 Sep 2023","2023","","IEEE","IEEE Journals"
"LLANet: An Automatic Framework for Efficient Prediction of Lower Limb Activities Using sEMG Signals","G. J. Rani; A. L. Sai Srikar; C. P. R. Vaibhav; Y. Satwik; M. F. Hashmi","National Institute of Technology, Warangal, India; National Institute of Technology, Warangal, India; National Institute of Technology, Warangal, India; National Institute of Technology, Warangal, India; National Institute of Technology, Warangal, India",IEEE Sensors Letters,"29 Apr 2024","2024","8","5","1","4","Wearable technology has increased the usage of surface electromyography (sEMG) signals in recent years. Recognizing lower limb activity more accurately is necessary for developing mechanical lower limbs or exoskeletons controlled by the nervous system. EMG signals detect the electrical activity of the muscles involved in human activities. In this letter, we proposed LLANet for lower limb activity prediction using an sEMG signal. The proposed work is on a publicly available UC Irvine dataset, i.e., EMG Physical Action Dataset. Conventional machine learning techniques necessitate multiple manual procedures, including decomposition, feature extraction, and classification. To address these constraints, developing a framework using a short-time Fourier transform (STFT) based on synchrosqueezing coupled with convolutional neural networks (CNN) called lower limb activity prediction CNN (LLANet) is proposed. First, the EMG signal is converted to spectrogram images using an STFT, followed by the synchrosqueezing transform to enhance the time–frequency representation. Extracted spectrogram images are fed to CNN models. Subsequently, we explored deep learning models, including CNN, long short-term memory, and STFT+CNN. In addition, the experimental results show that deep feature extraction using LLANet achieved the highest accuracy of 98.56% compared with other models. We also compare the propose model with three time–frequency image, such as continuous wavelet transform (CWT), STFT, Stockwell transform, and log-Mel spectrogram.","2475-1472","","10.1109/LSENS.2024.3389735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10502150","Sensor signal processing;convolutional neural networks (CNN);electromyography (EMG);sarcopenia;short-time Fourier transform (STFT);synchrosqueezing (SS);time–frequency image (TFI)","Electromyography;Time-frequency analysis;Convolutional neural networks;Predictive models;Analytical models;Spectrogram;Feature extraction","","2","","14","IEEE","16 Apr 2024","May 2024","","IEEE","IEEE Journals"
"Active Electrode With a High-Gain a-IGZO TFT Bootstrap Amplifier for Surface Electromyography Signal Acquisition","M. Tian; A. Guo; X. Guo; N. Jiang; Q. Lei; L. Cheng; J. Li; J. Zhang","School of Microelectronics, Shanghai University, Shanghai, China; School of Microelectronics, Shanghai University, Shanghai, China; School of Microelectronics, Shanghai University, Shanghai, China; School of Microelectronics, Shanghai University, Shanghai, China; School of Microelectronics, Shanghai University, Shanghai, China; School of Microelectronics, Shanghai University, Shanghai, China; School of Microelectronics, Shanghai University, Shanghai, China; School of Microelectronics, Shanghai University, Shanghai, China",IEEE Transactions on Electron Devices,"25 Oct 2024","2024","71","11","6731","6737","Surface electromyography (sEMG) signals are crucial bioelectrical signals that offer valuable insights into muscle activity and motor control. However, sEMG signals are susceptible to interference from various sources, including environmental factors and physiological crosstalk, power noise, and motion artifacts. These interferences can compromise the quality and accuracy of the sEMG signals. The challenge remains to achieve high temporal and spatial resolution for detecting sEMG signals. In this study, novel active electrodes with a high-gain pixel-level amplifier were developed using amorphous indium gallium zinc oxide (a-IGZO) thin-film transistor (TFT) technology to collect sEMG signals. To achieve high signal gain, a wide input voltage range, and low noise, we designed a bootstrap negative feedback amplifier circuit based on a-IGZO TFTs. The active amplifier circuit exhibited a signal gain of approximately 21.9 dB at a driving voltage of 15 V and a gain bandwidth of 1.5 kHz. Compared with the traditional passive electrode, the signal-to-noise ratio (SNR) of the signal collected by the active electrode is 194% of the passive electrode, and the signal reliability is significantly improved. As a result, the active electrodes present distinct advantages in terms of stability, flexibility, and high gain. This innovation paves the way for high-quality acquisition of surface EMG signals.","1557-9646","","10.1109/TED.2024.3453231","National Natural Science Foundation of China(grant numbers:52227808); National Science Foundation for Distinguished Young Scholars of China(grant numbers:51725505); Science and Technology Commission of Shanghai Municipality(grant numbers:19JC1412400); Development Fund for Shanghai Talents(grant numbers:2021003); Collaborative Innovation Center of Intelligent Perception Chip Technology, Shanghai University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677382","Bootstrap amplifier circuits;surface electromyography (sEMG);thin-film transistor (TFT)","Electrodes;Transistors;Thin film transistors;Electromyography;Voltage;Muscles;Signal to noise ratio","","3","","34","IEEE","11 Sep 2024","Nov. 2024","","IEEE","IEEE Journals"
"Training Explainable and Effective Multi-DoF EMG Decoder Using Additive 1-DoF EMG","Y. Yuan; C. Dai; J. Fan; C. Chou; J. Liu; X. Jiang","Center for Biomedical Engineering, School of Information Science and Technology, Fudan University, Shanghai, China; School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai, China; Center for Biomedical Engineering, School of Information Science and Technology, Fudan University, Shanghai, China; School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai, China; Institute of Science and Technology for Brain-Inspired Intelligence, Fudan University, Shanghai, China; School of Informatics, The University of Edinburgh, Edinburgh, U.K.",IEEE Transactions on Medical Robotics and Bionics,"8 Aug 2024","2024","6","3","1212","1219","Human hands can execute intricate and dexterous control of diverse objects. Decoding hand motions, especially estimating the force of each individual finger via surface electromyography (sEMG), is an essential step in intuitive and dexterous control of prosthetics, exoskeletons and more various human-machine systems. Previous sEMG decoders lack explainability and show degraded performances in decoding finger forces with multiple degrees-of-freedom (DoFs). When developing a multi-DoF EMG decoder, the combinations of various forces levels exerted by different fingers are too numerous to be exhaustively enumerate. In our work, we utilized the data of 1-DoF finger activation to generate synthetic N-DoF sEMG data with a straightforward additive mixup data augmentation approach, which overlays 1-DoF sEMG signals and finger force labels. The basic assumption of our method is the additive property of sEMG associated with different DoFs. With the synthetic N-DoF sEMG data, we then developed N-DoF EMG-force models via the highly explainable deep forest built on simple and transparent decision trees. With data augmentation using only 1-DoF sEMG data, the regression error reduced by ~20% of the baseline level (without data augmentation). More significantly, the explainability of the deep forest suggested that, the crucial electrodes in the decision making process of the 2-DoF deep forest are essentially a linear superposition of the counterparts in the 1-DoF deep forest.","2576-3202","","10.1109/TMRB.2024.3408312","National Natural Science Foundation of China(grant numbers:62173094); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10547008","Surface electromyography;EMG;multi-DoF EMG decoder;data augmentation;explainable machine learning","Random forests;Electromyography;Prosthetics;Biomechatronics;Assistive devices;Machine learning;Data augmentation","","5","","27","IEEE","3 Jun 2024","Aug. 2024","","IEEE","IEEE Journals"
"Multiclass Gait Phase Classification From the Temporal Convolutional Network of Wireless Surface Electromyography Measurements","V. M. Reddy M; P. S. Pandian; K. P A","Defence Bio-Engineering and Electromedical Laboratory (DEBEL), Defence Research and Development Organisation (DRDO), Bangalore, India; O/o Director General (Electronics and Communication Systems), DRDO, Bangalore, India; Physiological Measurements and Instrumentation Lab, Department of Instrumentation and Control Engineering, National Institute of Technology, Tiruchirappalli, India",IEEE Sensors Letters,"19 Sep 2024","2024","8","10","1","4","Recent advancements and developments in the field of rehabi- litation lead to the invention of myoelectric control interfaces for patients with disabilities. However, decoding the motion intent from the surface electromyography (sEMG) signals of hamstrings and quadriceps is challenging due to its complex mechanics associated with weight bearing joints and stochastic, nonstationary, and multicomponent behavior of signals. In this letter, a novel approach is proposed for multiclass gait phase classification during level walking using temporal convolutional network (TCN) of sEMG signals. For this purpose, sEMG and inertial measurement unit (IMU) data were recorded concurrently from 20 healthy participants during level walking on treadmill at a speed of 2.5 km/h. sEMG were collected from the muscles, namely, rectus femoris (RF), vastus lateralis (VL), biceps femoris (BF), and semitendinosus (SEM). The IMU measurements of knee flexion/extension data are utilized for labeling the four phases of gait cycle. The root mean square of sEMG epochs is used to design the TCN framework. The results show that the proposed framework has the ability to differentiate the four classes of gait with a maximum accuracy of 86.00% using the myoelectric activity from all the four muscles. The information from the muscle pairs SEM and VL, and RF and BF, yielded the correct detection rate of 83.00% and 84.00%, respectively. In addition, the accuracy is also improved by 6% with TCN when we compare accuracy obtained through convolutional neural network architecture. The findings suggest that the proposed approach is effective in decoding the motion intent of lower limb muscles, which may lead to the development of precise movement control of lower limb prosthesis.","2475-1472","","10.1109/LSENS.2024.3453558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10673793","Sensor signal processing;classification;gait;surface electromyography (sEMG);temporal convolutional network (TCN)","Muscles;Electromyography;Accuracy;Convolutional neural networks;Radio frequency;Legged locomotion;Sensor systems and applications;Signal processing","","3","","20","IEEE","10 Sep 2024","Oct. 2024","","IEEE","IEEE Journals"
"2CFastICA: A Novel Method for High Density Surface EMG Decomposition Based on Kernel Constrained FastICA and Correlation Constrained FastICA","M. Chen; P. Zhou","School of Rehabilitation Science and Engineering, University of Health and Rehabilitation Sciences, Qingdao, Shandong, China; School of Rehabilitation Science and Engineering, University of Health and Rehabilitation Sciences, Qingdao, Shandong, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"17 Jun 2024","2024","32","","2177","2186","This study presents a novel high density surface electromyography (EMG) decomposition method, named as 2CFastICA, because it incorporates two key algorithms: kernel constrained FastICA and correlation constrained FastICA. The former focuses on overcoming the local convergence of FastICA without requiring the peel-off strategy used in the progressive FastICA peel-off (PFP) framework. The latter further refines the output of kernel constrained FastICA by correcting possible erroneous or missed spikes. The two constrained FastICA algorithms supplement each other to warrant the decomposition performance. The 2CFastICA method was validated using simulated surface EMG signals with different motor unit numbers and signal to noise ratios (SNRs). Two source validation was also performed by simultaneous high density surface EMG and intramuscular EMG recordings, showing a matching rate (MR) of (97.2 ± 3.5)% for 170 common motor units. In addition, a different form of two source validation was also conducted taking advantages of the high density surface EMG characteristics of patients with amyotrophic lateral sclerosis, showing a MR of (99.4 ± 0.9)% for 34 common motor units from interference and sparse datasets. Both simulation and experimental results indicate that 2CFastICA can achieve similar decomposition performance to PFP. However, the efficiency of decomposition can be greatly improved by 2CFastICA since the complex signal processing procedures associated with the peel-off strategy are not required any more. Along with this paper, we also provide the MATLAB open source code of 2CFastICA for high density surface EMG decomposition.","1558-0210","","10.1109/TNSRE.2024.3398822","Shandong Provincial Natural Science Foundation(grant numbers:ZR2021QH053); Taishan Scholar Project of Shandong Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10526297","FastICA;kernel constrained FastICA;correlation constrained FastICA;high density surface EMG;decomposition;two source validation;open source code","Electromyography;Motors;Vectors;Mathematical models;Firing;Convergence;Kernel","Electromyography;Humans;Algorithms;Signal-To-Noise Ratio;Reproducibility of Results;Signal Processing, Computer-Assisted;Muscle, Skeletal;Motor Neurons;Computer Simulation;Male;Adult;Female","13","","29","CCBYNCND","8 May 2024","2024","","IEEE","IEEE Journals"
"sEMG-Based Knee Abnormality Detection Using EWT-Entropy-Ensemble Algorithm During Walking","G. J. Rani; M. F. Hashmi","National Institute of Technology, Warangal, India; National Institute of Technology, Warangal, India",IEEE Sensors Letters,"1 Dec 2023","2023","7","12","1","4","An essential problem that can be identified using a surface electromyography (sEMG) signal is identifying knee abnormality. The manual analysis of EMG data takes much time and expertise from medical professionals. Thus, the proposed work is based on a diagnosis of knee abnormalities automatically during walking with features derived from sEMG signals and enhanced with empirical wavelet transform (EWT) and entropy-based features using a Bagging Ensemble Classifier. In this study, 22 people (11 with and 11 without knee abnormalities) had their lower limb (sEMG) data gathered while walking from the UCI repository. Since noise frequently tampers with sEMG, an approach for sEMG denoising based on EWT was presented. EWT decomposes the original signal into several multiresolution analyses. To reduce the computational complexity of the signal, the overlapping windowing technique was used, with a window size of 250 ms and a 50% overlap. Entropy features were extracted channelwise, and using ANOVA feature selection approaches, extremely significant entropy features that may distinguish functional knee abnormalities efficiently were retrieved from the decomposed signals. Last, machine learning models, such as support vector machine, k-nearest neighbors, naïve Bayes, and ensemble bagged tree were achieved with an accuracy of 99.6%, precision of 99.5%, recall of 99.8, F1-score of 99.7%, and with training time reduced to 5.66 s.","2475-1472","","10.1109/LSENS.2023.3332602","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316617","Sensor signal processing;empirical wavelet transform (EWT);ensemble bagged tree;knee abnormality;surface electromyography (sEMG)","Feature extraction;Knee;Entropy;Legged locomotion;Sensors;Electromyography;Multiresolution analysis;Biomedical signal processing;Wavelet transforms","","3","","17","IEEE","14 Nov 2023","Dec. 2023","","IEEE","IEEE Journals"
"Continuous Grasping Force Estimation With Surface EMG Based on Huxley-Type Musculoskeletal Model","X. Xu; H. Deng; Y. Zhang; J. Chen","School of Mechanical and Electrical Engineering, Central South University, Changsha, China; State Key Laboratory of High Performance Complex Manufacturing, School of Mechanical Engineering, Central South University, Changsha, China; State Key Laboratory of High Performance Complex Manufacturing, School of Mechanical Engineering, Central South University, Changsha, China; School of Mechanical and Electrical Engineering, Central South University, Changsha, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"31 Jan 2023","2023","31","","346","355","Continuous grasping force estimation based on electromyography (EMG) signals, is very useful in practical applications including prosthetic control and human force observation. However, implementing the practical grasping force estimation usually considers a trade-off between the computational precision and resources. Specifically, the estimation based on the Huxley-type muscle model reaches detailed approximation of physiological process at a cost of larger computational resources for solving nonlinear partial differential equations while the counterpart with a traditional Hill-type muscle model. In this article, we achieve the grasping force estimation based on a reduced Huxley-type musculoskeletal model with high accuracy yet low time delay. Leveraging on a balanced truncation method, we further reduce the dimensionality of the spectral method solution in the Huxley-type musculoskeletal model for the model simplification. In addition, we introduce the Kalman filter method to process the EMG signals obtained by an armband, yielding better real-time performances and accuracy compared to the signal treatment using the traditional EMG filter method. Moreover, we also implement an effective identification of the model parameters using a particle swarm method. Finally, we trained the model on the first day and made grasping force estimation experiments involved with three participants over the course of a month. We envision that this effective and practical method would further improve the practical applications in the field of grasping force estimation.","1558-0210","","10.1109/TNSRE.2022.3214866","National Natural Science Foundation of China(grant numbers:52275297); National Key Research and Development Program of China(grant numbers:2018YFB1307203); Key Project of Hunan Health Commission(grant numbers:20200519); Project of State Key Laboratory of High Performance Complex Manufacturing, Central South University(grant numbers:ZZYJKT2021-17); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9919873","Force estimation;Huxley model;surface EMG;spectral method;parameter identify;EMG filter","Muscles;Force;Mathematical models;Electromyography;Estimation;Grasping;Computational modeling","Humans;Electromyography;Hand Strength;Muscle, Skeletal","13","","35","CCBYNCND","14 Oct 2022","2023","","IEEE","IEEE Journals"
"Surface EMG-Based Intersession/Intersubject Gesture Recognition by Leveraging Lightweight All-ConvNet and Transfer Learning","M. R. Islam; D. Massicotte; P. Massicotte; W. -P. Zhu","Department of Electrical and Computer Engineering, Laboratory of Signal and System Integration (LSSI), Université du Québec à Trois-Rivières, Trois-Rivières, Canada; Department of Electrical and Computer Engineering, Laboratory of Signal and System Integration (LSSI), Université du Québec à Trois-Rivières, Trois-Rivières, Canada; Laboratory of Signal and System Integration (LSSI), Université du Québec à Trois-Rivières, Trois-Rivières, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, Canada",IEEE Transactions on Instrumentation and Measurement,"9 Apr 2024","2024","73","","1","16","Gesture recognition using low-resolution instantaneous high-density surface electromyography (HD-sEMG) images opens up new avenues for the development of more fluid and natural muscle–computer interfaces (MCIs). However, the data variability between intersession and intersubject scenarios presents a great challenge. The existing approaches employed very large and complex deep ConvNet or two-stage recurrent neural network (2SRNN)-based domain adaptation methods to approximate the distribution shift caused by these intersession and intersubject data variabilities. Hence, these methods also require learning over millions of training parameters and a large pretrained and target domain dataset in both the pretraining and the adaptation stages. As a result, it makes high-end resource-bounded and computationally very expensive network for deployment in real-time applications. To overcome this problem, we propose a lightweight All-ConvNet + transfer learning (TL) model that leverages lightweight All-ConvNet and TL for the enhancement of intersession and intersubject gesture recognition performance. The All-ConvNet + TL model consists solely of convolutional layers, a simple yet efficient framework for learning invariant and discriminative representations to address the distribution shifts caused by intersession and intersubject data variability. Experiments on four datasets demonstrate that our proposed methods outperform the most complex existing approaches by a large margin and achieve state-of-the-art results on intersession and intersubject scenarios and perform on par with or competitively on intrasession gesture recognition. These performance gaps increase even more when a tiny amount (e.g., a single trial) of data is available on the target domain for adaptation. These outstanding experimental results provide evidence that the current state-of-the-art models may be overparameterized for sEMG-based intersession and intersubject gesture recognition tasks.","1557-9662","","10.1109/TIM.2024.3381288","Natural Sciences and Engineering Research Council of Canada Grant; Canadian Microelectronics Corporation (CMC) Microsystems; Research Chair on Signal and Intelligent High-Performance Systems; ReSMiQ (Regroupement stratégique en microsystems du Québec); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10478553","Convolutional neural network (CNN);domain adaptation;electromyography (EMG);feature extraction;gesture recognition;muscle–computer interface (MCI);recurrent neural network (RNN);surface electromyography (sEMG);transfer learning (TL)","Gesture recognition;Transfer learning;Convolutional neural networks;Computational modeling;Feature extraction;Electromyography;Recurrent neural networks","","29","","68","IEEE","25 Mar 2024","2024","","IEEE","IEEE Journals"
"A Review of Techniques for Surface Electromyography Signal Quality Analysis","E. Farago; D. MacIsaac; M. Suk; A. D. C. Chan","Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Faculty of Engineering and Faculty of Computer Science, University of New Brunswick, Fredericton, NB, Canada; Faculty of Engineering and Faculty of Computer Science, University of New Brunswick, Fredericton, NB, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada",IEEE Reviews in Biomedical Engineering,"5 Jan 2023","2023","16","","472","486","Electromyography (EMG) signals are instrumental in a variety of applications including prosthetic control, muscle health assessment, rehabilitation, and workplace monitoring. Signal contaminants including noise, interference, and artifacts can degrade the quality of the EMG signal, leading to misinterpretation; therefore it is important to ensure that collected EMG signals are of sufficient quality prior to further analysis. A literature search was conducted to identify current approaches for detecting, identifying, and quantifying contaminants within surface EMG signals. We identified two main strategies: 1) bottom-up approaches for identifying specific and well-characterized contaminants and 2) top-down approaches for detecting anomalous EMG signals or outlier channels in high-density EMG arrays. The best type(s) of approach are dependent on the circumstances of data collection including the environment, the susceptibility of the application to contaminants, and the resilience of the application to contaminants. Further research is needed for assessing EMG with multiple simultaneous contaminants, identifying ground-truths for clean EMG data, and developing user-friendly and autonomous methods for EMG signal quality analysis.","1941-1189","","10.1109/RBME.2022.3164797","Natural Sciences and Engineering Research Council of Canada(grant numbers:D-546546-2020); Collaborative Research and Training Experience Program(grant numbers:497303-2017); Research and Education in Accessibility, Design, and Innovation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9749945","Biomedical signal processing;electromyography;high-density EMG;signal quality analysis;surface EMG","Electromyography;Electrodes;Interference;Muscles;Filtering;Pollution measurement;Monitoring","Humans;Electromyography;Algorithms;Muscle Contraction;Signal Processing, Computer-Assisted;Artifacts;Muscle, Skeletal","89","","111","IEEE","5 Apr 2022","2023","","IEEE","IEEE Journals"
