topic_category,category_n,小于等于5,大于5小于等于15,大于15小于等于30,大于30小于等于60,大于60小于等于100,大于100,无效或缺失
Biomechanics & Kinematics,222,10.81,38.29,29.28,16.67,2.70,2.25,0.00
HCI & Prosthetics,188,11.70,42.02,22.87,17.55,3.72,2.13,0.00
Rehabilitation & Therapy,185,7.57,37.30,27.03,22.16,4.32,1.62,0.00
Clinical & Diagnostic,181,7.18,24.86,28.73,27.07,6.63,5.52,0.00
Sports & Ergonomics,148,10.81,46.62,23.65,12.16,2.70,4.05,0.00
Neurophysiology,138,12.32,40.58,23.91,15.94,3.62,3.62,0.00
Other / General,9,0.00,66.67,11.11,22.22,0.00,0.00,0.00
