topic_category,paper_count,paper_share_of_corpus_pct,gender_reported_count,gender_reporting_rate,age_reported_count,age_reporting_rate,race_or_skin_reported_count,race_or_skin_reporting_rate
Biomechanics & Kinematics,222,58.89,194,87.39,201,90.54,6,2.70
HCI & Prosthetics,188,49.87,164,87.23,166,88.30,1,0.53
Rehabilitation & Therapy,185,49.07,170,91.89,174,94.05,4,2.16
Clinical & Diagnostic,181,48.01,165,91.16,172,95.03,5,2.76
Sports & Ergonomics,148,39.26,133,89.86,130,87.84,3,2.03
Neurophysiology,138,36.60,119,86.23,122,88.41,1,0.72
Other / General,9,2.39,9,100.00,9,100.00,0,0.00
